TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
746662865104;1177813;"MAF";"INTERVAL";"PROBE";1;63;0x0000411e;0;47827966;38724;60091;277015;1595;1869;0;BPRED
746662865488;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000411e;0;1453;41;47;253;91;22;0;BPRED
746662865606;243;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000411e;0;3897;26;26;297;153;39;0;BPRED
746662865859;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000411e;0;1446;33;36;285;28;4;0;BPRED
746662865933;316;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000411e;0;9808;35;47;237;82;12;0;BPRED
746662866258;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000411e;0;582;9;9;84;30;7;0;BPRED
746662866308;54966;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2230353;1741;2795;12589;630;231;0;BPRED
746662921281;55317;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2246076;2184;3295;15112;201;132;0;BPRED
746662976606;54662;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2228202;1608;2635;11436;17;78;0;BPRED
746663031275;55143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2244245;2132;3234;14519;23;76;0;BPRED
746663086425;55099;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2237486;2039;3085;14125;28;70;0;BPRED
746663141531;54943;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2234027;1742;2809;12606;15;61;0;BPRED
746663196481;55040;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2240102;1861;2899;13240;1;39;0;BPRED
746663251528;54819;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2233786;1772;2832;12674;10;64;0;BPRED
746663306354;55075;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2244167;2044;3084;13980;3;61;0;BPRED
746663361437;54668;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2228618;1514;2501;11333;4;50;0;BPRED
746663416112;54819;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2233875;1664;2775;12475;4;71;0;BPRED
746663470947;55083;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2244202;2094;3144;14068;6;62;0;BPRED
746663526038;54847;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2233951;1768;2834;12735;12;62;0;BPRED
746663580894;54722;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2229489;1654;2791;11931;5;82;0;BPRED
746663635624;55077;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2244007;1960;2988;13772;10;94;0;BPRED
746663690708;54816;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2233748;1746;2769;12475;2;58;0;BPRED
746663745531;55173;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2245914;2043;3124;14305;34;100;0;BPRED
746663800712;54660;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2228589;1536;2531;11242;2;67;0;BPRED
746663855380;54843;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2233658;1872;2911;12704;3;75;0;BPRED
746663910231;55075;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;0;2244407;1961;3049;13787;8;89;0;BPRED
746663965331;77578;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000411e;0;3052021;1341;1537;12803;130;75;0;BPRED
746664465010;1179364;"MAF";"INTERVAL";"PROBE";1;63;0x0000411e;1;47899448;35737;55448;261677;2004;2543;0;BPRED
746664465030;95;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000411e;1;1448;45;64;270;82;36;0;BPRED
746664465131;202;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000411e;1;3893;27;27;282;110;53;0;BPRED
746664465340;26;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000411e;1;647;13;21;89;15;6;0;BPRED
746664465375;297;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000411e;1;9803;25;43;208;57;32;0;BPRED
746664465681;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000411e;1;581;10;10;61;27;14;0;BPRED
746664465731;55068;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2234822;1768;2779;13036;29;209;0;BPRED
746664520806;55110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2240585;1787;2708;12756;14;75;0;BPRED
746664575924;54843;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2230052;1636;2624;11578;33;81;0;BPRED
746664630775;54846;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2233392;1804;2798;12499;9;71;0;BPRED
746664685628;55077;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2243529;1871;2806;13319;8;121;0;BPRED
746664740712;54793;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2233034;1686;2682;12136;2;73;0;BPRED
746664795512;54656;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2228462;1404;2331;10792;4;54;0;BPRED
746664850176;55050;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2243596;1824;2779;13203;6;64;0;BPRED
746664905234;54795;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2233076;1598;2480;11815;1;50;0;BPRED
746664960037;54908;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2238582;1632;2659;12377;4;53;0;BPRED
746665014953;54803;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2233196;1779;2694;12179;4;58;0;BPRED
746665069764;54786;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2233018;1670;2614;11992;1;57;0;BPRED
746665124557;54981;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2240537;1804;2786;13048;1;99;0;BPRED
746665179546;54728;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2228317;1556;2561;11203;171;498;0;BPRED
746665234287;54822;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2230209;1522;2526;11606;284;220;0;BPRED
746665289124;55085;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2240630;1879;2898;13117;374;224;0;BPRED
746665344222;54699;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2225216;1500;2482;10846;230;108;0;BPRED
746665398933;54975;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2235323;1716;2728;12611;154;52;0;BPRED
746665453920;55091;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2241901;1883;2878;13454;117;86;0;BPRED
746665509024;54868;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000411e;1;2233386;1686;2695;12276;82;71;0;BPRED
746665563905;80459;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000411e;1;3165931;1351;1514;13377;110;27;0;BPRED
746666065042;1184160;"MAF";"INTERVAL";"PROBE";1;63;0x0000411e;2;48036077;37373;57609;269222;3631;2098;0;BPRED
