TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
775961959829;1180149;"MAF";"INTERVAL";"PROBE";1;63;0x0000442d;0;98;19;47862579;62166583;8348;47885503;0;BPRED
775961960181;101;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000442d;0;0;1;1456;2085;340;1460;0;BPRED
775961960289;231;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000442d;0;1;1;3899;5955;582;3903;0;BPRED
775961960528;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000442d;0;1;2;1451;2710;133;1462;0;BPRED
775961960601;317;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000442d;0;0;0;9812;13527;324;9816;0;BPRED
775961960927;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000442d;0;0;0;585;909;116;589;0;BPRED
775961960977;55630;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;36;8;2247541;2916391;3159;2248762;0;BPRED
775962016616;54695;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;4;0;2228081;2869410;245;2229062;0;BPRED
775962071318;55228;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;8;0;2241179;2899928;437;2242253;0;BPRED
775962126554;55270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;6;1;2246705;2909311;225;2247907;0;BPRED
775962181832;55225;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;4;0;2241421;2915514;220;2242493;0;BPRED
775962237064;55206;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;3;1;2245511;2906301;152;2246709;0;BPRED
775962292277;55194;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;3;0;2241313;2898463;354;2242407;0;BPRED
775962347478;55052;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;2;0;2240354;2895399;40;2241414;0;BPRED
775962402537;55109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;0;0;2243872;2899181;80;2245039;0;BPRED
775962457670;54684;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;0;0;2228428;2867228;154;2229410;0;BPRED
775962512361;54818;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;0;0;2233702;2878222;28;2234710;0;BPRED
775962567186;55058;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;0;0;2244042;2895797;24;2245199;0;BPRED
775962622251;54651;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000442d;0;0;0;2228522;2866825;4;2229498;0;BPRED
