TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
914754376342;1175115;"MAF";"INTERVAL";"PROBE";1;63;0x00006279;0;95151103;32929784;13844816;9529783;651910;20528;0;BPRED
914754376684;119;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00006279;0;2488;640;578;415;38;9;0;BPRED
914754376811;240;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00006279;0;8066;2374;1317;1012;93;0;0;BPRED
914754377058;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00006279;0;3026;703;480;525;74;4;0;BPRED
914754377132;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00006279;0;21141;7613;2055;1632;140;19;0;BPRED
914754377458;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00006279;0;1098;256;226;192;12;3;0;BPRED
914754377511;53798;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4319232;1511071;630693;418811;30708;958;0;BPRED
914754431317;54990;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4457514;1543815;649277;447560;31269;1026;0;BPRED
914754486314;54775;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4446242;1541104;647716;444974;30341;1007;0;BPRED
914754541096;54710;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4438814;1539369;646715;443524;30533;983;0;BPRED
914754595813;54955;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4461883;1544867;649833;448337;30492;1027;0;BPRED
914754650777;54632;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4434595;1538404;646214;442807;30562;971;0;BPRED
914754705416;54789;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4445120;1540894;647592;444766;30233;923;0;BPRED
914754760230;55050;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4468549;1546427;650760;449639;30462;1039;0;BPRED
914754815287;54621;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4434519;1538385;646247;442776;29965;947;0;BPRED
914754869915;54975;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4462084;1544831;649878;448477;30707;1027;0;BPRED
914754924897;54940;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4451967;1542472;648224;446812;31163;1078;0;BPRED
914754979846;54701;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4438457;1539318;646743;443474;30001;1021;0;BPRED
914755034555;54899;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4457835;1543943;649415;447598;30209;977;0;BPRED
914755089461;54767;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4439883;1539637;647026;443709;29993;1068;0;BPRED
914755144235;54909;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4449678;1542046;648303;445436;30708;1033;0;BPRED
914755199152;54965;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4458672;1544094;649536;447720;30733;1045;0;BPRED
914755254125;54857;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4446817;1541308;647942;445025;30158;1053;0;BPRED
914755308993;55295;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4469667;1546607;650901;450032;30646;1079;0;BPRED
914755364298;54807;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4446353;1541254;647909;444918;30052;1037;0;BPRED
914755419113;54638;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006279;0;4434554;1538440;646312;442721;30025;985;0;BPRED
914755473761;77687;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00006279;0;6220488;2102822;887033;631545;42154;209;0;BPRED
914755976299;1178798;"MAF";"INTERVAL";"PROBE";1;63;0x00006279;1;95492834;33032893;13892740;9576224;653837;20194;0;BPRED
914755976341;143;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00006279;1;2488;640;578;414;27;9;0;BPRED
914755976491;245;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00006279;1;8059;2376;1317;1012;92;0;0;BPRED
914755976744;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00006279;1;1169;271;246;181;10;2;0;BPRED
914755976784;322;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00006279;1;21135;7612;2056;1632;132;19;0;BPRED
914755977112;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00006279;1;1096;256;226;192;11;3;0;BPRED
