TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
928231656643;1174576;"MAF";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;47714605;0;63384902;139858;0;BPRED
928231656939;118;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;1453;0;2021;147;0;BPRED
928231657065;233;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;3903;0;6251;226;0;BPRED
928231657307;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;1450;0;2757;208;0;BPRED
928231657383;322;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;9811;0;13588;130;0;BPRED
928231657712;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;587;0;913;60;0;BPRED
928231657763;53787;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2176841;0;2873516;2206;0;BPRED
928231711559;54981;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2238177;0;2976173;6901;0;BPRED
928231766548;54782;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2232560;0;2962210;6463;0;BPRED
928231821339;54719;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2229510;0;2958341;6172;0;BPRED
928231876069;54920;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2239511;0;2969890;6924;0;BPRED
928231930997;54602;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2227662;0;2947180;5834;0;BPRED
928231985607;54758;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2232752;0;2960321;6580;0;BPRED
928232040372;54939;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2240099;0;2971261;7022;0;BPRED
928232095319;54614;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2227646;0;2947075;5815;0;BPRED
928232149940;55007;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2239861;0;2970127;7062;0;BPRED
928232204971;54735;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2229502;0;2951055;6193;0;BPRED
928232259713;54927;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2234969;0;2962624;6995;0;BPRED
928232314648;54895;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2238149;0;2965733;6758;0;BPRED
928232369551;54685;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2230044;0;2951433;6477;0;BPRED
928232424243;54894;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2234995;0;2963622;7039;0;BPRED
928232479145;54961;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2238334;0;2964446;6830;0;BPRED
928232534117;54872;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063c6;0;0;0;2233284;0;2957855;6805;0;BPRED
