TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
930253297360;1176406;"MAF";"INTERVAL";"PROBE";1;63;0x000063fa;0;54;19;47703863;63386291;26645;47724927;0;BPRED
930253297673;123;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;1454;2069;412;1458;0;BPRED
930253297804;237;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;1;3900;6229;615;3904;0;BPRED
930253298049;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000063fa;0;1;1;1448;2779;124;1459;0;BPRED
930253298124;317;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000063fa;0;1;0;9811;13576;368;9815;0;BPRED
930253298448;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;587;932;132;591;0;BPRED
930253298501;53528;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;20;2;2168220;2843794;3626;2168284;0;BPRED
930253352044;54733;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;9;4;2217985;2936886;2383;2218771;0;BPRED
930253406787;54578;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;2;0;2224662;2941943;857;2225586;0;BPRED
930253461374;55066;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;1;1;2243209;2979296;589;2244319;0;BPRED
930253516448;54732;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2229749;2953393;176;2230705;0;BPRED
930253571188;54738;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2230277;2953963;100;2231248;0;BPRED
930253625933;54935;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2237928;2970555;124;2239019;0;BPRED
930253680875;54711;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2229531;2955230;79;2230504;0;BPRED
930253735593;54895;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;8;2;2234312;2960904;396;2235325;0;BPRED
930253790495;54828;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2234593;2959784;132;2235712;0;BPRED
930253845331;54707;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2229551;2950527;90;2230530;0;BPRED
930253900045;55152;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;4;1;2245016;2983227;335;2246168;0;BPRED
930253955206;54773;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2233404;2959820;36;2234415;0;BPRED
930254009996;54655;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2224853;2941244;972;2225811;0;BPRED
930254064661;55592;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;6;1;2245894;2985915;3014;2247068;0;BPRED
930254120266;55335;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2234390;2965194;4393;2235399;0;BPRED
930254175621;55274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2239543;2970605;3014;2240689;0;BPRED
930254230910;55038;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2235403;2967096;1703;2236412;0;BPRED
930254285959;55040;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2235540;2967771;945;2236553;0;BPRED
930254341008;55088;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;0;2243379;2980912;675;2244532;0;BPRED
930254396106;77649;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000063fa;0;0;1;3053015;4204477;785;3054515;0;BPRED
930254897255;1179056;"MAF";"INTERVAL";"PROBE";1;63;0x000063fa;1;13;6;47888179;63635847;16914;47910449;0;BPRED
