TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
907341848945;1175551;"MAF";"INTERVAL";"PROBE";1;63;0x000061bf;0;47746097;35344;54483;252790;3835;2366;0;BPRED
907341849263;123;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000061bf;0;1452;33;42;242;116;47;0;BPRED
907341849396;236;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000061bf;0;3899;33;33;310;156;70;0;BPRED
907341849640;64;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000061bf;0;1446;36;37;281;34;14;0;BPRED
907341849711;326;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000061bf;0;9807;38;52;241;89;38;0;BPRED
907341850045;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000061bf;0;583;12;15;85;35;11;0;BPRED
907341850097;54052;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000061bf;0;2192374;972;1921;7118;984;580;0;BPRED
907341904159;55089;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000061bf;0;2242856;1800;2725;13040;332;332;0;BPRED
907341959257;54781;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000061bf;0;2232577;1632;2623;11858;109;86;0;BPRED
907342014047;54617;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000061bf;0;2227652;1466;2453;10761;77;109;0;BPRED
907342068671;54950;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000061bf;0;2239423;1794;2679;12411;78;85;0;BPRED
907342123628;54793;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000061bf;0;2232599;1605;2544;11753;59;47;0;BPRED
907342178431;54922;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000061bf;0;2234574;1845;2774;12428;128;30;0;BPRED
907342233360;54887;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000061bf;0;2237800;1692;2646;12071;21;7;0;BPRED
