TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
58994051164;1144148;"MAF";"INTERVAL";"PROBE";1;63;0x00001bf7;0;46456733;12679;29275;100817;2346;1744;0;BPRED
58994051548;110;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;1453;39;43;213;103;16;0;BPRED
58994051666;234;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;3893;30;30;276;156;29;0;BPRED
58994051907;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00001bf7;0;1448;37;40;288;28;9;0;BPRED
58994051982;320;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00001bf7;0;9809;36;61;255;90;13;0;BPRED
58994052310;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00001bf7;0;583;10;10;66;28;9;0;BPRED
58994052357;54093;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2180251;928;1870;7295;1013;236;0;BPRED
58994106459;53404;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2172509;487;1288;4558;174;90;0;BPRED
58994159870;53469;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2174830;717;1616;5646;72;110;0;BPRED
58994213360;53640;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2180232;830;1718;6495;96;61;0;BPRED
58994267007;53378;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2173423;664;1449;5083;16;65;0;BPRED
58994320392;53574;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2179772;989;1759;6811;8;101;0;BPRED
58994373974;53534;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2178737;726;1534;6046;21;80;0;BPRED
58994427516;53132;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2166562;343;1152;3351;5;49;0;BPRED
58994480655;53276;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2171907;533;1334;4260;11;42;0;BPRED
58994533938;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2171849;501;1294;4195;7;49;0;BPRED
58994587215;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2166139;274;1045;2965;4;50;0;BPRED
58994640340;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2171860;544;1356;4297;2;63;0;BPRED
58994693617;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2171831;583;1462;4490;7;73;0;BPRED
58994746902;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2166466;309;1099;3069;4;41;0;BPRED
58994800021;53509;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2176928;839;1632;5598;86;153;0;BPRED
58994853543;53306;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2171919;667;1514;4666;85;108;0;BPRED
58994906856;53116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2166429;343;1129;3137;10;29;0;BPRED
58994959979;53369;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2173439;618;1432;4788;31;50;0;BPRED
58995013355;53391;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2173700;586;1477;4745;78;54;0;BPRED
58995066753;53116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2166492;339;1169;3215;3;19;0;BPRED
58995119877;75427;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00001bf7;0;2964399;428;485;3301;138;57;0;BPRED
58995651022;1145764;"MAF";"INTERVAL";"PROBE";1;63;0x00001bf7;1;46499037;10614;25863;82961;1394;1140;0;BPRED
58995651047;134;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00001bf7;1;1448;44;47;229;135;30;0;BPRED
58995651190;239;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00001bf7;1;3892;38;38;292;150;41;0;BPRED
58995651436;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00001bf7;1;647;15;23;77;30;4;0;BPRED
58995651478;311;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00001bf7;1;9804;30;55;224;87;17;0;BPRED
58995651798;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00001bf7;1;581;10;10;71;34;10;0;BPRED
58995651850;53827;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;1;2179682;902;1759;6760;380;154;0;BPRED
58995705685;53139;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;1;2166154;314;1122;3222;23;39;0;BPRED
58995758831;53505;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;1;2177955;699;1512;5860;17;89;0;BPRED
58995812343;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;1;2171235;548;1327;4172;9;66;0;BPRED
58995865615;53221;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;1;2168002;393;1186;3483;53;60;0;BPRED
58995918843;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;1;2171178;560;1326;4177;3;57;0;BPRED
58995972128;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;1;2171224;625;1392;4266;12;37;0;BPRED
58996025397;53219;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;1;2166121;360;1083;2995;1;22;0;BPRED
58996078623;53363;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001bf7;1;2171193;461;1182;3871;1;38;0;BPRED
