TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
66965707944;1144087;"MAF";"INTERVAL";"PROBE";1;63;0x00001ccd;0;92228465;32237316;13453792;8919676;637245;16957;0;BPRED
66965708327;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;2489;640;578;414;37;6;0;BPRED
66965708444;241;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;8062;2374;1318;1012;106;0;0;BPRED
66965708692;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00001ccd;0;3040;706;480;529;70;8;0;BPRED
66965708770;321;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00001ccd;0;21143;7612;2056;1632;145;16;0;BPRED
66965709100;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00001ccd;0;1097;256;226;192;17;0;0;BPRED
66965709153;54110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4338455;1515168;633346;422587;29344;993;0;BPRED
66965763274;53442;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4314694;1509921;630174;417486;28808;958;0;BPRED
66965816724;53190;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4298693;1506204;628036;414521;28386;855;0;BPRED
66965869921;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4307525;1508342;629257;416037;28512;867;0;BPRED
66965923196;53210;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4299470;1506390;628151;414688;28391;845;0;BPRED
66965976414;53338;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4311254;1509122;629707;416797;28560;860;0;BPRED
66966029759;53386;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4313261;1509601;629948;417129;28716;854;0;BPRED
66966083153;53159;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4298717;1506211;628047;414533;28327;801;0;BPRED
66966136319;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4307470;1508336;629261;416036;28428;841;0;BPRED
66966189589;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4307453;1508333;629257;416029;28411;824;0;BPRED
66966242861;53105;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4295407;1505492;627624;413845;28243;778;0;BPRED
66966295973;53368;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4307383;1508329;629260;416029;30917;842;0;BPRED
66966349348;53711;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4323304;1511989;631360;418947;31600;903;0;BPRED
66966403066;53221;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4295341;1505493;627623;413844;30791;807;0;BPRED
66966456311;53379;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4307523;1508336;629263;416030;31029;828;0;BPRED
66966509697;53415;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4307497;1508339;629260;416039;30996;830;0;BPRED
66966563121;53228;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4295369;1505493;627623;413839;30799;766;0;BPRED
66966616356;53424;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4307493;1508333;629266;416033;30943;792;0;BPRED
66966669787;53386;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001ccd;0;4307467;1508330;629260;416022;31007;843;0;BPRED
