TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
91545025105;1143915;"MAF";"INTERVAL";"PROBE";1;63;0x00001f5a;0;99;55;46426061;59541448;6104;46427767;0;BPRED
91545025469;102;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;1;2;1457;2066;328;1461;0;BPRED
91545025578;230;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;0;2;3901;5991;592;3905;0;BPRED
91545025817;69;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00001f5a;0;1;3;1450;2773;125;1461;0;BPRED
91545025896;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00001f5a;0;0;1;9809;13266;312;9813;0;BPRED
91545026223;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00001f5a;0;0;0;585;905;108;589;0;BPRED
91545026273;53453;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;21;6;2167901;2772758;2284;2167951;0;BPRED
91545079734;53440;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;4;4;2172032;2790952;178;2172127;0;BPRED
91545133181;53787;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;4;2;2185953;2800970;420;2186272;0;BPRED
91545186976;53229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;2;2;2166463;2777193;24;2166512;0;BPRED
91545240212;53407;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;1;1;2173267;2780291;62;2173363;0;BPRED
91545293626;53349;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;4;3;2173390;2763455;83;2173487;0;BPRED
91545346982;53229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;4;0;2168123;2755168;223;2168185;0;BPRED
91545400218;53333;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;1;1;2173218;2764417;24;2173317;0;BPRED
91545453558;53490;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;17;3;2175132;2775759;308;2175238;0;BPRED
91545507055;53224;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;4;1;2166397;2777992;12;2166446;0;BPRED
91545560286;53376;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;2;1;2171819;2788309;40;2171910;0;BPRED
91545613670;53386;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;3;2;2171840;2790420;4;2171931;0;BPRED
91545667065;53227;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;1;2;2166461;2776638;8;2166510;0;BPRED
91545720299;53373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;1;2;2171830;2786890;8;2171924;0;BPRED
91545773679;53472;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;8;2;2172499;2790243;194;2172593;0;BPRED
91545827158;53228;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;1;0;2166498;2774744;8;2166547;0;BPRED
91545880393;53374;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;1;2;2171833;2787804;8;2171927;0;BPRED
91545933774;53390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;3;2;2171892;2789156;4;2171983;0;BPRED
91545987171;53149;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;2;2;2166368;2760035;12;2166417;0;BPRED
91546040328;53257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;1;0;2171840;2759033;4;2171934;0;BPRED
91546093592;75420;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00001f5a;0;2;4;2964302;3919993;439;2964435;0;BPRED
91546625004;1142870;"MAF";"INTERVAL";"PROBE";1;63;0x00001f5a;1;98;61;46470098;59213846;5069;46471504;0;BPRED
91546625021;92;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00001f5a;1;1;2;1453;2076;324;1457;0;BPRED
91546625120;192;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00001f5a;1;0;1;3895;5961;416;3899;0;BPRED
91546625320;30;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00001f5a;1;0;0;650;919;88;654;0;BPRED
91546625359;303;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00001f5a;1;0;0;9810;13351;252;9814;0;BPRED
91546625671;35;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00001f5a;1;0;0;584;896;84;588;0;BPRED
91546625712;53161;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;1;16;3;2166888;2753104;49;2166929;0;BPRED
91546678880;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;1;6;9;2171204;2760434;32;2171284;0;BPRED
91546732153;53250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;1;3;5;2171137;2761098;4;2171215;0;BPRED
91546785411;53101;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;1;2;0;2166116;2747704;4;2166156;0;BPRED
91546838519;53160;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;1;3;2;2168108;2754015;20;2168172;0;BPRED
91546891686;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;1;3;3;2171181;2760368;12;2171259;0;BPRED
91546944953;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;1;2;1;2166138;2750559;4;2166186;0;BPRED
91546998062;53241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;1;3;2;2171055;2764015;26;2171140;0;BPRED
91547051310;53243;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001f5a;1;3;3;2171224;2761193;4;2171313;0;BPRED
