TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
106699057884;1144148;"MAF";"INTERVAL";"PROBE";1;63;0x0000220d;0;92267784;32245535;13458337;8928291;618805;16549;0;BPRED
106699058221;102;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000220d;0;2491;640;578;415;41;10;0;BPRED
106699058332;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000220d;0;8061;2375;1320;1012;103;0;0;BPRED
106699058567;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000220d;0;3026;702;480;526;75;6;0;BPRED
106699058642;314;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000220d;0;21142;7612;2056;1632;147;25;0;BPRED
106699058963;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000220d;0;1095;256;226;192;16;0;0;BPRED
106699059009;54023;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4325274;1512183;631446;419742;29880;896;0;BPRED
106699113041;53628;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4319804;1510991;630774;418545;29178;885;0;BPRED
106699166678;53388;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4311453;1509028;629661;417187;28798;882;0;BPRED
106699220073;53928;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4336729;1514664;632867;422320;30346;853;0;BPRED
106699274009;53678;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4325650;1512297;631546;419792;29920;914;0;BPRED
106699327695;53138;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4295424;1505487;627620;413845;28362;838;0;BPRED
106699380840;53580;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4322617;1511675;631172;419214;28945;807;0;BPRED
106699434428;53288;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4307495;1508329;629261;416036;28495;796;0;BPRED
106699487723;53136;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4295395;1505485;627618;413852;28249;711;0;BPRED
106699540866;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4307483;1508320;629258;416035;28384;795;0;BPRED
106699594143;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4307464;1508324;629253;416030;28416;844;0;BPRED
106699647419;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4295360;1505479;627618;413840;28223;788;0;BPRED
106699700537;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4307510;1508319;629252;416030;28421;790;0;BPRED
106699753811;53306;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4307554;1508335;629255;416041;28446;752;0;BPRED
106699807124;53129;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4295370;1505495;627617;413844;28286;786;0;BPRED
106699860260;53276;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4307497;1508334;629245;416032;28448;869;0;BPRED
106699913543;53348;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4311758;1509303;629837;416834;28528;825;0;BPRED
106699966898;53116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4295368;1505503;627618;413844;28301;842;0;BPRED
106700020021;53274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4307489;1508323;629245;416030;28411;816;0;BPRED
106700073302;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;0;4307504;1508323;629253;416029;28448;753;0;BPRED
106700126593;75431;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000220d;0;6000619;2050722;857435;586051;43373;63;0;BPRED
106700657793;1144693;"MAF";"INTERVAL";"PROBE";1;63;0x0000220d;1;92331646;32283860;13467738;8920386;640923;15370;0;BPRED
106700657809;79;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000220d;1;2489;640;578;414;36;6;0;BPRED
106700657894;198;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000220d;1;8057;2377;1319;1013;95;4;0;BPRED
106700658100;30;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000220d;1;1169;271;246;181;5;0;0;BPRED
106700658139;304;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000220d;1;21137;7612;2055;1632;138;19;0;BPRED
106700658450;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000220d;1;1096;256;226;192;18;0;0;BPRED
106700658495;53324;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4309723;1508585;629315;416546;28792;857;0;BPRED
106700711827;53286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4306760;1508065;629018;415979;28520;775;0;BPRED
106700765121;53173;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4299271;1506335;628086;414628;28389;796;0;BPRED
106700818301;53261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4306749;1508084;629023;415987;28488;804;0;BPRED
106700871569;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4306437;1508032;628996;415939;28397;735;0;BPRED
106700924835;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4294965;1505353;627500;413819;28284;719;0;BPRED
106700977956;53198;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4300013;1506503;628125;414689;28317;776;0;BPRED
106701031161;53185;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4300176;1506519;628130;414705;28349;766;0;BPRED
106701084353;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4294712;1505305;627484;413753;28255;763;0;BPRED
106701137469;53366;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4306308;1508017;629004;415904;30684;692;0;BPRED
106701190842;53364;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4306565;1508043;629017;415970;30892;787;0;BPRED
106701244214;53229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4294889;1505332;627501;413805;30834;726;0;BPRED
106701297450;53361;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4306178;1507989;628995;415895;30931;776;0;BPRED
106701350818;53388;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4308055;1508376;629131;416432;31001;694;0;BPRED
106701404213;53246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000220d;1;4295005;1505355;627514;413817;30815;767;0;BPRED
