TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
111349165743;1143207;"MAF";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;8920201;0;0;36120;0;BPRED
111349166127;108;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;415;0;0;138;0;BPRED
111349166248;234;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;1013;0;0;213;0;BPRED
111349166489;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;526;0;0;187;0;BPRED
111349166565;319;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;1632;0;0;123;0;BPRED
111349166893;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;192;0;0;46;0;BPRED
111349166944;53970;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;417985;0;0;2714;0;BPRED
111349220924;53416;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;416684;0;0;1996;0;BPRED
111349274348;53509;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;420390;0;0;1488;0;BPRED
111349327864;53354;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;417116;0;0;1997;0;BPRED
111349381225;53351;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;416808;0;0;1959;0;BPRED
111349434583;53182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;414521;0;0;1271;0;BPRED
111349487773;53394;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;416845;0;0;1918;0;BPRED
111349541174;53444;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;417571;0;0;2382;0;BPRED
111349594625;53114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;413847;0;0;970;0;BPRED
111349647748;53378;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;417210;0;0;2093;0;BPRED
111349701134;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;416036;0;0;1689;0;BPRED
111349754411;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;413844;0;0;872;0;BPRED
111349807520;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;416030;0;0;1579;0;BPRED
111349860792;53285;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;416049;0;0;1589;0;BPRED
111349914084;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;413849;0;0;877;0;BPRED
111349967211;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;416036;0;0;1531;0;BPRED
111350020478;53280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;416024;0;0;1543;0;BPRED
111350073765;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;413763;0;0;808;0;BPRED
111350126887;53279;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;415967;0;0;1583;0;BPRED
111350180173;53316;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;416368;0;0;1755;0;BPRED
111350233496;75446;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002289;0;0;0;586139;0;0;1759;0;BPRED
111350765640;1145730;"MAF";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;8923942;0;0;29040;0;BPRED
111350765660;100;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;415;0;0;129;0;BPRED
111350765766;197;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;1013;0;0;206;0;BPRED
111350765969;30;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;181;0;0;24;0;BPRED
111350766009;305;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;1632;0;0;107;0;BPRED
111350766323;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;192;0;0;42;0;BPRED
111350766369;53445;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;416684;0;0;1961;0;BPRED
111350819822;53375;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;415969;0;0;1536;0;BPRED
111350873204;53216;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;413888;0;0;882;0;BPRED
111350926441;53365;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;415979;0;0;1481;0;BPRED
111350979813;53356;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;415946;0;0;1455;0;BPRED
111351033176;53207;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;413810;0;0;836;0;BPRED
111351086390;53356;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;416054;0;0;1488;0;BPRED
111351139755;53420;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;416773;0;0;1713;0;BPRED
111351193182;53209;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;413820;0;0;818;0;BPRED
111351246399;53355;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;415972;0;0;1461;0;BPRED
111351299761;53368;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;415936;0;0;1445;0;BPRED
111351353136;53209;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;413805;0;0;835;0;BPRED
111351406352;53358;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;415956;0;0;1455;0;BPRED
111351459717;53436;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;416466;0;0;1455;0;BPRED
111351513167;53309;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;413821;0;0;831;0;BPRED
111351566490;53457;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;415972;0;0;1440;0;BPRED
111351619959;53477;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;415976;0;0;1473;0;BPRED
111351673453;53280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;413726;0;0;803;0;BPRED
111351726746;53367;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;415975;0;0;1496;0;BPRED
111351780122;53289;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;415971;0;0;1465;0;BPRED
111351833425;77936;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002289;1;0;0;606663;0;0;1533;0;BPRED
111352365770;1149406;"MAF";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;8945869;0;0;30640;0;BPRED
111352365798;131;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;415;0;0;132;0;BPRED
111352365938;267;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;1192;0;0;219;0;BPRED
111352366214;40;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;181;0;0;39;0;BPRED
111352366265;311;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;1632;0;0;107;0;BPRED
111352366585;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;192;0;0;45;0;BPRED
111352366632;53578;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;416542;0;0;1861;0;BPRED
111352420223;53443;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;415900;0;0;1507;0;BPRED
111352473677;53289;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;413819;0;0;835;0;BPRED
111352526973;53445;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;415990;0;0;1468;0;BPRED
111352580426;53321;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;414688;0;0;1169;0;BPRED
111352633754;53227;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;413839;0;0;834;0;BPRED
111352687005;53373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;415966;0;0;1489;0;BPRED
111352740385;53693;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;416290;0;0;1862;0;BPRED
111352794089;53362;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;414540;0;0;1053;0;BPRED
111352847459;53371;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;415984;0;0;1527;0;BPRED
111352900837;53382;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;416019;0;0;1556;0;BPRED
111352954226;53231;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;413864;0;0;852;0;BPRED
111353007464;53344;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;416068;0;0;1586;0;BPRED
111353060819;53366;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;416142;0;0;1614;0;BPRED
111353114200;53242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;413878;0;0;874;0;BPRED
111353167456;53633;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;416900;0;0;2066;0;BPRED
111353221106;53441;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;416042;0;0;1560;0;BPRED
111353274558;53196;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;413921;0;0;940;0;BPRED
111353327764;53320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;416032;0;0;1597;0;BPRED
111353381095;53289;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;416020;0;0;1556;0;BPRED
111353434397;80771;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002289;2;0;0;628466;0;0;1599;0;BPRED
111353965664;1150343;"MAF";"INTERVAL";"PROBE";1;63;0x00002289;3;0;0;8967245;0;0;29684;0;BPRED
111353965699;119;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002289;3;0;0;415;0;0;119;0;BPRED
111353965825;257;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002289;3;0;0;1192;0;0;211;0;BPRED
111353966090;40;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002289;3;0;0;181;0;0;27;0;BPRED
111353966140;305;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002289;3;0;0;1632;0;0;93;0;BPRED
111353966454;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002289;3;0;0;192;0;0;44;0;BPRED
111353966506;53462;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;3;0;0;416495;0;0;1881;0;BPRED
111354019980;53315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;3;0;0;415963;0;0;1530;0;BPRED
111354073307;53145;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002289;3;0;0;413815;0;0;831;0;BPRED
