TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
119320499235;1142947;"MAF";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;46404169;0;59401797;31985;0;BPRED
119320499608;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;1455;0;2091;144;0;BPRED
119320499722;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;3901;0;6075;212;0;BPRED
119320499958;70;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;1454;0;2837;227;0;BPRED
119320500038;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;9813;0;13389;145;0;BPRED
119320500364;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;586;0;925;62;0;BPRED
119320500411;53966;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2184541;0;2797585;2471;0;BPRED
119320554386;53447;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2174189;0;2773550;2271;0;BPRED
119320607840;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2167496;0;2766077;1152;0;BPRED
119320661080;53410;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2174082;0;2766658;2182;0;BPRED
119320714497;53239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2169576;0;2756662;1530;0;BPRED
119320767743;53123;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2166432;0;2751691;852;0;BPRED
119320820873;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2171181;0;2759724;1553;0;BPRED
119320874150;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2171335;0;2761055;1543;0;BPRED
119320927424;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2166277;0;2749381;856;0;BPRED
119320980542;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2171188;0;2762695;1503;0;BPRED
119321033806;53392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2173451;0;2765548;1804;0;BPRED
119321087205;53114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2166156;0;2747525;844;0;BPRED
119321140326;53184;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2168287;0;2758243;1127;0;BPRED
119321193518;53400;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2172906;0;2781914;1724;0;BPRED
119321246926;53226;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2166128;0;2777159;885;0;BPRED
119321300159;53293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2168554;0;2781862;1139;0;BPRED
119321353459;53367;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2171313;0;2786191;1515;0;BPRED
119321406833;53226;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2166129;0;2775408;831;0;BPRED
119321460067;53372;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2171140;0;2788469;1484;0;BPRED
119321513447;53367;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2171201;0;2787392;1537;0;BPRED
119321566822;75352;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000235e;0;0;0;2955595;0;3947378;1226;0;BPRED
119322099140;1143540;"MAF";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;46480520;0;59223869;28788;0;BPRED
119322099157;97;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;1451;0;2066;145;0;BPRED
119322099260;201;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;3893;0;5943;193;0;BPRED
119322099469;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;651;0;910;36;0;BPRED
119322099510;310;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;9805;0;13147;124;0;BPRED
119322099829;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;584;0;930;46;0;BPRED
119322099876;53342;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;2172079;0;2765314;1935;0;BPRED
119322153226;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;2171258;0;2760075;1550;0;BPRED
119322206501;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;2166094;0;2749102;869;0;BPRED
119322259619;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;2171202;0;2759447;1536;0;BPRED
119322312886;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;2171278;0;2761915;1506;0;BPRED
119322366166;53070;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000235e;1;0;0;2163137;0;2740797;436;0;BPRED
