TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
98063361610;1143804;"MAF";"INTERVAL";"PROBE";1;63;0x00002127;0;46451338;12339;28124;98132;1588;1396;0;BPRED
98063361982;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002127;0;1453;41;46;230;77;27;0;BPRED
98063362092;234;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002127;0;3891;26;29;277;145;35;0;BPRED
98063362333;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002127;0;1448;30;32;277;27;10;0;BPRED
98063362409;322;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002127;0;9806;32;58;246;91;24;0;BPRED
98063362739;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002127;0;582;9;9;74;26;12;0;BPRED
98063362785;53458;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2167364;514;1422;4214;617;153;0;BPRED
98063416252;53758;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2179600;780;1662;6380;224;97;0;BPRED
98063470017;53613;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2179337;842;1675;6460;59;65;0;BPRED
98063523651;53493;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2177642;706;1562;5870;10;47;0;BPRED
98063577151;53337;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2173018;407;1235;4523;5;37;0;BPRED
98063630495;53490;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2177061;710;1447;5707;8;50;0;BPRED
98063683993;53502;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2178036;706;1521;5850;5;47;0;BPRED
98063737502;53173;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2167409;473;1217;3643;2;32;0;BPRED
98063790682;53505;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2178022;770;1564;5994;6;54;0;BPRED
98063844214;53423;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2174741;542;1361;4966;11;38;0;BPRED
98063897658;53118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2166131;265;1028;3038;2;34;0;BPRED
98063950783;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2171054;533;1321;4142;4;65;0;BPRED
98064004044;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2171332;452;1205;3939;7;39;0;BPRED
98064057310;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002127;0;2166076;407;1148;3141;3;64;0;BPRED
