TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
136431470980;1143412;"MAF";"INTERVAL";"PROBE";1;63;0x00002720;0;46426146;11914;28047;90991;1971;1546;0;BPRED
136431471349;104;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002720;0;1454;38;42;219;101;25;0;BPRED
136431471462;227;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002720;0;3894;27;30;277;151;28;0;BPRED
136431471695;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002720;0;1446;30;29;269;27;12;0;BPRED
136431471770;321;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002720;0;9806;32;57;247;91;25;0;BPRED
136431472102;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002720;0;582;10;10;82;29;8;0;BPRED
136431472150;53746;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2172566;679;1582;5334;805;151;0;BPRED
136431525908;53917;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2186924;740;1628;5372;221;119;0;BPRED
136431579832;53199;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2167371;428;1276;3717;24;55;0;BPRED
136431633038;53437;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2173747;677;1519;5105;49;36;0;BPRED
136431686484;53434;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2173605;629;1444;4957;46;33;0;BPRED
136431739925;53202;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2166259;337;1091;3070;12;39;0;BPRED
136431793134;53458;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2172372;588;1391;4583;28;45;0;BPRED
136431846599;53365;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2172844;621;1436;4820;18;81;0;BPRED
136431899971;53128;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2166487;345;1069;3043;9;39;0;BPRED
136431953106;53476;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2174992;791;1610;5396;87;63;0;BPRED
136432006589;53285;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2171851;528;1341;4336;5;57;0;BPRED
136432059881;53117;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2166437;281;1091;3082;5;49;0;BPRED
136432113005;53289;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2171825;589;1399;4386;8;74;0;BPRED
136432166301;53293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2171832;610;1400;4356;7;55;0;BPRED
136432219602;53127;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2166412;417;1173;3222;8;56;0;BPRED
136432272736;53352;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2173129;644;1468;4757;30;60;0;BPRED
136432326095;53289;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2171834;657;1435;4484;9;58;0;BPRED
136432379391;53122;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002720;0;2166453;395;1165;3212;3;61;0;BPRED
