TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
165660373157;1143758;"MAF";"INTERVAL";"PROBE";1;63;0x00002a2c;0;56;9;46416302;59377483;8094;46418005;0;BPRED
165660373518;99;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;1456;2116;308;1460;0;BPRED
165660373626;241;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;3902;6078;548;3906;0;BPRED
165660373874;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002a2c;0;3;0;1450;2827;108;1461;0;BPRED
165660373950;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;9811;13391;328;9815;0;BPRED
165660374271;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;586;903;112;590;0;BPRED
165660374319;54043;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;25;6;2179538;2796054;3403;2179694;0;BPRED
165660428374;53770;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;11;1;2180736;2792548;803;2180894;0;BPRED
165660482152;53195;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;2;0;2166154;2766405;72;2166199;0;BPRED
165660535362;53634;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2179293;2796083;141;2179454;0;BPRED
165660589003;53504;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2177597;2773949;76;2177739;0;BPRED
165660642514;53420;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;4;0;2173233;2767516;239;2173345;0;BPRED
165660695941;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;1;0;2169521;2758603;85;2169606;0;BPRED
165660749203;53422;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;1;0;2174807;2772114;97;2174935;0;BPRED
165660802641;53340;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2172744;2764178;66;2172846;0;BPRED
165660855989;53189;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2168170;2756127;60;2168250;0;BPRED
165660909185;53184;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2168265;2755589;64;2168342;0;BPRED
165660962376;53130;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2166153;2750649;49;2166198;0;BPRED
165661015513;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2171211;2761110;72;2171300;0;BPRED
165661068783;53187;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2168444;2756175;57;2168524;0;BPRED
165661121977;53021;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2163117;2740625;30;2163150;0;BPRED
165661175005;53296;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2168238;2780700;53;2168312;0;BPRED
165661228322;53403;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2171279;2787217;63;2171368;0;BPRED
165661281732;53144;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2163109;2768697;35;2163145;0;BPRED
165661334884;53487;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;3;0;2173424;2790914;217;2173521;0;BPRED
165661388378;53281;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;0;0;2168536;2777211;52;2168613;0;BPRED
165661441667;75240;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002a2c;0;1;1;2955516;3904328;572;2955590;0;BPRED
165661973126;1144489;"MAF";"INTERVAL";"PROBE";1;63;0x00002a2c;1;82;24;46486900;59265208;9427;46488480;0;BPRED
165661973155;122;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002a2c;1;2;6;1451;2123;436;1455;0;BPRED
165661973285;206;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002a2c;1;2;3;3900;5933;449;3904;0;BPRED
165661973499;29;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002a2c;1;0;2;650;931;96;654;0;BPRED
165661973536;311;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002a2c;1;1;0;9812;13492;328;9816;0;BPRED
165661973856;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002a2c;1;0;0;584;954;136;588;0;BPRED
165661973908;53368;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;1;25;2;2168883;2758674;1491;2168940;0;BPRED
165662027284;53297;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;1;2;0;2171326;2764094;104;2171406;0;BPRED
165662080588;53131;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;1;0;0;2166199;2749043;43;2166240;0;BPRED
165662133726;53364;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;1;7;2;2173159;2764537;224;2173249;0;BPRED
165662187097;53327;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;1;2;2;2172544;2765103;101;2172629;0;BPRED
165662240431;53034;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002a2c;1;0;0;2163197;2743811;32;2163228;0;BPRED
