TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
195926221905;1142933;"MAF";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;46407725;0;59173560;32549;0;BPRED
195926222293;108;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;1456;0;2126;133;0;BPRED
195926222410;227;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;3899;0;5981;207;0;BPRED
195926222645;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;1454;0;2733;200;0;BPRED
195926222721;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;9809;0;13453;120;0;BPRED
195926223042;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;586;0;926;49;0;BPRED
195926223089;53887;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2175947;0;2777021;2732;0;BPRED
195926276986;53855;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2187434;0;2785009;2373;0;BPRED
195926330849;53128;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2166094;0;2752526;864;0;BPRED
195926383984;53368;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2171849;0;2764858;1890;0;BPRED
195926437363;53532;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2175580;0;2771589;2378;0;BPRED
195926490902;53183;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2167399;0;2752994;1170;0;BPRED
195926544101;53461;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2174463;0;2768869;2102;0;BPRED
195926597569;53206;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2168252;0;2756118;1211;0;BPRED
195926650782;53127;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2166427;0;2749837;845;0;BPRED
195926703916;53274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2171219;0;2762356;1532;0;BPRED
195926757212;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2171209;0;2760104;1471;0;BPRED
195926810484;53122;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2166121;0;2749787;870;0;BPRED
195926863618;53354;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2171116;0;2763886;1461;0;BPRED
195926916983;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2169271;0;2757837;1319;0;BPRED
195926970243;53127;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2166093;0;2751041;881;0;BPRED
195927023377;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2171206;0;2758725;1489;0;BPRED
195927076655;53337;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2170119;0;2759236;1461;0;BPRED
195927129998;53125;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2166169;0;2750686;843;0;BPRED
195927183130;53190;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2168230;0;2757750;1090;0;BPRED
195927236327;53186;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2168208;0;2752620;1189;0;BPRED
195927289537;75291;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002de5;0;0;0;2958317;0;3911244;1573;0;BPRED
195927821873;1145813;"MAF";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;46460450;0;59729559;26076;0;BPRED
195927821894;134;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;1453;0;2085;131;0;BPRED
195927822036;238;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;3897;0;5963;215;0;BPRED
195927822282;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;650;0;914;32;0;BPRED
195927822325;307;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;9806;0;13165;112;0;BPRED
195927822642;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;584;0;883;49;0;BPRED
195927822694;53612;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2174828;0;2779372;2526;0;BPRED
195927876314;53446;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2172630;0;2770303;1975;0;BPRED
195927929767;53175;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2166219;0;2763847;913;0;BPRED
195927982949;53320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2168306;0;2781217;1178;0;BPRED
195928036277;53311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2168326;0;2781958;1124;0;BPRED
195928089597;53231;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2166211;0;2780802;834;0;BPRED
195928142835;53307;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2168290;0;2784069;1112;0;BPRED
195928196149;53323;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2168425;0;2785513;1128;0;BPRED
195928249479;53148;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2163199;0;2772002;442;0;BPRED
195928302634;53318;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2168344;0;2781608;1141;0;BPRED
195928355960;53308;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2168160;0;2778765;1118;0;BPRED
195928409275;53225;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2166220;0;2776777;804;0;BPRED
195928462507;53383;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2171201;0;2787342;1523;0;BPRED
195928515897;53309;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2168311;0;2779325;1104;0;BPRED
195928569213;53163;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2163223;0;2768848;450;0;BPRED
195928622388;53398;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2168520;0;2780867;1179;0;BPRED
195928675794;53503;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2169618;0;2786968;1414;0;BPRED
195928729307;53485;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2168247;0;2780458;1069;0;BPRED
195928782799;53400;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2168606;0;2784035;1141;0;BPRED
195928836208;53330;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;2168256;0;2782290;1089;0;BPRED
195928889564;78113;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002de5;1;0;0;3062705;0;4092946;1545;0;BPRED
