TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
55656878630;1142402;"MAF";"INTERVAL";"PROBE";1;63;0x000019f2;0;145;14;46417007;59164744;7236;46418459;0;NOSTRESS
55656878993;101;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000019f2;0;1;3;1456;2074;368;1460;0;NOSTRESS
55656879104;227;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000019f2;0;1;1;3899;6101;586;3903;0;NOSTRESS
55656879337;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000019f2;0;1;0;1451;2698;117;1462;0;NOSTRESS
55656879412;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000019f2;0;0;0;9807;13495;328;9811;0;NOSTRESS
55656879728;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000019f2;0;0;0;585;907;104;589;0;NOSTRESS
55656879772;53594;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;25;8;2173350;2767522;3183;2173436;0;NOSTRESS
55656933375;53417;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;5;0;2174285;2766797;339;2174382;0;NOSTRESS
55656986799;53184;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;5;0;2167707;2751475;132;2167757;0;NOSTRESS
55657039990;53413;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;12;0;2174239;2767847;103;2174342;0;NOSTRESS
55657093411;53471;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;1;0;2174074;2765529;279;2174178;0;NOSTRESS
55657146889;53133;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;4;0;2166461;2753057;34;2166504;0;NOSTRESS
55657200030;53528;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;15;1;2175489;2771617;422;2175598;0;NOSTRESS
55657253565;53325;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;5;0;2173036;2762287;12;2173131;0;NOSTRESS
55657306897;53159;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;4;0;2167775;2752882;8;2167829;0;NOSTRESS
55657360064;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;6;0;2171831;2760261;24;2171922;0;NOSTRESS
55657413343;53277;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;5;0;2171981;2760906;17;2172087;0;NOSTRESS
55657466628;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;5;0;2166423;2748881;21;2166469;0;NOSTRESS
55657519749;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;10;0;2171803;2758363;16;2171894;0;NOSTRESS
55657573020;53334;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;14;0;2173216;2765433;105;2173308;0;NOSTRESS
55657626361;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;5;0;2166202;2750478;12;2166247;0;NOSTRESS
55657679483;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;5;0;2171846;2762007;12;2171931;0;NOSTRESS
55657732758;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;1;0;2171818;2761386;20;2171912;0;NOSTRESS
55657786024;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;4;0;2166413;2750153;4;2166456;0;NOSTRESS
55657839144;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;5;0;2171837;2760452;38;2171925;0;NOSTRESS
55657892419;53301;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000019f2;0;1;0;2171264;2758526;129;2171348;0;NOSTRESS
55657945730;75293;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000019f2;0;0;0;2958967;3909140;531;2959058;0;NOSTRESS
55658478547;1145201;"MAF";"INTERVAL";"PROBE";1;63;0x000019f2;1;201;27;46510548;59326560;9552;46512127;0;NOSTRESS
55658478562;83;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000019f2;1;0;0;1453;2090;276;1457;0;NOSTRESS
55658478651;190;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000019f2;1;0;1;3894;5985;380;3898;0;NOSTRESS
