TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
29751002872;1141259;"MAF";"INTERVAL";"PROBE";1;63;0x0000178c;0;46387131;9199;24769;79998;1594;1517;0;NOSTRESS
29751003250;106;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000178c;0;1452;41;44;223;103;17;0;NOSTRESS
29751003365;226;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000178c;0;3899;30;30;264;150;31;0;NOSTRESS
29751003598;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000178c;0;1449;37;52;323;39;11;0;NOSTRESS
29751003673;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000178c;0;9810;21;36;207;86;9;0;NOSTRESS
29751003996;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000178c;0;582;10;11;78;31;9;0;NOSTRESS
29751004045;53410;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2167660;483;1394;4210;731;166;0;NOSTRESS
29751057464;53494;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2173890;702;1527;5186;114;102;0;NOSTRESS
29751110965;53407;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2173874;601;1371;4811;28;51;0;NOSTRESS
29751164379;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2165461;295;1063;3050;3;26;0;NOSTRESS
29751217488;53181;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2168230;333;1146;3566;11;61;0;NOSTRESS
29751270676;53424;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2174416;556;1389;4862;76;43;0;NOSTRESS
29751324107;53108;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2166146;314;1133;3144;4;55;0;NOSTRESS
29751377222;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2171150;505;1244;4009;3;43;0;NOSTRESS
29751430486;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2171173;465;1199;3880;2;50;0;NOSTRESS
29751483738;53101;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2166095;344;1120;3083;3;50;0;NOSTRESS
29751536846;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2171229;472;1179;3846;2;47;0;NOSTRESS
29751590098;53189;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2168370;309;1044;3263;3;54;0;NOSTRESS
29751643293;53100;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2166167;335;1127;3028;3;73;0;NOSTRESS
29751696400;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2171177;471;1200;3899;2;47;0;NOSTRESS
29751749652;53240;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2171179;417;1165;3781;4;61;0;NOSTRESS
29751802899;53096;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2166095;276;1024;2861;3;45;0;NOSTRESS
29751856002;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2171148;549;1314;4112;4;99;0;NOSTRESS
29751909254;53236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2171169;414;1116;3698;4;87;0;NOSTRESS
29751962497;53089;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2165984;236;1031;2856;6;45;0;NOSTRESS
29752015610;53240;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2171206;451;1255;3949;2;80;0;NOSTRESS
29752068858;75265;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000178c;0;2958249;256;282;2118;119;68;0;NOSTRESS
29752602780;1143138;"MAF";"INTERVAL";"PROBE";1;63;0x0000178c;1;46477929;9277;24172;75793;1516;1638;0;NOSTRESS
29752602799;101;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000178c;1;1447;49;57;238;100;45;0;NOSTRESS
29752602908;192;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000178c;1;3895;31;31;267;110;41;0;NOSTRESS
29752603106;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000178c;1;647;13;20;81;24;14;0;NOSTRESS
29752603148;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000178c;1;9799;28;41;194;70;25;0;NOSTRESS
29752603466;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000178c;1;583;11;11;71;30;19;0;NOSTRESS
29752603512;53160;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2166946;345;1232;3622;33;125;0;NOSTRESS
29752656679;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2171221;579;1335;4248;6;87;0;NOSTRESS
29752709952;53242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2171217;362;1119;3730;2;37;0;NOSTRESS
29752763201;53098;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2166137;272;1005;2841;1;36;0;NOSTRESS
29752816306;53180;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2168457;385;1164;3455;6;67;0;NOSTRESS
29752869493;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2171391;345;1092;3715;1;34;0;NOSTRESS
29752922745;53099;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2166093;285;1051;2947;1;53;0;NOSTRESS
29752975853;53313;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2173092;706;1442;4663;12;77;0;NOSTRESS
29753029174;53236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2171227;362;1128;3715;5;42;0;NOSTRESS
29753082417;53096;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2166092;301;1050;2915;1;44;0;NOSTRESS
29753135520;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2171278;570;1277;4060;1;41;0;NOSTRESS
29753188782;53235;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2171115;451;1225;3913;1;24;0;NOSTRESS
29753242024;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2166295;323;1045;2939;5;52;0;NOSTRESS
29753295141;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2171239;516;1291;4019;1;39;0;NOSTRESS
29753348394;53177;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2168184;480;1167;3498;7;137;0;NOSTRESS
29753401579;53206;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2166075;297;1019;2836;131;199;0;NOSTRESS
29753454796;53341;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2171165;509;1255;3985;243;129;0;NOSTRESS
29753508151;53374;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2171177;607;1282;3996;253;82;0;NOSTRESS
29753561537;53173;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2166138;392;1113;3025;192;56;0;NOSTRESS
29753614720;53230;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;1;2168103;585;1260;3625;102;79;0;NOSTRESS
29753667962;77948;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000178c;1;3062625;276;267;2006;116;18;0;NOSTRESS
29754202797;1147254;"MAF";"INTERVAL";"PROBE";1;63;0x0000178c;2;46602299;9310;25091;79749;2976;1270;0;NOSTRESS
29754202821;121;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000178c;2;1452;41;47;226;133;46;0;NOSTRESS
29754202949;235;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000178c;2;4913;31;33;285;141;8;0;NOSTRESS
29754203190;30;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000178c;2;647;15;20;82;22;5;0;NOSTRESS
29754203231;302;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000178c;2;9805;20;32;160;80;4;0;NOSTRESS
29754203543;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000178c;2;582;10;10;62;28;1;0;NOSTRESS
29754203590;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2166961;360;1234;3644;269;96;0;NOSTRESS
29754256866;53328;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2171340;599;1382;4336;122;91;0;NOSTRESS
29754310204;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2171185;429;1241;3959;83;36;0;NOSTRESS
29754363476;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2166096;218;1038;2877;63;36;0;NOSTRESS
29754416591;53191;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2168149;441;1205;3557;20;62;0;NOSTRESS
29754469789;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2171422;425;1153;3755;23;36;0;NOSTRESS
29754523050;53100;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2166077;288;1019;2856;9;15;0;NOSTRESS
29754576158;53534;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2172056;574;1423;4716;290;51;0;NOSTRESS
29754629700;53401;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2173058;524;1327;4403;142;132;0;NOSTRESS
29754683114;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2166067;269;1085;3012;44;29;0;NOSTRESS
29754736234;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2171160;403;1168;3839;7;8;0;NOSTRESS
29754789499;53330;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2172657;625;1330;4325;25;7;0;NOSTRESS
29754842852;53135;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2166345;324;1107;3170;23;48;0;NOSTRESS
29754895994;53242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2171142;498;1260;3959;9;38;0;NOSTRESS
29754949243;53296;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2171878;494;1324;4245;39;60;0;NOSTRESS
29755002547;53171;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2166402;298;1105;3040;178;88;0;NOSTRESS
29755055728;53383;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2171776;550;1338;4237;212;73;0;NOSTRESS
29755109124;53585;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2172659;593;1381;4496;495;114;0;NOSTRESS
29755162724;53210;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2166324;310;1069;3037;205;57;0;NOSTRESS
29755215946;53330;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;2;2171776;502;1286;4119;122;77;0;NOSTRESS
29755269288;80755;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000178c;2;3174076;274;281;2145;102;20;0;NOSTRESS
29755802796;1150672;"MAF";"INTERVAL";"PROBE";1;63;0x0000178c;3;46728963;9679;25279;81622;2637;1147;0;NOSTRESS
29755802828;135;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000178c;3;1449;41;48;214;137;24;0;NOSTRESS
29755802973;253;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000178c;3;4923;28;35;289;153;20;0;NOSTRESS
29755803233;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000178c;3;647;14;13;68;31;3;0;NOSTRESS
29755803276;314;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000178c;3;9799;19;31;178;82;12;0;NOSTRESS
29755803599;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000178c;3;582;10;10;75;32;4;0;NOSTRESS
29755803651;53478;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2168378;484;1327;4136;450;103;0;NOSTRESS
29755857139;53510;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2174115;694;1461;5121;186;103;0;NOSTRESS
29755910659;53409;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2173974;551;1335;4777;125;92;0;NOSTRESS
29755964081;53148;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2166339;273;1088;3085;80;49;0;NOSTRESS
29756017242;53290;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2171384;543;1274;4052;17;57;0;NOSTRESS
29756070540;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2171370;456;1174;3821;3;45;0;NOSTRESS
29756123801;53056;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2163369;206;944;2328;8;11;0;NOSTRESS
29756176864;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2171428;474;1213;3902;4;11;0;NOSTRESS
29756230146;53273;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2171347;581;1277;4046;16;26;0;NOSTRESS
29756283426;53244;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2168242;395;1155;3375;61;27;0;NOSTRESS
29756336678;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2171396;499;1363;4042;6;5;0;NOSTRESS
29756389951;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2171402;463;1226;3925;11;24;0;NOSTRESS
29756443228;53145;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2166574;292;1126;3139;14;69;0;NOSTRESS
29756496380;53286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2172148;498;1290;4206;3;29;0;NOSTRESS
29756549673;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2171388;375;1091;3595;17;35;0;NOSTRESS
29756602943;53183;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2166437;274;1049;2939;160;78;0;NOSTRESS
29756656138;53419;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2171864;470;1257;4064;251;65;0;NOSTRESS
29756709570;53429;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2171837;535;1345;4266;305;47;0;NOSTRESS
29756763016;53173;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2166625;334;1100;3014;138;37;0;NOSTRESS
29756816200;53452;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000178c;3;2173219;610;1474;4764;134;104;0;NOSTRESS
29756869665;83795;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000178c;3;3292436;344;357;3011;122;27;0;NOSTRESS
29757402778;1153392;"MAF";"INTERVAL";"PROBE";1;63;0x0000178c;4;46844942;9229;24697;79011;2514;969;0;NOSTRESS
29757402808;124;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000178c;4;1452;41;48;230;121;34;0;NOSTRESS
29757402940;242;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000178c;4;4912;31;32;284;135;14;0;NOSTRESS
