TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
1562676163339;1175459;"MAF";"INTERVAL";"PROBE";1;63;0x00007470;0;95220166;32946622;13854311;9543683;658229;20033;0;BPRED
1562676163652;117;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00007470;0;2488;640;578;415;39;9;0;BPRED
1562676163780;240;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00007470;0;8052;2374;1318;1012;85;0;0;BPRED
1562676164026;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00007470;0;3025;703;480;525;73;1;0;BPRED
1562676164102;320;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00007470;0;21135;7612;2055;1632;116;15;0;BPRED
1562676164430;47;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00007470;0;1098;256;226;191;13;3;0;BPRED
1562676164484;54519;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4389055;1527547;640050;433288;32729;1071;0;BPRED
1562676219013;54988;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4456690;1543702;649203;447459;32479;987;0;BPRED
1562676274008;54873;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4443433;1540448;647375;444393;31835;1073;0;BPRED
1562676328888;55037;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4468488;1546423;650737;449619;31090;965;0;BPRED
1562676383932;54533;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4427550;1536755;645274;441437;30013;908;0;BPRED
1562676438472;54750;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4445314;1540943;647629;444831;30201;935;0;BPRED
1562676493229;54997;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4468412;1546448;650733;449613;30664;1008;0;BPRED
1562676548233;54770;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4445773;1541036;647703;444876;30291;928;0;BPRED
1562676603011;54524;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4425918;1536369;645080;441180;30060;981;0;BPRED
1562676657542;55018;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4470841;1546988;650845;450583;30554;962;0;BPRED
1562676712567;54670;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4438644;1539390;646761;443494;30163;961;0;BPRED
1562676767244;54583;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4434139;1538311;646201;442728;30057;983;0;BPRED
1562676821835;55083;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4470054;1546828;651064;449861;30604;1037;0;BPRED
1562676876925;54789;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4445340;1541003;647731;444769;30395;862;0;BPRED
1562676931722;55034;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4468908;1546595;650893;449661;30536;1044;0;BPRED
1562676986764;54713;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4435508;1538605;646398;442887;30655;1008;0;BPRED
1562677041487;54914;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4445507;1541007;647694;444813;30706;999;0;BPRED
1562677096410;55322;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4477054;1548514;651988;451090;31429;1104;0;BPRED
1562677151741;54703;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4434486;1538434;646292;442714;30483;1031;0;BPRED
1562677206451;54759;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007470;0;4446131;1541219;647881;444850;30182;1001;0;BPRED
