TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
1577501128041;1175929;"MAF";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;47729400;0;62510239;140043;0;BPRED
1577501128659;126;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;1454;0;2043;156;0;BPRED
1577501128794;248;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;3895;0;6081;214;0;BPRED
1577501129050;77;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;1448;0;2764;243;0;BPRED
1577501129135;329;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;9812;0;13419;129;0;BPRED
1577501129472;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;587;0;880;57;0;BPRED
1577501129523;53802;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2176833;0;2831896;2167;0;BPRED
1577501183336;55024;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2237980;0;2928302;6809;0;BPRED
1577501238367;54783;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2232545;0;2914935;6516;0;BPRED
1577501293157;54813;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2232699;0;2915527;6460;0;BPRED
1577501347978;54957;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2239631;0;2929625;6930;0;BPRED
1577501402942;54657;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2227697;0;2905456;5891;0;BPRED
1577501457608;55187;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2244641;0;2939942;7596;0;BPRED
1577501512802;54812;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2232451;0;2915707;6526;0;BPRED
1577501567622;54653;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2227619;0;2903860;5805;0;BPRED
1577501622283;54974;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2239647;0;2927387;7036;0;BPRED
1577501677264;54767;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2232773;0;2915696;6439;0;BPRED
1577501732039;54839;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2232856;0;2916693;6511;0;BPRED
1577501786886;54976;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2238395;0;2924835;6694;0;BPRED
1577501841869;54920;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2234141;0;2917033;6821;0;BPRED
1577501896797;54913;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2234817;0;2920486;6984;0;BPRED
1577501951717;54967;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2238362;0;2921752;6714;0;BPRED
1577502006693;54889;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2232965;0;2917062;6551;0;BPRED
1577502061593;55043;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2240375;0;2926054;7163;0;BPRED
1577502116644;54858;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2233364;0;2913439;6666;0;BPRED
1577502171510;54635;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;2228067;0;2903507;5932;0;BPRED
1577502226171;77785;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000075e1;0;0;0;3058139;0;4167937;10053;0;BPRED
1577502727935;1179033;"MAF";"INTERVAL";"PROBE";1;63;0x000075e1;1;0;0;47877624;0;62725829;144114;0;BPRED
1577502727960;124;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000075e1;1;0;0;1450;0;2067;159;0;BPRED
1577502728092;232;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000075e1;1;0;0;3895;0;5987;215;0;BPRED
1577502728331;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000075e1;1;0;0;650;0;906;36;0;BPRED
1577502728371;311;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000075e1;1;0;0;9806;0;13533;127;0;BPRED
1577502728691;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000075e1;1;0;0;586;0;909;49;0;BPRED
1577502728740;54883;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000075e1;1;0;0;2230743;0;2914832;6794;0;BPRED
