TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
1580196556086;1174824;"MAF";"INTERVAL";"PROBE";1;63;0x00007623;0;65;32;47736706;62504862;10595;47758205;0;BPRED
1580196556400;119;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00007623;0;1;2;1452;2027;440;1456;0;BPRED
1580196556529;244;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00007623;0;1;1;3894;5992;629;3898;0;BPRED
1580196556779;73;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00007623;0;8;6;1470;2923;168;1481;0;BPRED
1580196556859;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;9803;13614;360;9807;0;BPRED
1580196557185;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;588;876;136;592;0;BPRED
1580196557237;53970;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;37;11;2187191;2833986;4126;2187537;0;BPRED
1580196611214;54844;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;5;5;2232795;2917538;1088;2233773;0;BPRED
1580196666066;54632;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2227494;2910753;96;2228424;0;BPRED
1580196720705;55002;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2242907;2933818;151;2244029;0;BPRED
1580196775714;54659;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2229381;2907712;88;2230356;0;BPRED
1580196830380;54871;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2237919;2922374;114;2239007;0;BPRED
1580196885258;54767;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2232502;2911848;171;2233464;0;BPRED
1580196940033;54766;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2232542;2916807;96;2233523;0;BPRED
1580196994806;55010;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2239576;2926392;136;2240720;0;BPRED
1580197049823;54629;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2227639;2903712;32;2228606;0;BPRED
1580197104460;54746;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2232484;2916733;16;2233478;0;BPRED
1580197159214;55162;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;7;2;2244956;2940351;328;2246123;0;BPRED
1580197214383;54641;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;1;1;2228003;2902988;60;2228975;0;BPRED
1580197269031;54779;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2233299;2913570;37;2234307;0;BPRED
1580197323832;55055;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2243490;2937677;154;2244651;0;BPRED
1580197378897;54822;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00007623;0;0;0;2232853;2912409;536;2233868;0;BPRED
