TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
1554589791729;1175710;"MAF";"INTERVAL";"PROBE";1;63;0x000073a6;0;47743383;38413;57543;261039;3037;1730;0;BPRED
1554589792038;120;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000073a6;0;1449;52;63;271;103;63;0;BPRED
1554589792167;237;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000073a6;0;3896;28;28;281;156;62;0;BPRED
1554589792410;71;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000073a6;0;1445;44;50;318;38;16;0;BPRED
1554589792488;322;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000073a6;0;9804;37;51;252;97;28;0;BPRED
1554589792818;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000073a6;0;584;12;15;81;35;12;0;BPRED
1554589792872;54457;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000073a6;0;2202612;1184;2167;8500;1037;671;0;BPRED
1554589847339;54863;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000073a6;0;2232756;1760;2709;12244;362;278;0;BPRED
1554589902212;55151;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000073a6;0;2244372;2137;3077;14134;100;89;0;BPRED
1554589957372;54699;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000073a6;0;2229583;1720;2659;11746;55;33;0;BPRED
1554590012078;54918;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000073a6;0;2237898;1819;2727;12420;75;71;0;BPRED
1554590067003;54827;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000073a6;0;2232564;1763;2686;12216;54;30;0;BPRED
1554590121838;54749;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000073a6;0;2229562;1779;2651;11704;32;8;0;BPRED
1554590176612;54925;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000073a6;0;2238093;1971;2894;12686;32;11;0;BPRED
