TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
674276626482;358734;"MAF";"INTERVAL";"PROBE";4;63;0x0000368c;0;51152953;7515;3280;68524;2502;875;0;BPRED
674276626725;55;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000368c;0;1609;42;13;398;113;32;0;BPRED
674276626785;86;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000368c;0;4151;29;11;441;155;42;0;BPRED
674276626875;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000368c;0;758;12;9;81;28;10;0;BPRED
674276626901;107;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000368c;0;10585;31;11;236;73;27;0;BPRED
674276627013;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000368c;0;720;10;3;98;26;12;0;BPRED
674276627041;17108;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2406806;527;424;6104;1110;356;0;BPRED
674276644155;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2395394;144;54;1983;0;0;0;BPRED
674276660850;16762;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2399528;369;122;2967;49;10;0;BPRED
674276677616;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2395437;128;54;1947;0;0;0;BPRED
674276694302;16858;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2404356;516;240;4083;63;18;0;BPRED
674276711165;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2397241;144;54;1957;1;1;0;BPRED
674276727867;16957;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2409537;601;296;4739;232;77;0;BPRED
674276744830;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2404495;499;114;4064;42;16;0;BPRED
674276761685;16756;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2398238;130;172;2041;1;1;0;BPRED
674276778446;16838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2403190;522;128;4157;19;4;0;BPRED
674276795289;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2398485;128;164;1969;0;0;0;BPRED
674276811990;16841;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2404653;510;168;4094;35;3;0;BPRED
674276828835;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2396700;128;128;1978;0;1;0;BPRED
674276845527;16824;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2403881;511;191;4050;38;11;0;BPRED
674276862355;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2395666;144;108;1976;0;0;0;BPRED
674276879048;16826;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2403434;521;200;4068;39;14;0;BPRED
674276895878;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2396604;128;97;1970;0;0;0;BPRED
674276912565;16856;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2404258;498;214;4045;167;74;0;BPRED
674276929426;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2396349;128;65;1962;0;0;0;BPRED
674276946115;16756;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000368c;0;2399012;353;119;2890;23;6;0;BPRED
