TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
681565974493;358910;"MAF";"INTERVAL";"PROBE";4;63;0x0000374d;0;91414488;0;0;9240209;429624;0;0;BPRED
681565974751;52;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000374d;0;2484;0;0;444;33;0;0;BPRED
681565974807;92;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000374d;0;8048;0;0;1110;81;0;0;BPRED
681565974903;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000374d;0;1173;0;0;198;6;0;0;BPRED
681565974927;104;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000374d;0;21108;0;0;1719;119;0;0;BPRED
681565975035;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000374d;0;1099;0;0;215;10;0;0;BPRED
681565975062;17133;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4277243;0;0;433715;21236;0;0;BPRED
681565992201;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4273504;0;0;432625;20919;0;0;BPRED
681566009033;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4261457;0;0;429977;20561;0;0;BPRED
681566025728;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4276456;0;0;433142;20782;0;0;BPRED
681566042583;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4261457;0;0;429975;20644;0;0;BPRED
681566059285;16824;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4271984;0;0;432321;20802;0;0;BPRED
681566076113;16703;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4261457;0;0;430036;20655;0;0;BPRED
681566092820;16795;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4272766;0;0;432246;20679;0;0;BPRED
681566109620;16738;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4261457;0;0;429997;20566;0;0;BPRED
681566126362;16815;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4273147;0;0;432388;20771;0;0;BPRED
681566143182;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4261457;0;0;429880;20581;0;0;BPRED
681566159876;16830;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4276105;0;0;432941;20713;0;0;BPRED
681566176711;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4261457;0;0;429879;20614;0;0;BPRED
681566193408;16832;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4271803;0;0;432114;20707;0;0;BPRED
681566210244;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4261457;0;0;429945;20672;0;0;BPRED
681566226948;16900;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4277125;0;0;433166;20834;0;0;BPRED
681566243853;16704;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4261457;0;0;429964;20713;0;0;BPRED
681566260561;16842;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4276276;0;0;433068;20767;0;0;BPRED
681566277408;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4261457;0;0;430030;20733;0;0;BPRED
681566294120;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000374d;0;4276089;0;0;432917;20711;0;0;BPRED
