TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
688192534483;359414;"MAF";"INTERVAL";"PROBE";4;63;0x000037fe;0;41206978;16397309;9252483;23464420;24138747;10681;0;BPRED
688192534754;59;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000037fe;0;802;656;442;1127;0;122;0;BPRED
688192534818;91;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000037fe;0;2779;1483;1076;2924;1198;171;0;BPRED
688192534914;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000037fe;0;349;301;200;605;17;25;0;BPRED
688192534942;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000037fe;0;9352;2539;1734;8153;4027;82;0;BPRED
688192535058;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000037fe;0;369;294;218;654;0;39;0;BPRED
688192535086;17344;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1953552;778128;440342;1119578;1132963;1489;0;BPRED
688192552436;16878;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1944162;772928;433112;1102748;1132628;776;0;BPRED
688192569318;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1938367;769756;429843;1092221;1132503;23;0;BPRED
688192586017;17134;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1949262;776398;440185;1116579;1131308;901;0;BPRED
688192603155;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1938576;769671;429768;1091910;1132863;27;0;BPRED
688192619852;16848;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1942033;771678;432811;1100592;1132115;744;0;BPRED
688192636704;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1938603;769514;429739;1091446;1133029;17;0;BPRED
688192653395;16847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1945983;772904;433052;1101151;1134604;674;0;BPRED
688192670247;16747;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1938725;769404;429660;1091360;1133267;43;0;BPRED
688192686998;16827;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1941322;771247;432825;1100201;1131757;777;0;BPRED
688192703829;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1938344;769329;429655;1091296;1132846;18;0;BPRED
688192720515;16793;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000037fe;0;1941425;771097;432159;1098489;1132474;531;0;BPRED
