TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
697470087735;358441;"MAF";"INTERVAL";"PROBE";4;63;0x0000391d;0;41181174;16382805;51144852;112439337;39317093;9140;0;BPRED
697470087997;52;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000391d;0;804;667;1579;3149;1492;131;0;BPRED
697470088054;92;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000391d;0;2820;1495;4162;9526;4129;161;0;BPRED
697470088150;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000391d;0;376;309;762;1592;721;24;0;BPRED
697470088178;110;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000391d;0;9469;2523;10652;26154;9340;82;0;BPRED
697470088293;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000391d;0;367;278;709;1511;704;29;0;BPRED
697470088318;16963;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1947155;773717;2406980;5306289;1864144;1114;0;BPRED
697470105286;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1942134;770884;2399193;5284390;1853148;24;0;BPRED
697470122001;16848;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1944070;772468;2404787;5298472;1858928;713;0;BPRED
697470138854;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1940232;770008;2398124;5278813;1850339;23;0;BPRED
697470155554;16914;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1944120;772548;2406119;5300344;1860769;848;0;BPRED
697470172472;16679;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1936053;768881;2395223;5269686;1846086;30;0;BPRED
697470189156;16837;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1941835;771618;2403072;5292403;1855830;674;0;BPRED
697470205999;16672;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1934900;768545;2394597;5267012;1845090;25;0;BPRED
697470222676;16872;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1941033;771425;2402605;5290340;1855239;778;0;BPRED
697470239552;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1937976;769486;2396443;5274176;1849048;25;0;BPRED
697470256245;16846;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1940416;771371;2402441;5289859;1855606;676;0;BPRED
697470273096;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1938967;769539;2397166;5276190;1849109;24;0;BPRED
697470289791;16836;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1944133;772065;2405032;5296804;1857321;672;0;BPRED
697470306632;16670;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1934168;768191;2394035;5265239;1844565;26;0;BPRED
697470323306;16810;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1939561;770743;2401835;5286067;1852931;650;0;BPRED
697470340120;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1937193;769111;2395973;5272202;1847821;21;0;BPRED
697470356806;16831;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1943164;771618;2404559;5294123;1856759;674;0;BPRED
697470373642;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1939864;769821;2397906;5277968;1849722;18;0;BPRED
697470390338;16781;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1940070;770676;2401549;5285195;1853030;532;0;BPRED
697470407123;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;0;1939261;769661;2397596;5276754;1850201;20;0;BPRED
697470423818;22354;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x0000391d;0;2348547;956381;3098161;6658618;2222358;598;0;BPRED
697471687752;358906;"MAF";"INTERVAL";"PROBE";4;63;0x0000391d;1;41266431;16412841;51259348;112658521;39367175;8365;0;BPRED
697471687775;79;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000391d;1;779;628;1558;3047;1400;118;0;BPRED
697471687859;106;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000391d;1;2691;1459;4081;9129;3650;149;0;BPRED
697471687969;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000391d;1;373;304;770;1574;663;24;0;BPRED
697471687997;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000391d;1;9176;2471;10533;25277;8654;80;0;BPRED
697471688117;29;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000391d;1;369;298;735;1503;729;30;0;BPRED
697471688150;16982;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1945494;772751;2406340;5301941;1858854;972;0;BPRED
697471705137;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1941428;770561;2399024;5282180;1852178;22;0;BPRED
697471721846;16849;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1944342;771985;2404954;5295741;1856049;609;0;BPRED
697471738700;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1940689;769880;2399021;5279741;1848837;18;0;BPRED
697471755397;16809;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1942684;771356;2403709;5291484;1854209;538;0;BPRED
697471772210;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1938635;769381;2397394;5275118;1847854;20;0;BPRED
697471788897;16798;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1943252;771698;2404183;5292893;1854776;537;0;BPRED
697471805701;16674;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1936911;768789;2396445;5271075;1845082;21;0;BPRED
697471822380;16842;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1946023;772818;2406947;5301793;1859024;621;0;BPRED
697471839227;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1939974;769728;2398389;5278190;1848889;21;0;BPRED
697471855921;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1942009;771232;2403128;5290106;1854011;544;0;BPRED
697471872715;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1936880;768982;2396325;5271255;1846096;17;0;BPRED
697471889398;16783;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1940107;770754;2402031;5285521;1852700;538;0;BPRED
697471906186;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1938764;769563;2397330;5275639;1848562;18;0;BPRED
697471922878;16899;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1942230;771836;2404200;5293631;1856912;808;0;BPRED
697471939781;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1938463;769338;2397243;5274716;1848267;24;0;BPRED
697471956470;16835;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1940778;771293;2403116;5289700;1855262;783;0;BPRED
697471973309;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1939333;769637;2397556;5276818;1849701;20;0;BPRED
697471990003;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1941100;771067;2403153;5290130;1855222;764;0;BPRED
697472006835;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;1;1938266;769368;2396989;5274498;1848165;21;0;BPRED
697472023527;23126;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x0000391d;1;2425992;988558;3205358;6882340;2293770;806;0;BPRED
697473287747;359324;"MAF";"INTERVAL";"PROBE";4;63;0x0000391d;2;41277933;16425419;51320010;112727220;39355281;7577;0;BPRED
697473287771;86;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000391d;2;795;669;1600;3080;1436;127;0;BPRED
697473287861;98;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000391d;2;4015;1938;5435;12310;4952;158;0;BPRED
697473287963;25;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000391d;2;360;294;758;1531;646;24;0;BPRED
697473287994;103;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000391d;2;9011;2463;10471;24855;8472;69;0;BPRED
697473288103;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000391d;2;344;294;712;1431;679;27;0;BPRED
697473288134;16934;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1941514;771856;2403153;5292932;1855764;927;0;BPRED
697473305073;16666;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1933391;767987;2393793;5263947;1842761;21;0;BPRED
697473321743;16789;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1940111;770844;2401839;5286496;1851976;593;0;BPRED
697473338537;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1936063;768793;2395370;5269751;1845691;20;0;BPRED
697473355220;16780;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1939833;770567;2401660;5285276;1851117;545;0;BPRED
697473372005;16651;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1931494;767199;2392665;5258953;1839719;20;0;BPRED
697473388660;16784;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1940105;770861;2401788;5285933;1851693;541;0;BPRED
697473405448;16670;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1935371;768563;2395188;5267959;1844157;18;0;BPRED
697473422123;16802;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1938791;770373;2400797;5282690;1850391;512;0;BPRED
697473438929;16674;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1936124;768638;2395662;5269389;1844983;19;0;BPRED
697473455607;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1939154;770509;2400857;5283309;1850799;459;0;BPRED
697473472397;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1937471;769079;2396462;5272703;1846234;14;0;BPRED
697473489084;16814;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1939920;770922;2402892;5287980;1852575;611;0;BPRED
697473505903;16661;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1933612;767802;2394073;5263776;1841761;17;0;BPRED
697473522568;16774;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1938590;770250;2400648;5282413;1849655;545;0;BPRED
697473539346;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1936348;768761;2395777;5270153;1844877;16;0;BPRED
697473556030;16768;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1938040;770040;2400675;5280946;1848980;543;0;BPRED
697473572803;16670;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1935360;768339;2395016;5267719;1844320;16;0;BPRED
697473589478;16953;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1937437;769835;2399960;5279416;1848365;670;0;BPRED
697473606436;16676;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;2;1935459;768647;2395174;5268293;1843879;16;0;BPRED
697473623133;23933;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x0000391d;2;2508754;1022380;3317662;7117187;2370074;603;0;BPRED
697474887702;359956;"MAF";"INTERVAL";"PROBE";4;63;0x0000391d;3;41379498;16460383;51451581;112996473;39439811;7286;0;BPRED
697474887725;80;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000391d;3;751;627;1541;2890;1297;115;0;BPRED
697474887810;109;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000391d;3;3945;1899;5407;12106;4777;158;0;BPRED
697474887923;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000391d;3;359;292;754;1519;644;20;0;BPRED
697474887950;100;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000391d;3;8844;2410;10430;24403;8141;60;0;BPRED
697474888055;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000391d;3;374;299;735;1520;704;30;0;BPRED
697474888087;16944;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1943954;772228;2405487;5298298;1857334;969;0;BPRED
697474905036;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1937315;769149;2396347;5272889;1847350;20;0;BPRED
697474921724;16813;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1939613;770687;2401347;5285305;1851982;591;0;BPRED
697474938541;16667;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1935196;768295;2395206;5267412;1844128;18;0;BPRED
697474955212;16778;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1939655;770519;2401768;5284558;1851513;546;0;BPRED
697474971995;16667;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1936157;768363;2395906;5269171;1844449;19;0;BPRED
697474988666;16781;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1942186;771040;2403653;5289655;1853089;528;0;BPRED
697475005452;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1939113;769365;2397811;5275891;1847984;19;0;BPRED
697475022137;16767;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1938704;770013;2401001;5281842;1849022;534;0;BPRED
697475038909;16663;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1935431;768123;2395592;5267291;1843083;20;0;BPRED
697475055577;16797;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1939651;770227;2401636;5283889;1850255;535;0;BPRED
697475072378;16672;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1937186;768787;2396773;5271561;1845306;20;0;BPRED
697475089054;16769;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1935954;769044;2399341;5275450;1845526;538;0;BPRED
697475105827;16656;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1934008;767736;2394432;5264285;1841643;17;0;BPRED
697475122487;16779;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1939404;770078;2401384;5282918;1849720;474;0;BPRED
697475139270;16673;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1937014;768799;2396643;5271313;1845080;16;0;BPRED
697475155947;16793;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1938420;770162;2402552;5283701;1849465;630;0;BPRED
697475172745;16662;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1935443;768156;2395360;5267457;1843968;17;0;BPRED
697475189412;16772;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1939014;770117;2401153;5282608;1850234;551;0;BPRED
697475206189;16665;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;3;1935130;768250;2395144;5266908;1843760;15;0;BPRED
697475222875;24779;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x0000391d;3;2596937;1058551;3435146;7367803;2451631;597;0;BPRED
697476487767;360855;"MAF";"INTERVAL";"PROBE";4;63;0x0000391d;4;41440601;16495765;51554606;113204105;39516524;7504;0;BPRED
697476487789;88;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000391d;4;818;649;1602;3131;1525;137;0;BPRED
697476487882;105;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000391d;4;3832;1862;5343;11831;4927;164;0;BPRED
697476487991;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000391d;4;346;301;747;1468;628;22;0;BPRED
697476488020;103;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000391d;4;9140;2518;10588;25207;8619;74;0;BPRED
697476488128;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000391d;4;371;284;726;1492;713;30;0;BPRED
697476488156;16955;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;4;1942753;772231;2403956;5297075;1859343;1103;0;BPRED
697476505116;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;4;1936702;768982;2396247;5271462;1846200;17;0;BPRED
697476521801;16795;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;4;1936122;769414;2399226;5276863;1847679;616;0;BPRED
697476538601;16657;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;4;1932620;767644;2393481;5261761;1841611;19;0;BPRED
697476555262;16797;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;4;1936750;769622;2399763;5278094;1848079;549;0;BPRED
697476572064;16668;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;4;1934464;768327;2394524;5265965;1844034;15;0;BPRED
697476588736;16770;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;4;1938243;770214;2400772;5281582;1849958;529;0;BPRED
697476605510;16651;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;4;1932044;767311;2393062;5260226;1840759;16;0;BPRED
697476622165;16762;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;4;1937014;769716;2399877;5278432;1848023;529;0;BPRED
697476638932;16668;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;4;1934856;768214;2394837;5266589;1843587;15;0;BPRED
697476655604;16770;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000391d;4;1938206;770164;2400538;5281371;1850300;533;0;BPRED
