TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
700120795129;358467;"MAF";"INTERVAL";"PROBE";4;63;0x00003967;0;1679;112;51150350;39334838;9970;51150411;0;BPRED
700120795408;54;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003967;0;2;13;1588;1465;608;1586;0;BPRED
700120795466;91;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003967;0;4;3;4137;3976;796;4129;0;BPRED
700120795562;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003967;0;0;3;749;625;144;741;0;BPRED
700120795585;106;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003967;0;1;1;10734;9320;400;10726;0;BPRED
700120795695;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003967;0;0;0;709;673;156;701;0;BPRED
700120795721;16718;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;3;4;2396813;1851240;2460;2396806;0;BPRED
700120812444;16861;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;123;26;2402269;1859803;596;2402254;0;BPRED
700120829310;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;5;0;2396661;1847072;8;2396662;0;BPRED
700120845995;16855;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;146;4;2406209;1860377;388;2406205;0;BPRED
700120862855;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;4;0;2397996;1850245;8;2397998;0;BPRED
700120879551;16844;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;141;2;2405474;1859297;208;2405472;0;BPRED
700120896399;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;4;0;2396982;1848034;4;2396984;0;BPRED
700120913093;16868;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;151;6;2405780;1859478;617;2405778;0;BPRED
700120929965;16719;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;14;0;2396615;1847854;16;2396633;0;BPRED
700120946688;16844;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;127;3;2405127;1857649;164;2405125;0;BPRED
700120963536;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;3;0;2397887;1849551;4;2397890;0;BPRED
700120980232;16927;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;147;5;2408125;1864147;772;2408123;0;BPRED
700120997163;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;3;0;2395415;1846755;4;2395418;0;BPRED
700121013854;16824;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;131;5;2401557;1854671;224;2401555;0;BPRED
700121030682;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;4;0;2396140;1849580;4;2396141;0;BPRED
700121047378;16837;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;134;3;2404034;1858070;140;2404032;0;BPRED
700121064220;16807;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;120;5;2402631;1857108;144;2402632;0;BPRED
700121081032;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;4;0;2396458;1849870;8;2396459;0;BPRED
700121097734;16777;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;117;2;2400963;1852816;68;2400964;0;BPRED
700121114516;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;0;4;0;2396885;1850251;4;2396886;0;BPRED
700121131215;22377;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00003967;0;127;10;3098758;2222233;950;3098749;0;BPRED
700122395107;358781;"MAF";"INTERVAL";"PROBE";4;63;0x00003967;1;1384;120;51267686;39380130;14124;51267683;0;BPRED
700122395133;88;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003967;1;2;13;1568;1422;1432;1566;0;BPRED
700122395225;96;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003967;1;6;4;4092;3586;1116;4084;0;BPRED
700122395325;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003967;1;0;3;750;620;260;742;0;BPRED
700122395355;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003967;1;1;0;10496;8557;548;10488;0;BPRED
700122395472;27;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003967;1;0;1;730;685;232;722;0;BPRED
700122395503;16782;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;1;2;2;2399044;1851821;5984;2399037;0;BPRED
700122412289;16905;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;1;132;18;2405171;1858809;2164;2405168;0;BPRED
700122429199;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;1;7;1;2397971;1848779;8;2397983;0;BPRED
700122445892;16819;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;1;116;6;2404069;1856130;300;2404070;0;BPRED
700122462715;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;1;5;0;2397151;1847462;4;2397152;0;BPRED
700122479404;16815;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003967;1;108;7;2402413;1854452;292;2402398;0;BPRED
