TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
720073805568;359087;"MAF";"INTERVAL";"PROBE";4;63;0x00003ce0;0;91470919;0;0;9247530;430116;0;0;BPRED
720073805835;56;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;2484;0;0;449;36;0;0;BPRED
720073805896;92;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;8048;0;0;1092;73;0;0;BPRED
720073805993;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003ce0;0;1173;0;0;198;5;0;0;BPRED
720073806019;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003ce0;0;21108;0;0;1738;139;0;0;BPRED
720073806137;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003ce0;0;1099;0;0;212;9;0;0;BPRED
720073806163;17310;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;4307980;0;0;440305;21356;0;0;BPRED
720073823478;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;4261454;0;0;429830;20694;0;0;BPRED
720073840186;16900;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;4276805;0;0;433035;20952;0;0;BPRED
720073857090;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;4261457;0;0;429820;20699;0;0;BPRED
720073873793;16816;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;4273778;0;0;432315;20774;0;0;BPRED
720073890614;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;4261457;0;0;429671;20595;0;0;BPRED
720073907299;16902;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;4280493;0;0;433854;20864;0;0;BPRED
720073924205;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;4261454;0;0;429856;20728;0;0;BPRED
720073940908;16911;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;4276743;0;0;432931;20873;0;0;BPRED
720073957823;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003ce0;0;4261457;0;0;429637;20595;0;0;BPRED
