TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
740616801501;359569;"MAF";"INTERVAL";"PROBE";4;63;0x00003f07;0;2042;301;51232565;39481545;14531;51232627;0;BPRED
740616801782;66;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003f07;0;3;15;1637;1596;888;1635;0;BPRED
740616801853;95;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003f07;0;3;4;4168;4075;824;4160;0;BPRED
740616801952;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003f07;0;0;3;750;628;184;742;0;BPRED
740616801980;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003f07;0;1;1;10628;9203;456;10620;0;BPRED
740616802098;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003f07;0;1;2;707;710;184;701;0;BPRED
740616802127;16746;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;5;4;2401415;1855511;3020;2401408;0;BPRED
740616818878;17403;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;544;198;2423646;1890059;3370;2423631;0;BPRED
740616836287;16719;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;5;2;2400005;1854635;4;2400017;0;BPRED
740616853011;16904;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;158;22;2408047;1867591;198;2408042;0;BPRED
740616869920;16712;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;5;0;2399510;1853478;4;2399509;0;BPRED
740616886636;16839;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;108;8;2406298;1863685;180;2406294;0;BPRED
740616903479;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;3;0;2399528;1852804;8;2399531;0;BPRED
740616920191;16894;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;151;2;2410196;1869507;512;2410192;0;BPRED
740616937090;16884;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;118;3;2404514;1860349;200;2404521;0;BPRED
740616953979;16716;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;4;0;2399810;1853995;28;2399813;0;BPRED
740616970699;16867;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;137;2;2406959;1861994;188;2406954;0;BPRED
740616987570;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;5;0;2399190;1852977;4;2399193;0;BPRED
740617004285;16825;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;113;3;2404876;1859956;248;2404866;0;BPRED
740617021115;16724;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;6;0;2401630;1857082;4;2401633;0;BPRED
740617037843;16941;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;135;5;2409335;1865154;1400;2409327;0;BPRED
740617054789;16717;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;6;0;2399853;1855762;8;2399854;0;BPRED
740617071510;16844;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;123;1;2407793;1866349;188;2407791;0;BPRED
740617088358;16732;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;6;0;2401719;1858176;12;2401720;0;BPRED
740617105094;16847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;109;1;2406304;1862905;120;2406301;0;BPRED
740617121946;16740;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;0;5;0;2402092;1859187;4;2402095;0;BPRED
740617138692;22373;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00003f07;0;125;8;3098121;2220578;1072;3098112;0;BPRED
740618397992;358891;"MAF";"INTERVAL";"PROBE";4;63;0x00003f07;1;1378;90;51253952;39412576;14572;51253950;0;BPRED
740618398018;90;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003f07;1;4;12;1612;1576;1416;1611;0;BPRED
740618398112;99;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003f07;1;3;5;4121;3778;1252;4113;0;BPRED
740618398216;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003f07;1;0;3;749;631;244;741;0;BPRED
740618398241;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003f07;1;1;4;10399;8473;612;10391;0;BPRED
740618398359;29;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003f07;1;0;0;709;714;284;701;0;BPRED
740618398392;16792;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;1;2;2;2399319;1851779;6348;2399313;0;BPRED
740618415188;16911;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;1;138;32;2405131;1860694;1664;2405125;0;BPRED
740618432104;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003f07;1;4;0;2396748;1849567;12;2396754;0;BPRED
