TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
716097836604;358596;"MAF";"INTERVAL";"PROBE";4;63;0x00003c75;0;51145312;7411;3322;69377;2350;722;0;BPRED
716097836877;60;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003c75;0;1612;41;15;394;138;36;0;BPRED
716097836941;92;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003c75;0;4241;28;8;466;159;44;0;BPRED
716097837037;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003c75;0;768;10;2;96;27;5;0;BPRED
716097837062;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003c75;0;10593;24;7;248;76;20;0;BPRED
716097837177;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003c75;0;701;8;4;115;27;11;0;BPRED
716097837207;17010;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c75;0;2405469;536;369;5987;944;259;0;BPRED
716097854222;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c75;0;2398246;146;107;1996;6;3;0;BPRED
716097870928;16805;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c75;0;2403759;423;158;3664;44;13;0;BPRED
716097887738;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c75;0;2396456;142;75;1994;2;0;0;BPRED
716097904424;16848;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c75;0;2404804;527;228;4294;93;20;0;BPRED
716097921277;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c75;0;2397022;142;62;2011;0;0;0;BPRED
716097937967;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c75;0;2403136;518;230;4108;38;6;0;BPRED
716097954799;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c75;0;2397226;143;63;1983;0;0;0;BPRED
716097971492;16923;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c75;0;2404250;576;301;4636;115;29;0;BPRED
716097988420;16718;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c75;0;2398045;146;55;2007;1;1;0;BPRED
716098005142;16830;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003c75;0;2403849;500;244;4050;30;4;0;BPRED
