TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
805795891227;368507;"MAF";"INTERVAL";"PROBE";4;63;0x000047bf;0;92409494;0;0;9487058;459811;0;0;BPRED
805795891482;53;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000047bf;0;2484;0;0;446;35;0;0;BPRED
805795891540;92;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000047bf;0;8048;0;0;1124;85;0;0;BPRED
805795891637;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000047bf;0;1173;0;0;198;6;0;0;BPRED
805795891662;109;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000047bf;0;21108;0;0;1719;117;0;0;BPRED
805795891775;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000047bf;0;1099;0;0;211;9;0;0;BPRED
805795891801;17446;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4318070;0;0;444022;22460;0;0;BPRED
805795909252;17195;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4308570;0;0;441650;22135;0;0;BPRED
805795926453;17335;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4323322;0;0;444956;22445;0;0;BPRED
805795943794;17309;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4323027;0;0;445062;22451;0;0;BPRED
805795961108;17137;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4308700;0;0;441309;21926;0;0;BPRED
805795978250;17366;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4322980;0;0;444950;22458;0;0;BPRED
805795995622;17133;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4308721;0;0;441425;21836;0;0;BPRED
805796012760;17260;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4315471;0;0;443204;22176;0;0;BPRED
805796030025;17227;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4308725;0;0;441530;21888;0;0;BPRED
805796047257;17305;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4322578;0;0;444583;22198;0;0;BPRED
805796064568;17152;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4308707;0;0;441511;22020;0;0;BPRED
805796081725;17310;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4323123;0;0;444923;22312;0;0;BPRED
805796099041;17156;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4308707;0;0;441659;22032;0;0;BPRED
805796116202;17307;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4322882;0;0;444706;22246;0;0;BPRED
805796133515;17142;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4308547;0;0;441530;21890;0;0;BPRED
805796150662;17205;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4313286;0;0;442469;22105;0;0;BPRED
805796167872;17285;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4320325;0;0;444169;22361;0;0;BPRED
805796185162;17135;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4308130;0;0;441342;21841;0;0;BPRED
805796202303;17322;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4323397;0;0;444848;22424;0;0;BPRED
805796219630;17121;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;0;4308130;0;0;441198;21666;0;0;BPRED
805796236756;22973;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000047bf;0;6027079;0;0;613433;16245;0;0;BPRED
805797491204;368894;"MAF";"INTERVAL";"PROBE";4;63;0x000047bf;1;92606861;0;0;9504068;459411;0;0;BPRED
805797491236;93;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000047bf;1;2484;0;0;452;38;0;0;BPRED
805797491333;103;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000047bf;1;8048;0;0;1082;71;0;0;BPRED
805797491440;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000047bf;1;1173;0;0;198;5;0;0;BPRED
805797491466;113;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000047bf;1;21108;0;0;1686;93;0;0;BPRED
805797491584;29;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000047bf;1;1099;0;0;213;10;0;0;BPRED
805797491617;17467;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;1;4321489;0;0;444467;22410;0;0;BPRED
805797509101;17172;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;1;4308708;0;0;441761;22148;0;0;BPRED
805797526278;17273;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;1;4320112;0;0;444153;22337;0;0;BPRED
805797543557;17295;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;1;4319664;0;0;444129;22224;0;0;BPRED
805797560857;17147;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;1;4308141;0;0;441506;21833;0;0;BPRED
805797578010;17313;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;1;4320335;0;0;444184;22364;0;0;BPRED
805797595328;17167;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;1;4308139;0;0;441414;21874;0;0;BPRED
805797612500;17262;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;1;4320113;0;0;443971;22215;0;0;BPRED
805797629768;17133;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;1;4308707;0;0;441307;21767;0;0;BPRED
805797646906;17297;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000047bf;1;4320720;0;0;444352;22365;0;0;BPRED
