TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
812422969902;368406;"MAF";"INTERVAL";"PROBE";4;63;0x000048b3;0;41655433;16620883;9485281;24125267;24196504;38083;0;BPRED
812422970174;66;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000048b3;0;855;685;456;1257;0;143;0;BPRED
812422970244;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000048b3;0;2804;1503;1101;2967;1193;167;0;BPRED
812422970341;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000048b3;0;346;304;200;607;17;29;0;BPRED
812422970366;107;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000048b3;0;9286;2480;1723;8131;4006;83;0;BPRED
812422970478;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000048b3;0;357;287;216;608;0;41;0;BPRED
812422970508;17249;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000048b3;0;1962692;781568;441823;1126447;1136313;1763;0;BPRED
812422987762;17383;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000048b3;0;1966609;784108;444820;1135869;1135675;2156;0;BPRED
812423005150;17157;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000048b3;0;1961277;781023;441636;1125213;1136144;1404;0;BPRED
812423022312;17292;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000048b3;0;1964709;782965;444542;1133953;1134944;2025;0;BPRED
812423039610;17143;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000048b3;0;1961011;780516;441490;1124321;1136108;1378;0;BPRED
812423056758;17309;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000048b3;0;1965855;783152;444645;1133770;1135666;2106;0;BPRED
812423074073;17134;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000048b3;0;1957895;779721;441415;1124074;1134129;1394;0;BPRED
