TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
801157053369;368428;"MAF";"INTERVAL";"PROBE";4;63;0x00004742;0;51729329;21283;10741;162416;2024;600;0;BPRED
801157053645;53;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00004742;0;1578;39;6;416;129;45;0;BPRED
801157053703;95;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00004742;0;4239;26;11;457;158;46;0;BPRED
801157053803;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00004742;0;767;12;6;98;32;10;0;BPRED
801157053830;109;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00004742;0;10500;41;23;262;68;24;0;BPRED
801157053943;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00004742;0;714;8;2;109;29;9;0;BPRED
801157053970;17294;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2426530;964;563;8433;649;158;0;BPRED
801157071269;17385;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2432929;1153;575;8949;165;38;0;BPRED
801157088659;17164;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2423815;897;476;6668;7;2;0;BPRED
801157105829;17324;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2429638;1207;596;8789;172;32;0;BPRED
801157123158;17156;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2422482;907;473;6657;13;0;0;BPRED
801157140319;17342;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2431940;1117;563;8770;61;17;0;BPRED
801157157666;17177;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2424978;900;465;6559;1;1;0;BPRED
801157174848;17291;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2430108;1114;561;8304;34;5;0;BPRED
801157192145;17348;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2431470;1103;524;8419;13;4;0;BPRED
801157209499;17138;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2424508;834;470;6274;12;0;0;BPRED
801157226642;17212;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2426380;1010;512;7409;15;7;0;BPRED
801157243860;17154;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2425185;915;454;6591;19;3;0;BPRED
801157261019;17315;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2432483;1075;548;8530;33;20;0;BPRED
801157278340;17156;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2423952;882;476;6523;0;0;0;BPRED
801157295501;17303;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2432898;1107;573;8531;34;4;0;BPRED
801157312810;17151;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004742;0;2426154;868;471;6527;0;0;0;BPRED
