TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
1384038218156;367580;"MAF";"INTERVAL";"PROBE";4;63;0x000067c7;0;41619099;16673755;9459922;24004461;24212041;20121;0;BPRED
1384038218329;57;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000067c7;0;787;651;451;1131;0;135;0;BPRED
1384038218390;95;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000067c7;0;2821;1529;1116;3045;1204;186;0;BPRED
1384038218489;17;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000067c7;0;342;295;198;594;17;24;0;BPRED
1384038218511;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000067c7;0;9422;2543;1730;8222;4037;79;0;BPRED
1384038218629;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000067c7;0;338;275;208;578;0;34;0;BPRED
1384038218656;17178;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1955091;779339;434833;1108408;1137954;1005;0;BPRED
1384038235839;16876;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1948945;776499;431821;1098699;1137570;12;0;BPRED
1384038252726;16987;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1951543;777782;434379;1106169;1136587;572;0;BPRED
1384038269718;16840;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1945612;773646;431027;1095199;1136716;9;0;BPRED
1384038286562;17148;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1958500;782692;438394;1116043;1137403;750;0;BPRED
1384038303716;17236;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1964112;786173;443360;1128153;1136466;844;0;BPRED
1384038320969;17295;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1965403;787390;445515;1133699;1135300;1206;0;BPRED
1384038338269;17201;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1961987;785958;443363;1126921;1135463;782;0;BPRED
1384038355474;17400;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1966606;788242;445841;1134117;1135914;1325;0;BPRED
1384038372879;17206;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1964843;786180;443293;1126565;1137651;765;0;BPRED
1384038390089;17326;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1965580;787061;445963;1132855;1135703;1140;0;BPRED
1384038407420;17469;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1974446;792289;451077;1147143;1136248;1519;0;BPRED
1384038424894;17202;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1962653;786206;443408;1126728;1135896;783;0;BPRED
1384038442101;17270;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1963248;785590;444725;1130428;1135281;1174;0;BPRED
1384038459376;17183;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1960894;785291;442925;1124978;1135135;782;0;BPRED
1384038476564;17286;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1962996;787110;445637;1133036;1133856;1161;0;BPRED
1384038493854;17231;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1965029;787458;443707;1128012;1137180;795;0;BPRED
1384038511089;17292;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1966237;788443;445704;1133541;1135854;1153;0;BPRED
1384038528386;17186;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1959816;785018;443099;1125317;1134504;773;0;BPRED
1384038545577;17335;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;0;1966340;787569;444548;1130052;1137161;1065;0;BPRED
1384038562934;22798;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000067c7;0;2365383;965084;607117;1484304;1482941;1373;0;BPRED
1384039818109;369726;"MAF";"INTERVAL";"PROBE";4;63;0x000067c7;1;41782360;16748047;9532386;24182422;24268595;24063;0;BPRED
1384039818133;86;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000067c7;1;774;627;442;1080;0;123;0;BPRED
1384039818223;102;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000067c7;1;2754;1487;1077;2923;1183;161;0;BPRED
1384039818329;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000067c7;1;338;287;196;590;17;21;0;BPRED
1384039818355;113;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000067c7;1;9106;2492;1710;7852;3921;81;0;BPRED
1384039818473;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000067c7;1;326;270;208;552;0;27;0;BPRED
1384039818502;17532;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1972192;790834;447024;1140685;1137227;1797;0;BPRED
1384039836039;17238;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1963633;786325;443208;1127769;1136112;784;0;BPRED
1384039853282;17369;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1969522;789210;446480;1137364;1136793;1365;0;BPRED
1384039870656;17200;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1962420;785798;443095;1126601;1135687;779;0;BPRED
1384039887861;17336;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1966701;787275;445247;1132605;1136618;1282;0;BPRED
1384039905202;17211;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1965755;785982;443053;1125901;1138409;793;0;BPRED
1384039922418;17350;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1966353;787516;446079;1133994;1135521;1346;0;BPRED
1384039939773;17198;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1963206;785684;443131;1125600;1136546;782;0;BPRED
1384039956976;17306;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1964923;785440;444757;1130543;1136122;1243;0;BPRED
1384039974288;17192;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1965142;786069;443151;1125810;1137816;778;0;BPRED
1384039991485;17322;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1967268;786638;445004;1131749;1137365;1215;0;BPRED
1384040008812;17332;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1967271;786979;445877;1134028;1136649;1443;0;BPRED
1384040026149;17220;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1963963;785300;442732;1124653;1137331;817;0;BPRED
1384040043374;17274;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1966055;786488;444903;1130958;1136851;1233;0;BPRED
1384040060653;17200;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1963118;785860;443089;1125983;1136582;786;0;BPRED
1384040077858;17277;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1965975;787468;445330;1131961;1136242;1162;0;BPRED
1384040095141;17179;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1962726;784532;442589;1124304;1136954;769;0;BPRED
1384040112325;17301;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1966315;788421;445856;1134109;1135662;1165;0;BPRED
1384040129632;17202;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1960894;785506;443299;1126538;1134667;774;0;BPRED
1384040146839;17291;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;1;1966029;787593;445495;1133037;1136075;1175;0;BPRED
1384040164152;23678;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000067c7;1;2450123;1000966;633351;1546090;1532245;1662;0;BPRED
1384041418118;370218;"MAF";"INTERVAL";"PROBE";4;63;0x000067c7;2;41795229;16764937;9551136;24218793;24280986;23539;0;BPRED
1384041418143;75;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000067c7;2;779;639;438;1062;0;122;0;BPRED
1384041418222;110;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000067c7;2;3830;1871;1255;3173;1827;160;0;BPRED
1384041418337;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000067c7;2;332;287;195;574;17;22;0;BPRED
1384041418360;106;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000067c7;2;9085;2466;1718;7934;3887;72;0;BPRED
1384041418470;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000067c7;2;325;269;208;546;0;27;0;BPRED
1384041418499;17493;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1965653;787535;445732;1135264;1134812;1613;0;BPRED
1384041435998;17216;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1959455;784450;443023;1126048;1133967;827;0;BPRED
1384041453219;17297;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1964550;786732;445151;1132806;1134961;1212;0;BPRED
1384041470522;17225;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1959905;784739;443033;1126181;1134216;768;0;BPRED
1384041487752;17293;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1963021;786333;445222;1132055;1134213;1183;0;BPRED
1384041505050;17189;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1960491;785138;443130;1126159;1134808;792;0;BPRED
1384041522244;17286;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1964333;787490;445640;1133248;1134769;1167;0;BPRED
1384041539536;17202;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1961643;785470;443256;1126108;1135643;778;0;BPRED
1384041556742;17248;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1961747;784815;444576;1129598;1134471;1191;0;BPRED
1384041573995;17192;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1961022;785341;443092;1125870;1135197;767;0;BPRED
1384041591192;17258;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1962650;786177;445204;1131670;1134240;1170;0;BPRED
1384041608456;17267;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1963361;786867;445207;1131835;1134362;1205;0;BPRED
1384041625728;17197;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1960975;785763;443348;1126533;1135009;765;0;BPRED
1384041642930;17288;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1962504;787685;445800;1133346;1133253;1215;0;BPRED
1384041660223;17157;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1955842;782623;442329;1122850;1132853;776;0;BPRED
1384041677385;17408;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1968136;789298;450327;1143395;1133497;1539;0;BPRED
1384041694798;17173;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1956933;783508;442760;1123889;1133337;779;0;BPRED
1384041711975;17268;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1963104;787154;445379;1132063;1134022;1162;0;BPRED
1384041729248;17401;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1960682;785217;443053;1125712;1135144;924;0;BPRED
1384041746654;17349;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000067c7;2;1965319;787774;445684;1133674;1135406;1246;0;BPRED
1384041764025;24307;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000067c7;2;2529353;1031962;649897;1586781;1587075;1309;0;BPRED
1384043018197;371119;"MAF";"INTERVAL";"PROBE";4;63;0x000067c7;3;41942857;16810179;9573759;24272347;24378365;23453;0;BPRED
1384043018221;80;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000067c7;3;756;624;438;1039;0;122;0;BPRED
1384043018306;114;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000067c7;3;3899;1894;1277;3266;1851;165;0;BPRED
