TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
1389403307052;367850;"MAF";"INTERVAL";"PROBE";4;63;0x0000684f;0;41653810;16687279;51716261;114208274;42435473;20613;0;BPRED
1389403307236;64;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000684f;0;796;661;1578;3085;1484;139;0;BPRED
1389403307304;94;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000684f;0;2908;1605;4297;9871;4421;180;0;BPRED
1389403307402;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000684f;0;340;295;753;1449;617;23;0;BPRED
1389403307425;113;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000684f;0;9525;2560;10655;26159;9078;80;0;BPRED
1389403307543;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000684f;0;363;286;723;1519;722;33;0;BPRED
1389403307573;17189;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1955540;780842;2413921;5335477;1990291;1030;0;BPRED
1389403324767;16872;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1945694;775978;2402830;5301330;1972956;15;0;BPRED
1389403341652;17025;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1952446;780282;2411305;5327460;1986867;592;0;BPRED
1389403358682;16872;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1944913;776115;2402488;5299564;1974595;6;0;BPRED
1389403375558;17165;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1956359;782316;2417839;5344573;1996135;744;0;BPRED
1389403392728;17241;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1963722;787096;2428848;5376747;2008932;855;0;BPRED
1389403409973;17527;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1976278;793273;2448506;5427829;2027162;1685;0;BPRED
1389403427504;17219;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1965288;787047;2430211;5378392;2007194;778;0;BPRED
1389403444728;17405;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1967401;787874;2435039;5388153;2009443;1322;0;BPRED
1389403462137;17209;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1964184;785862;2429511;5373743;2003131;774;0;BPRED
1389403479350;17263;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1966753;785449;2434006;5380776;2001892;1166;0;BPRED
1389403496617;17269;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1967042;786450;2434403;5383949;2004876;1164;0;BPRED
1389403513891;17223;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1968328;787984;2432193;5384103;2008663;763;0;BPRED
1389403531118;17289;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1968712;788177;2435327;5390238;2009912;1168;0;BPRED
1389403548411;17209;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1965129;786303;2429789;5374787;2004828;786;0;BPRED
1389403565625;17357;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1970412;788568;2436748;5393704;2010893;1149;0;BPRED
1389403582987;17175;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1963010;783736;2427846;5365864;1996143;781;0;BPRED
1389403600167;17325;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1968887;789071;2435406;5391679;2013804;1185;0;BPRED
1389403617497;17224;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1965392;787398;2429405;5376884;2010293;774;0;BPRED
1389403634725;17252;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000684f;0;1962918;785354;2429210;5371714;2005283;1098;0;BPRED
