TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
1371295931607;367779;"MAF";"INTERVAL";"PROBE";4;63;0x00006689;0;51692890;17765;8891;114946;1642;409;0;BPRED
1371295931803;59;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006689;0;1577;41;8;422;118;29;0;BPRED
1371295931866;91;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006689;0;4169;29;15;450;163;40;0;BPRED
1371295931961;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006689;0;762;21;11;101;34;12;0;BPRED
1371295931985;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006689;0;10609;35;17;262;70;31;0;BPRED
1371295932100;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006689;0;697;17;14;103;25;6;0;BPRED
1371295932126;16890;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2402650;138;198;2670;364;115;0;BPRED
1371295949021;17088;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2411377;512;184;4587;277;62;0;BPRED
1371295966131;16853;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2402577;147;87;1887;1;1;0;BPRED
1371295982988;17218;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2420059;702;283;5198;329;70;0;BPRED
1371296000210;17280;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2429107;837;440;5500;41;9;0;BPRED
1371296017494;17343;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2434986;998;511;6434;29;6;0;BPRED
1371296034842;17222;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2428739;831;436;5157;2;0;0;BPRED
1371296052069;17307;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2433343;1013;504;6231;0;0;0;BPRED
1371296069380;17406;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2438307;1148;540;6799;3;1;0;BPRED
1371296086792;17324;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2435370;1005;515;6341;2;0;0;BPRED
1371296104120;17300;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2434566;1003;494;6190;1;0;0;BPRED
1371296121424;17197;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2427807;848;458;5129;0;0;0;BPRED
1371296138626;17348;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2433290;1039;526;6324;21;1;0;BPRED
1371296155979;17185;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2425500;860;437;5120;0;0;0;BPRED
1371296173168;17328;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2435324;998;494;6278;27;0;0;BPRED
1371296190500;17208;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2426991;846;443;5150;0;0;0;BPRED
1371296207712;17264;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2431201;997;489;6136;0;1;0;BPRED
1371296224981;17178;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2425101;839;433;5114;0;0;0;BPRED
1371296242163;17288;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2431062;990;488;6210;2;0;0;BPRED
1371296259456;17190;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;0;2424985;833;424;5097;0;0;0;BPRED
1371296276651;22731;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006689;0;3122795;658;327;4327;84;20;0;BPRED
1371297531542;369355;"MAF";"INTERVAL";"PROBE";4;63;0x00006689;1;51886628;20353;10181;125165;1828;693;0;BPRED
1371297531562;74;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006689;1;1537;39;9;421;181;66;0;BPRED
1371297531640;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006689;1;4150;27;15;452;171;73;0;BPRED
1371297531737;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006689;1;770;20;10;98;31;13;0;BPRED
1371297531761;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006689;1;10522;35;17;285;96;37;0;BPRED
1371297531876;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006689;1;714;13;8;116;36;16;0;BPRED
1371297531908;17363;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;1;2431238;841;534;6701;868;326;0;BPRED
1371297549275;17359;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;1;2433603;1088;503;6791;134;59;0;BPRED
1371297566639;17191;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;1;2424318;872;431;5117;0;0;0;BPRED
1371297583834;17319;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;1;2431583;1000;482;6239;57;18;0;BPRED
1371297601158;17209;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;1;2428560;838;429;5086;0;1;0;BPRED
1371297618372;17334;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;1;2434833;1039;515;6364;44;4;0;BPRED
1371297635710;17202;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;1;2427085;880;436;5181;4;1;0;BPRED
1371297652917;17328;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;1;2435902;1120;557;6782;25;11;0;BPRED
1371297670249;17171;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006689;1;2426025;883;438;5150;0;1;0;BPRED
