TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
255060810105;359101;"MAF";"INTERVAL";"PROBE";4;63;0x00003303;0;41247367;16408073;51186342;112596053;39407088;8740;0;NOSTRESS
255060810362;56;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00003303;0;829;672;1601;3177;1543;137;0;NOSTRESS
255060810422;96;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00003303;0;2792;1503;4163;9421;4051;163;0;NOSTRESS
255060810522;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00003303;0;346;301;749;1468;627;24;0;NOSTRESS
255060810547;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00003303;0;9322;2540;10589;25688;9065;79;0;NOSTRESS
255060810663;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00003303;0;356;284;709;1484;699;40;0;NOSTRESS
255060810692;17079;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1948785;774037;2407908;5310032;1866159;1102;0;NOSTRESS
255060827775;16718;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1943092;771049;2399979;5286082;1855494;17;0;NOSTRESS
255060844497;16966;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1948713;774316;2409230;5311269;1866705;868;0;NOSTRESS
255060861468;16710;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1940915;770585;2398273;5280940;1853048;20;0;NOSTRESS
255060878183;16891;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1946470;773532;2406336;5304383;1863583;695;0;NOSTRESS
255060895078;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1940605;770663;2397832;5280506;1853282;17;0;NOSTRESS
255060911796;16856;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1945331;772857;2405381;5300244;1860749;638;0;NOSTRESS
255060928657;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1939097;770074;2397342;5276855;1850474;14;0;NOSTRESS
255060945363;16927;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1944804;772816;2405151;5299139;1860590;759;0;NOSTRESS
255060962295;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1938194;769871;2396437;5274923;1850121;14;0;NOSTRESS
255060978999;16813;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1944052;772247;2403306;5295405;1859210;467;0;NOSTRESS
255060995825;16712;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00003303;0;1941096;770763;2398379;5281414;1853609;11;0;NOSTRESS
