TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
260361946605;358293;"MAF";"INTERVAL";"PROBE";4;63;0x0000337f;0;1508;189;51133925;39329923;8537;51133986;0;NOSTRESS
260361946875;53;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000337f;0;2;13;1616;1534;656;1614;0;NOSTRESS
260361946932;95;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000337f;0;3;6;4219;4060;836;4211;0;NOSTRESS
260361947031;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000337f;0;0;4;751;627;148;743;0;NOSTRESS
260361947058;106;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000337f;0;3;2;10553;8932;412;10545;0;NOSTRESS
260361947170;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000337f;0;0;1;704;666;184;696;0;NOSTRESS
260361947201;16723;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;4;6;2397720;1853253;1896;2397713;0;NOSTRESS
260361963928;16939;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;147;29;2406243;1864174;428;2406236;0;NOSTRESS
260361980872;16701;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;4;2;2396786;1851016;4;2396798;0;NOSTRESS
260361997577;16762;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;89;9;2399628;1853053;156;2399613;0;NOSTRESS
260362014344;16709;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;7;2;2397849;1852679;26;2397861;0;NOSTRESS
260362031057;16808;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;103;6;2402838;1858487;136;2402833;0;NOSTRESS
260362047870;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;5;2;2395840;1849687;4;2395852;0;NOSTRESS
260362064568;16806;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;121;8;2400774;1854364;168;2400771;0;NOSTRESS
260362081378;16732;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;15;2;2397792;1850058;8;2397810;0;NOSTRESS
260362098114;16857;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;129;13;2405903;1860624;132;2405899;0;NOSTRESS
260362114976;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;4;1;2395972;1847097;4;2395982;0;NOSTRESS
260362131664;16815;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;115;4;2404112;1856806;92;2404107;0;NOSTRESS
260362148483;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;6;1;2397489;1849704;8;2397499;0;NOSTRESS
260362165186;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;106;2;2401211;1854062;88;2401206;0;NOSTRESS
260362181981;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000337f;0;3;1;2396093;1848141;8;2396103;0;NOSTRESS
