TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
1485123329901;366779;"MAF";"INTERVAL";"PROBE";4;63;0x00006f97;0;92216879;0;0;9444650;436739;0;0;BPRED
1485123330092;59;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006f97;0;2484;0;0;441;35;0;0;BPRED
1485123330155;92;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006f97;0;8048;0;0;1094;80;0;0;BPRED
1485123330251;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006f97;0;1173;0;0;200;6;0;0;BPRED
1485123330275;116;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006f97;0;21108;0;0;1714;133;0;0;BPRED
1485123330395;20;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006f97;0;1099;0;0;212;10;0;0;BPRED
1485123330420;16876;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4261457;0;0;431169;20881;0;0;BPRED
1485123347300;17077;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4273873;0;0;433568;21050;0;0;BPRED
1485123364381;16826;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4261456;0;0;430873;20733;0;0;BPRED
1485123381211;17278;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4310008;0;0;442133;21312;0;0;BPRED
1485123398493;17197;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4308040;0;0;441752;21250;0;0;BPRED
1485123415694;17250;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4319777;0;0;444034;21302;0;0;BPRED
1485123432948;17266;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4320188;0;0;443923;21236;0;0;BPRED
1485123450218;17136;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4307633;0;0;441646;21039;0;0;BPRED
1485123467358;17329;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4319797;0;0;444083;21152;0;0;BPRED
1485123484692;17159;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4307632;0;0;441701;21059;0;0;BPRED
1485123501856;17262;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4319846;0;0;444073;21111;0;0;BPRED
1485123519123;17139;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4308164;0;0;441846;20963;0;0;BPRED
1485123536266;17217;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4319572;0;0;443762;21083;0;0;BPRED
1485123553487;17124;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4308182;0;0;441271;20911;0;0;BPRED
1485123570615;17270;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4319245;0;0;444074;21060;0;0;BPRED
1485123587890;17145;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4308180;0;0;441930;21024;0;0;BPRED
1485123605039;17226;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4319570;0;0;443992;21029;0;0;BPRED
1485123622270;17137;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4308007;0;0;441687;20951;0;0;BPRED
1485123639411;17184;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4313340;0;0;442622;20970;0;0;BPRED
1485123656599;17251;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;0;4320195;0;0;444332;21229;0;0;BPRED
1485123673874;22802;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006f97;0;6014514;0;0;610062;14952;0;0;BPRED
1485124929923;368258;"MAF";"INTERVAL";"PROBE";4;63;0x00006f97;1;92581918;0;0;9500925;436783;0;0;BPRED
1485124929959;89;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006f97;1;2484;0;0;456;39;0;0;BPRED
1485124930052;102;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006f97;1;8048;0;0;1097;75;0;0;BPRED
1485124930159;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006f97;1;1173;0;0;197;5;0;0;BPRED
1485124930185;117;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006f97;1;21108;0;0;1699;123;0;0;BPRED
1485124930307;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006f97;1;1099;0;0;212;10;0;0;BPRED
1485124930337;17318;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4308011;0;0;441864;21527;0;0;BPRED
1485124947660;17320;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4321431;0;0;444667;21405;0;0;BPRED
1485124964985;17136;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4307996;0;0;441600;21041;0;0;BPRED
1485124982125;17293;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4319555;0;0;444137;21177;0;0;BPRED
1485124999422;17252;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4319801;0;0;444035;21072;0;0;BPRED
1485125016679;17132;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4307634;0;0;441764;20921;0;0;BPRED
1485125033815;17235;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4319636;0;0;444233;21164;0;0;BPRED
1485125051055;17135;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4308157;0;0;441715;20955;0;0;BPRED
1485125068195;17224;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4320228;0;0;444105;21098;0;0;BPRED
1485125085423;17139;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4308151;0;0;441649;21032;0;0;BPRED
1485125102567;17253;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4319633;0;0;444169;21035;0;0;BPRED
1485125119824;17124;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4308162;0;0;441483;20920;0;0;BPRED
1485125136952;17291;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4321020;0;0;445185;21076;0;0;BPRED
1485125154247;17127;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4308013;0;0;441517;20955;0;0;BPRED
1485125171379;17247;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4319330;0;0;443917;21092;0;0;BPRED
1485125188631;17122;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4308023;0;0;441495;20905;0;0;BPRED
1485125205757;17213;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4319691;0;0;443867;21014;0;0;BPRED
1485125222974;17119;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4308015;0;0;441389;20855;0;0;BPRED
1485125240097;17272;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4319349;0;0;443873;21093;0;0;BPRED
1485125257374;17247;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;1;4319220;0;0;443772;21008;0;0;BPRED
1485125274643;23534;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006f97;1;6224699;0;0;630814;15055;0;0;BPRED
1485126529795;369532;"MAF";"INTERVAL";"PROBE";4;63;0x00006f97;2;92805813;0;0;9525971;439790;0;0;BPRED
1485126529825;82;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006f97;2;2484;0;0;455;36;0;0;BPRED
1485126529911;110;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006f97;2;9812;0;0;1307;107;0;0;BPRED
1485126530025;25;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006f97;2;1173;0;0;200;6;0;0;BPRED
1485126530054;104;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006f97;2;21124;0;0;1691;91;0;0;BPRED
1485126530163;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006f97;2;1099;0;0;211;10;0;0;BPRED
1485126530194;17276;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;2;4307270;0;0;442187;21513;0;0;BPRED
1485126547474;17418;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;2;4326110;0;0;446047;21581;0;0;BPRED
1485126564897;17153;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;2;4307678;0;0;441882;21133;0;0;BPRED
1485126582054;17260;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;2;4319099;0;0;444143;21179;0;0;BPRED
1485126599319;17253;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006f97;2;4319848;0;0;444433;21264;0;0;BPRED
