TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
1488476537074;366610;"MAF";"INTERVAL";"PROBE";4;63;0x00006feb;0;41523882;16575329;9441343;23921685;24198250;20382;0;BPRED
1488476537268;62;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006feb;0;793;670;440;1111;0;139;0;BPRED
1488476537334;97;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006feb;0;2795;1513;1097;2981;1205;163;0;BPRED
1488476537435;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006feb;0;348;303;198;601;17;22;0;BPRED
1488476537462;116;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006feb;0;9540;2536;1712;8242;4124;77;0;BPRED
1488476537582;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006feb;0;377;294;219;662;0;42;0;BPRED
1488476537611;16887;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1946715;773557;431252;1096495;1137573;60;0;BPRED
1488476554502;17040;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1948168;774854;433856;1104056;1135945;909;0;BPRED
1488476571549;16834;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1944732;772638;431014;1095153;1136826;8;0;BPRED
1488476588388;17107;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1953470;777603;437217;1111279;1136655;783;0;BPRED
1488476605500;17172;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1960133;780514;441716;1121884;1136745;857;0;BPRED
1488476622676;17307;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1963377;782739;444012;1128667;1136639;1205;0;BPRED
1488476639988;17158;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1956452;779456;441506;1120399;1135001;801;0;BPRED
1488476657151;17275;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1963072;782492;443919;1127912;1136906;1147;0;BPRED
1488476674431;17198;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1956004;779400;441490;1120032;1135065;935;0;BPRED
1488476691633;17267;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1960780;782373;443990;1127635;1135422;1194;0;BPRED
1488476708905;17142;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1954381;779914;441810;1120547;1133753;773;0;BPRED
1488476726052;17242;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1958249;781727;444114;1127390;1133712;1172;0;BPRED
1488476743299;17142;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1954719;779992;441808;1120690;1134039;762;0;BPRED
1488476760446;17244;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1959569;781878;444092;1127301;1134718;1179;0;BPRED
1488476777695;17206;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1957575;780621;443650;1125503;1134222;1192;0;BPRED
1488476794906;17119;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1955717;779175;441433;1119422;1135213;770;0;BPRED
1488476812029;17220;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1960355;781714;443851;1126361;1135714;1177;0;BPRED
1488476829254;17150;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1957185;780497;441893;1121267;1135568;775;0;BPRED
1488476846409;17219;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1959163;781628;443935;1126724;1134749;1147;0;BPRED
1488476863633;17144;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;0;1955452;779985;442028;1120949;1134306;790;0;BPRED
1488476880782;22897;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006feb;0;2374529;969710;612551;1497310;1484133;1707;0;BPRED
1488478136969;368536;"MAF";"INTERVAL";"PROBE";4;63;0x00006feb;1;41744171;16654959;9507540;24079834;24300430;22840;0;BPRED
1488478136995;87;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006feb;1;829;679;455;1198;0;146;0;BPRED
1488478137087;103;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006feb;1;2801;1522;1092;3003;1208;174;0;BPRED
1488478137195;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006feb;1;340;295;198;599;17;22;0;BPRED
1488478137222;121;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006feb;1;9307;2482;1699;8011;4029;78;0;BPRED
1488478137347;209;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006feb;1;7920;4379;5512;13665;0;644;0;BPRED
1488478137561;17251;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1963679;781525;441845;1122657;1138888;872;0;BPRED
1488478154817;17338;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1967519;783371;444309;1130022;1138880;1351;0;BPRED
1488478172160;17170;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1961915;781678;441953;1122194;1138350;802;0;BPRED
1488478189335;17292;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1963861;782710;443994;1128057;1137505;1180;0;BPRED
1488478206631;17140;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1960234;780468;441646;1120693;1137494;782;0;BPRED
1488478223775;17234;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1964469;782592;443957;1127219;1137953;1160;0;BPRED
1488478241013;17156;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1962177;781409;441831;1121104;1138630;793;0;BPRED
1488478258174;17231;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1963436;782538;444218;1128055;1136956;1169;0;BPRED
1488478275410;17151;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1961581;781201;441759;1120991;1138428;782;0;BPRED
1488478292566;17272;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1962264;782082;443892;1126995;1136636;1153;0;BPRED
1488478309843;17144;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1961223;780951;441824;1121146;1137964;771;0;BPRED
1488478326991;17273;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1966780;782933;445523;1127869;1139044;1075;0;BPRED
1488478344268;17275;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1964210;782503;443940;1127077;1137866;1174;0;BPRED
1488478361548;17159;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1963525;781496;441931;1121108;1139502;772;0;BPRED
1488478378712;17227;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1964670;782506;443947;1127194;1138057;1150;0;BPRED
1488478395944;17143;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1960726;780720;441697;1120660;1137908;790;0;BPRED
1488478413091;17243;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1965985;783320;444195;1127528;1138999;1150;0;BPRED
1488478430338;17142;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1961354;780630;441411;1119975;1138498;784;0;BPRED
1488478447485;17225;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1963191;782341;443747;1126653;1137478;1135;0;BPRED
1488478464715;17138;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;1;1959732;780523;441730;1120653;1137266;779;0;BPRED
1488478481875;23626;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006feb;1;2451116;1001005;633104;1545992;1532874;1691;0;BPRED
1488479736992;369786;"MAF";"INTERVAL";"PROBE";4;63;0x00006feb;2;41802744;16693106;9526595;24135323;24333431;23196;0;BPRED
1488479737016;85;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006feb;2;872;680;456;1281;0;138;0;BPRED
1488479737105;121;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006feb;2;3910;1925;1297;3321;1827;183;0;BPRED
1488479737231;25;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006feb;2;353;305;201;621;17;21;0;BPRED
1488479737260;113;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006feb;2;9000;2375;1688;7943;3848;76;0;BPRED
1488479737377;29;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006feb;2;355;287;214;606;0;38;0;BPRED
1488479737410;17343;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1961224;781621;441800;1123140;1137045;1058;0;BPRED
1488479754757;17427;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1966187;784802;445798;1134674;1136596;1578;0;BPRED
1488479772189;17200;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1960755;781828;442107;1122934;1136728;872;0;BPRED
1488479789394;17283;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1965018;784070;444330;1129277;1137378;1173;0;BPRED
1488479806681;17181;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1961994;781957;441984;1121821;1137971;794;0;BPRED
1488479823866;17236;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1963408;782683;443859;1127549;1137048;1146;0;BPRED
1488479841106;17152;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1960740;780883;441640;1120499;1137866;777;0;BPRED
1488479858262;17238;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1963228;782701;444116;1127440;1137099;1140;0;BPRED
1488479875505;17145;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1959056;780403;441537;1120331;1136746;779;0;BPRED
1488479892655;17222;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1961748;782092;443811;1126523;1136353;1140;0;BPRED
1488479909882;17136;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1959364;780204;441391;1120092;1136960;791;0;BPRED
1488479927023;17237;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1964531;782847;443993;1127528;1137777;1161;0;BPRED
1488479944264;17288;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1966307;783735;444385;1128754;1138674;1208;0;BPRED
1488479961556;17182;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1963513;781491;441598;1120747;1139381;767;0;BPRED
1488479978743;17250;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1964181;782231;443933;1126630;1137618;1140;0;BPRED
1488479995997;17171;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1958808;781197;442024;1122204;1135828;780;0;BPRED
1488480013173;17293;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1962683;783155;444023;1127570;1136559;1200;0;BPRED
1488480030471;17172;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1958517;781475;442095;1122087;1135953;784;0;BPRED
1488480047647;17474;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1962615;783369;444259;1128343;1136113;1324;0;BPRED
1488480065126;17165;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006feb;2;1958935;781421;441993;1122091;1136079;775;0;BPRED
1488480082315;24459;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006feb;2;2535242;1035805;655401;1600121;1585967;1668;0;BPRED
1488481337004;369958;"MAF";"INTERVAL";"PROBE";4;63;0x00006feb;3;41851600;16709467;9551212;24176109;24369575;22840;0;BPRED
1488481337026;98;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006feb;3;838;686;451;1216;0;147;0;BPRED
