TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
1498536146304;366566;"MAF";"INTERVAL";"PROBE";4;63;0x000070e5;0;41546882;16574390;51634718;113796791;41975775;20952;0;BPRED
1498536146485;59;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000070e5;0;798;660;1564;3070;1456;128;0;BPRED
1498536146549;94;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000070e5;0;2865;1547;4213;9697;4298;161;0;BPRED
1498536146648;18;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000070e5;0;346;299;753;1464;642;21;0;BPRED
1498536146670;117;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000070e5;0;9552;2529;10656;26183;9405;84;0;BPRED
1498536146791;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000070e5;0;348;261;688;1414;665;37;0;BPRED
1498536146818;17114;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1947084;774169;2407308;5308194;1963743;1009;0;BPRED
1498536163937;16838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1944408;772414;2401594;5291873;1957072;19;0;BPRED
1498536180779;16969;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1947530;773956;2407982;5306579;1961538;622;0;BPRED
1498536197753;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1945436;772266;2403329;5293307;1955542;8;0;BPRED
1498536214586;17306;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1957881;779921;2425583;5353923;1980388;1315;0;BPRED
1498536231897;17315;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1965861;783798;2433131;5377712;1992850;1283;0;BPRED
1498536249217;17184;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1959303;780382;2425124;5353488;1982697;819;0;BPRED
1498536266405;17255;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1960379;781949;2428992;5363836;1986080;1220;0;BPRED
1498536283665;17212;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1956793;779844;2422914;5347863;1978238;941;0;BPRED
1498536300882;17263;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1965309;782881;2432638;5375035;1988171;1223;0;BPRED
1498536318149;17130;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1957972;779748;2424622;5350164;1977029;799;0;BPRED
1498536335283;17218;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1962841;781916;2431116;5367596;1983603;1171;0;BPRED
1498536352505;17148;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1959885;780675;2425702;5354615;1982802;813;0;BPRED
1498536369658;17217;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1960045;781657;2428767;5361902;1984642;1188;0;BPRED
1498536386879;17131;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1954147;779320;2421131;5341976;1978174;811;0;BPRED
1498536404014;17233;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1961960;782482;2430250;5366661;1988656;1190;0;BPRED
1498536421252;17138;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1957242;780173;2423549;5349185;1981052;801;0;BPRED
1498536438394;17379;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1970505;786520;2442437;5399109;2000686;1510;0;BPRED
1498536455777;17216;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1961462;781814;2430051;5364030;1985529;1165;0;BPRED
1498536472998;17131;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;0;1957906;779961;2424362;5349992;1979200;806;0;BPRED
1498536490152;22714;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000070e5;0;2368844;965637;3126165;6731299;2352758;1258;0;BPRED
1498537746218;368735;"MAF";"INTERVAL";"PROBE";4;63;0x000070e5;1;41678371;16636484;51832265;114263639;42133573;24959;0;BPRED
1498537746238;83;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000070e5;1;807;642;1568;3104;1506;134;0;BPRED
1498537746326;96;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000070e5;1;2674;1442;4087;9083;3711;165;0;BPRED
1498537746426;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000070e5;1;339;293;748;1442;596;20;0;BPRED
1498537746451;115;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000070e5;1;9182;2435;10502;25196;8667;83;0;BPRED
1498537746570;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000070e5;1;350;273;702;1431;664;33;0;BPRED
1498537746602;17525;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1964122;783539;2431659;5378633;1995344;1848;0;BPRED
1498537764132;17184;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1958514;780507;2424652;5352551;1981835;820;0;BPRED
1498537781321;17318;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1963837;782744;2431853;5373869;1989782;1440;0;BPRED
1498537798643;17136;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1958863;780026;2424808;5352118;1978077;821;0;BPRED
1498537815784;17191;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1960188;780575;2427120;5357549;1979584;1008;0;BPRED
1498537832979;17313;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1963729;782779;2432640;5373269;1989013;1392;0;BPRED
1498537850297;17195;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1959355;780348;2425543;5354007;1980410;873;0;BPRED
1498537867496;17264;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1961507;781928;2431185;5367013;1985253;1406;0;BPRED
1498537884764;17146;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1959048;780397;2425208;5353371;1981480;852;0;BPRED
1498537901915;17295;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1962568;782513;2431310;5369937;1987554;1393;0;BPRED
1498537919215;17130;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1955406;779302;2421971;5344722;1976738;849;0;BPRED
1498537936350;17305;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1961118;782353;2429701;5367431;1988485;1405;0;BPRED
1498537953660;17142;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1955623;779777;2421959;5345884;1980178;838;0;BPRED
1498537970807;17255;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000070e5;1;1959342;781527;2428042;5360519;1984383;1170;0;BPRED
