TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
1499877403943;366640;"MAF";"INTERVAL";"PROBE";4;63;0x00007106;0;6021;338;51647128;42018030;9132;51647125;0;BPRED
1499877404129;56;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00007106;0;3;11;1576;1532;516;1574;0;BPRED
1499877404189;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00007106;0;4;4;4149;4147;888;4141;0;BPRED
1499877404287;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00007106;0;0;2;753;625;192;745;0;BPRED
1499877404312;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00007106;0;3;2;10625;9379;356;10617;0;BPRED
1499877404428;19;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00007106;0;1;0;686;680;96;678;0;BPRED
1499877404452;16854;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;6;5;2400997;1959134;2576;2400990;0;BPRED
1499877421310;17054;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;144;20;2406818;1966379;1500;2406816;0;BPRED
1499877438368;16846;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;5;2;2399441;1956110;16;2399452;0;BPRED
1499877455218;17152;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;178;20;2414823;1973988;1660;2414811;0;BPRED
1499877472375;17185;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;284;19;2426719;1986638;128;2426710;0;BPRED
1499877489565;17244;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;393;15;2429855;1987468;108;2429846;0;BPRED
1499877506815;17152;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;267;14;2426168;1982997;4;2426161;0;BPRED
1499877523972;17286;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;377;18;2430233;1987272;164;2430226;0;BPRED
1499877541263;17230;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;292;13;2425341;1983688;20;2425343;0;BPRED
1499877558499;17467;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;509;19;2443657;2004548;276;2443649;0;BPRED
1499877575971;17244;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;358;15;2430393;1991369;20;2430390;0;BPRED
1499877593220;17161;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;266;7;2425533;1985705;4;2425525;0;BPRED
1499877610386;17232;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;386;17;2431572;1989034;8;2431564;0;BPRED
1499877627624;17135;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;287;13;2424196;1979446;12;2424189;0;BPRED
1499877644764;17232;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;358;13;2431333;1989235;8;2431326;0;BPRED
1499877662002;17133;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;257;8;2425600;1978870;4;2425593;0;BPRED
1499877679140;17225;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;359;18;2431884;1986537;8;2431876;0;BPRED
1499877696371;17131;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;252;9;2425600;1978768;8;2425593;0;BPRED
1499877713507;17206;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00007106;0;312;18;2428474;1983708;52;2428467;0;BPRED
