TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
121620186677;1142085;"MAF";"INTERVAL";"PROBE";1;63;0x000029e1;0;46417929;11957;27934;89656;1774;1790;0;CPUTHEFT
121620187031;106;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000029e1;0;1450;35;43;241;84;18;0;CPUTHEFT
121620187146;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000029e1;0;3892;30;30;275;146;28;0;CPUTHEFT
121620187382;60;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000029e1;0;1444;30;32;284;26;6;0;CPUTHEFT
121620187449;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000029e1;0;9801;28;49;237;94;33;0;CPUTHEFT
121620187776;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000029e1;0;585;14;17;87;32;5;0;CPUTHEFT
121620187821;53586;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2173200;713;1647;5556;798;204;0;CPUTHEFT
121620241418;53387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2172531;664;1481;4791;53;98;0;CPUTHEFT
121620294812;53533;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2180252;653;1486;4352;116;66;0;CPUTHEFT
121620348352;53450;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2174202;646;1515;5060;105;69;0;CPUTHEFT
121620401810;53372;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2173651;766;1581;5228;17;71;0;CPUTHEFT
121620455190;53154;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2167292;451;1467;3590;23;39;0;CPUTHEFT
121620508351;53373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2173528;661;1446;4871;30;43;0;CPUTHEFT
121620561731;53311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2172207;744;1494;4812;13;75;0;CPUTHEFT
121620615049;53132;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2167348;326;1156;3432;4;71;0;CPUTHEFT
121620668187;53238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2171097;557;1245;4091;1;73;0;CPUTHEFT
121620721433;53288;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2172437;636;1440;4725;6;61;0;CPUTHEFT
121620774728;53084;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2165987;369;1117;3079;6;69;0;CPUTHEFT
121620827819;53160;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2168380;454;1239;3687;4;75;0;CPUTHEFT
121620880986;53242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2171542;517;1264;4077;2;64;0;CPUTHEFT
121620934235;53082;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2166245;262;1050;2974;1;66;0;CPUTHEFT
121620987324;53239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2171194;646;1349;4194;1;92;0;CPUTHEFT
121621040570;53230;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2171239;516;1236;3980;2;67;0;CPUTHEFT
121621093807;53092;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2166078;461;1167;3201;1;85;0;CPUTHEFT
121621146906;53225;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2171069;536;1295;4083;2;75;0;CPUTHEFT
121621200138;53329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2173002;640;1460;4719;42;108;0;CPUTHEFT
121621253477;75275;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000029e1;0;2958396;321;347;2310;110;45;0;CPUTHEFT
121621786555;1142972;"MAF";"INTERVAL";"PROBE";1;63;0x000029e1;1;46489884;10359;25840;81481;776;1681;0;CPUTHEFT
121621786574;113;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000029e1;1;1448;37;42;219;97;43;0;CPUTHEFT
121621786695;196;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000029e1;1;3891;30;29;268;106;37;0;CPUTHEFT
121621786898;31;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000029e1;1;648;15;16;61;22;10;0;CPUTHEFT
121621786937;308;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000029e1;1;9805;31;49;236;82;33;0;CPUTHEFT
121621787253;47;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000029e1;1;583;12;15;81;36;14;0;CPUTHEFT
121621787307;53402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171822;552;1459;4775;41;163;0;CPUTHEFT
121621840716;53236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171069;494;1356;4260;2;64;0;CPUTHEFT
121621893959;53098;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2166093;407;1164;3156;2;52;0;CPUTHEFT
121621947064;53241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171163;648;1434;4396;5;84;0;CPUTHEFT
121622000312;53318;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2172916;622;1345;4433;34;96;0;CPUTHEFT
121622053637;53091;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2166228;344;1105;3125;1;65;0;CPUTHEFT
121622106735;53228;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171104;475;1256;4046;7;97;0;CPUTHEFT
121622159972;53246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171119;726;1408;4323;2;114;0;CPUTHEFT
121622213225;52995;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2163037;211;968;2341;2;43;0;CPUTHEFT
121622266227;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171409;530;1294;4085;6;51;0;CPUTHEFT
121622319482;53229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171154;462;1272;4089;10;54;0;CPUTHEFT
121622372718;53086;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2166288;310;1078;3035;8;56;0;CPUTHEFT
121622425811;53242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171006;506;1279;4072;6;60;0;CPUTHEFT
121622479060;53228;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171059;522;1281;4041;1;39;0;CPUTHEFT
121622532295;53093;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2166063;344;1106;3040;26;259;0;CPUTHEFT
121622585395;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171188;536;1237;4029;42;114;0;CPUTHEFT
121622638661;53241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171178;547;1312;4146;16;77;0;CPUTHEFT
121622691909;53088;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2166021;353;1169;3190;13;20;0;CPUTHEFT
121622745004;53241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171588;498;1276;4090;8;9;0;CPUTHEFT
121622798253;53231;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;1;2171135;543;1293;4072;8;4;0;CPUTHEFT
121622851494;78024;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000029e1;1;3064562;403;397;2682;175;5;0;CPUTHEFT
121623386618;1146063;"MAF";"INTERVAL";"PROBE";1;63;0x000029e1;2;46597501;10407;25801;81099;1160;333;0;CPUTHEFT
121623386640;120;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000029e1;2;1449;32;35;206;116;5;0;CPUTHEFT
121623386768;238;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000029e1;2;4906;30;33;294;128;7;0;CPUTHEFT
121623387014;36;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000029e1;2;647;17;17;67;29;0;0;CPUTHEFT
121623387057;304;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000029e1;2;9806;23;32;177;83;3;0;CPUTHEFT
121623387369;47;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000029e1;2;583;12;15;92;40;0;0;CPUTHEFT
121623387422;53362;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171298;492;1372;4455;74;29;0;CPUTHEFT
121623440791;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171662;552;1356;4368;14;9;0;CPUTHEFT
121623494062;53011;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2163017;243;988;2417;10;13;0;CPUTHEFT
121623547080;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171264;572;1294;4133;31;15;0;CPUTHEFT
121623600347;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171310;611;1403;4319;18;27;0;CPUTHEFT
121623653610;53087;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2166034;322;1133;3102;8;14;0;CPUTHEFT
121623706704;53357;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2172977;679;1453;4677;95;13;0;CPUTHEFT
121623760072;53547;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171937;525;1304;4517;268;26;0;CPUTHEFT
121623813627;53093;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2166049;386;1146;3133;3;2;0;CPUTHEFT
121623866727;53156;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2168132;395;1190;3553;10;3;0;CPUTHEFT
121623919891;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171035;699;1448;4338;12;10;0;CPUTHEFT
121623973149;53084;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2165953;325;1106;3039;4;7;0;CPUTHEFT
121624026244;53247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171308;653;1353;4278;7;40;0;CPUTHEFT
121624079498;53239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171151;625;1372;4295;6;14;0;CPUTHEFT
121624132745;53086;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2166059;257;1062;2966;16;20;0;CPUTHEFT
121624185838;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171170;584;1323;4145;41;21;0;CPUTHEFT
121624239100;53242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171334;540;1280;4051;13;37;0;CPUTHEFT
121624292351;53101;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2166245;313;1086;3019;10;8;0;CPUTHEFT
121624345461;53238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171076;576;1296;4121;8;3;0;CPUTHEFT
121624398706;53240;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;2;2171458;483;1259;4052;8;4;0;CPUTHEFT
121624451961;80710;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000029e1;2;3173337;235;221;2007;83;1;0;CPUTHEFT
121624986631;1150461;"MAF";"INTERVAL";"PROBE";1;63;0x000029e1;3;46736312;11760;27369;88467;1775;944;0;CPUTHEFT
121624986654;114;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000029e1;3;1447;36;34;215;116;10;0;CPUTHEFT
121624986775;247;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000029e1;3;4913;31;33;283;134;6;0;CPUTHEFT
121624987030;31;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000029e1;3;648;14;15;61;27;1;0;CPUTHEFT
121624987067;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000029e1;3;9800;32;52;232;88;3;0;CPUTHEFT
121624987384;49;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000029e1;3;583;11;14;78;37;0;0;CPUTHEFT
121624987441;53505;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2171867;514;1399;4620;105;26;0;CPUTHEFT
121625040954;53257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2171302;641;1418;4327;12;18;0;CPUTHEFT
121625094218;53099;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2166311;344;1160;3176;12;4;0;CPUTHEFT
121625147325;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2171306;522;1274;4077;15;20;0;CPUTHEFT
121625200590;53246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2171387;500;1287;4111;9;15;0;CPUTHEFT
121625253850;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2166208;385;1143;3075;20;14;0;CPUTHEFT
121625306959;53469;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2173852;875;1596;5222;94;42;0;CPUTHEFT
121625360437;53685;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2175984;814;1639;5643;410;320;0;CPUTHEFT
121625414131;53219;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2167392;417;1230;3569;145;89;0;CPUTHEFT
121625467357;53343;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2171970;637;1444;4713;58;26;0;CPUTHEFT
121625520708;53283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2170774;536;1356;4365;21;4;0;CPUTHEFT
121625573999;53414;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2172900;703;1446;4786;70;60;0;CPUTHEFT
121625627421;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000029e1;3;2171266;524;1306;4175;24;52;0;CPUTHEFT
