TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
136899066930;1142739;"MAF";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;8917803;0;0;37125;0;CPUTHEFT
136899067308;110;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;415;0;0;145;0;CPUTHEFT
136899067426;226;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;1013;0;0;231;0;CPUTHEFT
136899067658;62;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;525;0;0;209;0;CPUTHEFT
136899067727;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;1632;0;0;141;0;CPUTHEFT
136899068047;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;192;0;0;48;0;CPUTHEFT
136899068095;53706;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;416988;0;0;2392;0;CPUTHEFT
136899121810;53475;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;417406;0;0;2273;0;CPUTHEFT
136899175294;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;413836;0;0;956;0;CPUTHEFT
136899228411;53387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;417355;0;0;2138;0;CPUTHEFT
136899281805;53281;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;416029;0;0;1641;0;CPUTHEFT
136899335093;53163;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;414516;0;0;1200;0;CPUTHEFT
136899388263;53338;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;416673;0;0;1921;0;CPUTHEFT
136899441608;53392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;416843;0;0;1877;0;CPUTHEFT
136899495007;53119;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;413846;0;0;934;0;CPUTHEFT
136899548133;53385;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;417308;0;0;2116;0;CPUTHEFT
136899601526;53597;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;419233;0;0;2586;0;CPUTHEFT
136899655130;53130;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;413841;0;0;995;0;CPUTHEFT
136899708273;53305;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;416726;0;0;1911;0;CPUTHEFT
136899761585;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;416032;0;0;1636;0;CPUTHEFT
136899814851;53090;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;413843;0;0;911;0;CPUTHEFT
136899867947;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;416039;0;0;1563;0;CPUTHEFT
136899921199;53246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;416037;0;0;1603;0;CPUTHEFT
136899974452;53321;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;416041;0;0;1580;0;CPUTHEFT
136900027783;53291;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;416028;0;0;1633;0;CPUTHEFT
136900081081;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;416032;0;0;1589;0;CPUTHEFT
136900134349;75309;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002b79;0;0;0;586002;0;0;1716;0;CPUTHEFT
136900666790;1142929;"MAF";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;8924054;0;0;29103;0;CPUTHEFT
136900666806;116;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;415;0;0;148;0;CPUTHEFT
136900666929;200;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;1013;0;0;219;0;CPUTHEFT
136900667136;30;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;181;0;0;38;0;CPUTHEFT
136900667174;308;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;1632;0;0;109;0;CPUTHEFT
136900667490;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;192;0;0;55;0;CPUTHEFT
136900667541;53344;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;416225;0;0;1812;0;CPUTHEFT
136900720892;53292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;416077;0;0;1566;0;CPUTHEFT
136900774191;53105;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;413738;0;0;818;0;CPUTHEFT
136900827303;53228;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;415906;0;0;1446;0;CPUTHEFT
136900880538;53236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;415996;0;0;1471;0;CPUTHEFT
136900933781;53080;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;413779;0;0;826;0;CPUTHEFT
136900986867;53239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;416429;0;0;1435;0;CPUTHEFT
136901040113;53236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;415992;0;0;1493;0;CPUTHEFT
136901093356;53081;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;413822;0;0;854;0;CPUTHEFT
136901146443;53310;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;416756;0;0;1725;0;CPUTHEFT
136901199760;53238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;415985;0;0;1489;0;CPUTHEFT
136901253005;53073;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;413725;0;0;791;0;CPUTHEFT
136901306085;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;415936;0;0;1449;0;CPUTHEFT
136901359324;53235;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;415938;0;0;1511;0;CPUTHEFT
136901412566;53093;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;414275;0;0;822;0;CPUTHEFT
136901465666;53290;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;416498;0;0;1467;0;CPUTHEFT
136901518970;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;415934;0;0;1476;0;CPUTHEFT
136901572251;53105;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;413820;0;0;812;0;CPUTHEFT
136901625366;53234;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;415894;0;0;1421;0;CPUTHEFT
136901678609;53237;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;415904;0;0;1430;0;CPUTHEFT
136901731857;77854;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002b79;1;0;0;606645;0;0;1584;0;CPUTHEFT
136902266850;1146531;"MAF";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;8945615;0;0;29570;0;CPUTHEFT
136902266875;124;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;415;0;0;157;0;CPUTHEFT
136902267007;231;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;1192;0;0;228;0;CPUTHEFT
136902267244;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;181;0;0;33;0;CPUTHEFT
136902267282;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;1632;0;0;101;0;CPUTHEFT
136902267599;49;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;192;0;0;51;0;CPUTHEFT
136902267656;53560;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;416510;0;0;1829;0;CPUTHEFT
136902321224;53316;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;415825;0;0;1466;0;CPUTHEFT
136902374548;53089;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;413740;0;0;796;0;CPUTHEFT
136902427644;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;415952;0;0;1520;0;CPUTHEFT
136902480901;53242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;415864;0;0;1452;0;CPUTHEFT
136902534157;53114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;413823;0;0;832;0;CPUTHEFT
136902587278;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002b79;2;0;0;415991;0;0;1511;0;CPUTHEFT
