TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
140884902793;1141842;"MAF";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;46409684;0;60007259;34019;0;CPUTHEFT
140884903139;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;1453;0;2088;154;0;CPUTHEFT
140884903258;233;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;3898;0;6110;222;0;CPUTHEFT
140884903497;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;1452;0;2661;201;0;CPUTHEFT
140884903570;321;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;9804;0;13572;121;0;CPUTHEFT
140884903899;38;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;586;0;900;57;0;CPUTHEFT
140884903945;53481;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2168053;0;2806634;1569;0;CPUTHEFT
140884957433;53373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2173136;0;2803863;1951;0;CPUTHEFT
140885010813;53395;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2174422;0;2804512;2189;0;CPUTHEFT
140885064215;53187;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2167713;0;2792111;1222;0;CPUTHEFT
140885117409;53345;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2173107;0;2800399;1947;0;CPUTHEFT
140885170761;53381;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2174431;0;2803742;2144;0;CPUTHEFT
140885224149;53148;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2167656;0;2788610;1177;0;CPUTHEFT
140885277304;53375;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2173717;0;2801731;1930;0;CPUTHEFT
140885330685;53249;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2171838;0;2798270;1591;0;CPUTHEFT
140885383941;53082;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2166425;0;2786942;904;0;CPUTHEFT
140885437034;53369;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2173389;0;2813837;1800;0;CPUTHEFT
140885490410;53273;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2171858;0;2805028;1693;0;CPUTHEFT
140885543690;53160;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2166130;0;2799023;824;0;CPUTHEFT
140885596857;53283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2171852;0;2798040;1572;0;CPUTHEFT
140885650147;53247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2171849;0;2799477;1574;0;CPUTHEFT
140885703401;53082;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2166489;0;2787273;859;0;CPUTHEFT
140885756490;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2171794;0;2797907;1542;0;CPUTHEFT
140885809729;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2171243;0;2795865;1514;0;CPUTHEFT
140885863005;53087;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2166457;0;2786706;882;0;CPUTHEFT
140885916099;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2171799;0;2797325;1525;0;CPUTHEFT
140885969340;75287;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002be2;0;0;0;2959335;0;3980826;1748;0;CPUTHEFT
140886502720;1143001;"MAF";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;46483176;0;60095464;27878;0;CPUTHEFT
140886502737;104;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;1450;0;2076;159;0;CPUTHEFT
140886502848;181;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;3891;0;6082;225;0;CPUTHEFT
140886503035;26;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;650;0;883;37;0;CPUTHEFT
140886503067;302;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;9808;0;13686;124;0;CPUTHEFT
140886503377;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;586;0;884;48;0;CPUTHEFT
140886503422;53231;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;2166136;0;2799664;1055;0;CPUTHEFT
140886556660;53357;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;2171898;0;2809160;1626;0;CPUTHEFT
140886610025;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;2171039;0;2803547;1462;0;CPUTHEFT
140886663277;53074;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;2166027;0;2788048;830;0;CPUTHEFT
140886716358;53231;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;2171151;0;2796611;1489;0;CPUTHEFT
140886769597;53230;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;2171360;0;2798781;1501;0;CPUTHEFT
140886822834;53099;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002be2;1;0;0;2166067;0;2787872;822;0;CPUTHEFT
