TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
152178265661;1143015;"MAF";"INTERVAL";"PROBE";1;63;0x00002d0f;0;129;22;46443357;60132081;6728;46445281;0;CPUTHEFT
152178266016;110;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;2;1454;2104;296;1458;0;CPUTHEFT
152178266135;233;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;3;1;3897;6007;540;3901;0;CPUTHEFT
152178266375;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002d0f;0;5;2;1452;2608;84;1463;0;CPUTHEFT
152178266451;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;0;9806;13526;324;9810;0;CPUTHEFT
152178266771;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;0;589;901;104;593;0;CPUTHEFT
152178266822;54168;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;58;6;2190218;2841569;3094;2190575;0;CPUTHEFT
152178320999;53522;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;6;2;2178123;2819534;241;2178275;0;CPUTHEFT
152178374529;53201;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;3;0;2167528;2800106;40;2167582;0;CPUTHEFT
152178427737;53579;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;5;1;2180471;2822778;170;2180630;0;CPUTHEFT
152178481323;53701;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;7;1;2179458;2832983;402;2179618;0;CPUTHEFT
152178535032;53191;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;0;2167268;2799331;67;2167321;0;CPUTHEFT
152178588230;53521;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;2;0;2177486;2825195;49;2177628;0;CPUTHEFT
152178641758;53519;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;2;0;2177893;2826261;21;2178036;0;CPUTHEFT
152178695298;53192;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;9;1;2167866;2792915;248;2167923;0;CPUTHEFT
152178748497;53211;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;2;0;2170851;2796446;20;2170938;0;CPUTHEFT
152178801715;53213;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;0;2171107;2798693;12;2171191;0;CPUTHEFT
152178854935;53075;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;0;2166183;2786327;4;2166227;0;CPUTHEFT
152178908017;53205;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;0;2171000;2796286;4;2171087;0;CPUTHEFT
152178961229;53136;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;0;2167909;2790995;12;2167984;0;CPUTHEFT
152179014371;53071;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;0;2166206;2787254;25;2166250;0;CPUTHEFT
152179067449;53318;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;18;1;2172425;2802301;234;2172517;0;CPUTHEFT
152179120774;53211;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;1;0;2170916;2799231;24;2171000;0;CPUTHEFT
152179173991;53067;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;0;2165951;2786229;4;2165995;0;CPUTHEFT
152179227065;53218;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;0;2171079;2798160;4;2171166;0;CPUTHEFT
152179280290;53136;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;0;0;2167956;2792021;8;2168031;0;CPUTHEFT
152179333443;75224;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002d0f;0;1;1;2958473;3978212;417;2958562;0;CPUTHEFT
152179865550;1142866;"MAF";"INTERVAL";"PROBE";1;63;0x00002d0f;1;41;10;46477300;60033367;11074;46478732;0;CPUTHEFT
152179865567;104;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;1;2;1451;2089;392;1455;0;CPUTHEFT
152179865678;200;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;4;2;3895;6158;432;3899;0;CPUTHEFT
152179865884;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;1;651;922;88;655;0;CPUTHEFT
152179865924;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;9805;13352;312;9809;0;CPUTHEFT
152179866241;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;585;907;136;589;0;CPUTHEFT
152179866291;53341;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;17;1;2171867;2803155;160;2171944;0;CPUTHEFT
152179919641;53372;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;8;1;2171481;2801419;433;2171554;0;CPUTHEFT
152179973020;53086;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2166049;2786721;13;2166088;0;CPUTHEFT
152180026113;53218;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2170986;2796650;8;2171064;0;CPUTHEFT
152180079339;53129;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2167950;2790171;12;2168012;0;CPUTHEFT
152180132475;53069;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2166166;2785501;16;2166207;0;CPUTHEFT
152180185551;53147;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2168310;2791336;21;2168382;0;CPUTHEFT
152180238705;53135;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2168132;2790369;17;2168207;0;CPUTHEFT
152180291848;53068;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2166020;2787435;7;2166064;0;CPUTHEFT
152180344923;53286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;6;1;2173071;2802258;104;2173168;0;CPUTHEFT
152180398217;53216;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;3;1;2171080;2795911;12;2171167;0;CPUTHEFT
152180451440;53075;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2166152;2785805;4;2166196;0;CPUTHEFT
152180504521;53220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2170930;2795778;16;2171020;0;CPUTHEFT
152180557763;53204;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2167978;2791463;616;2168056;0;CPUTHEFT
152180610980;53173;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2166005;2787846;1340;2166052;0;CPUTHEFT
152180664164;53320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2170957;2795117;1687;2171044;0;CPUTHEFT
152180717494;53368;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2171082;2796049;1956;2171169;0;CPUTHEFT
152180770874;53112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2165980;2786614;987;2166024;0;CPUTHEFT
152180823997;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2170891;2796879;896;2170978;0;CPUTHEFT
152180877267;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;2170942;2795855;760;2171029;0;CPUTHEFT
152180930534;77872;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002d0f;1;0;0;3062667;4120595;421;3062757;0;CPUTHEFT
152181465555;1147224;"MAF";"INTERVAL";"PROBE";1;63;0x00002d0f;2;57;13;46607584;60290834;16937;46609114;0;CPUTHEFT
152181465580;120;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002d0f;2;0;0;1453;2072;480;1457;0;CPUTHEFT
