TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
15706121169;1142789;"MAF";"INTERVAL";"PROBE";1;63;0x00000cd3;0;92169044;32222400;13443743;8909716;617109;15983;0;NOSTRESS
15706121541;121;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;2491;640;578;415;43;6;0;NOSTRESS
15706121673;243;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;8056;2372;1318;1012;97;1;0;NOSTRESS
15706121925;76;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000cd3;0;3025;703;480;526;81;0;0;NOSTRESS
15706122011;325;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000cd3;0;21137;7613;2057;1632;142;18;0;NOSTRESS
15706122345;38;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000cd3;0;1096;256;226;192;12;0;0;NOSTRESS
15706122390;53856;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4309267;1508664;629395;416474;31539;856;0;NOSTRESS
15706176254;53322;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4297954;1506022;627919;414411;29564;824;0;NOSTRESS
15706229583;53484;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4314462;1509762;630029;417554;28833;820;0;NOSTRESS
15706283077;53318;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4304994;1507668;628785;415687;28603;815;0;NOSTRESS
15706336404;53181;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4293326;1504927;627265;413531;29784;784;0;NOSTRESS
15706389592;53468;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4314964;1509843;630079;417680;28933;848;0;NOSTRESS
15706443068;53542;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4316881;1510391;630432;417984;28732;879;0;NOSTRESS
15706496632;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4298366;1506079;627942;414482;29823;814;0;NOSTRESS
15706549922;53390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4313265;1509481;629874;417308;28801;811;0;NOSTRESS
15706603319;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4306646;1508056;629015;415962;28532;782;0;NOSTRESS
15706656581;53017;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4287844;1503723;626574;412435;28157;752;0;NOSTRESS
15706709605;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4306793;1508095;629029;415989;28447;774;0;NOSTRESS
15706762866;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4306561;1508052;629016;415953;28424;709;0;NOSTRESS
15706816133;53032;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4288299;1503795;626606;412514;28174;778;0;NOSTRESS
15706869172;53251;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4306704;1508080;629028;415975;28363;758;0;NOSTRESS
15706922431;53250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4306644;1508074;629021;415965;28425;771;0;NOSTRESS
15706975689;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4295000;1505356;627507;413817;28252;762;0;NOSTRESS
15707028805;53320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4309582;1508785;629344;416419;28551;835;0;NOSTRESS
15707082134;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4307319;1508240;629024;416302;28419;797;0;NOSTRESS
15707135409;53108;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000cd3;0;4295296;1505442;627552;413878;28203;737;0;NOSTRESS
