TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
10392030947;1146467;"MAF";"INTERVAL";"PROBE";1;63;0x00000bf7;0;46451896;13781;29724;102392;2131;1479;0;NOSTRESS
10392031329;117;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;1452;60;66;265;103;17;0;NOSTRESS
10392031459;236;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;3900;53;53;307;150;38;0;NOSTRESS
10392031703;70;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000bf7;0;1449;49;49;331;31;11;0;NOSTRESS
10392031782;323;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000bf7;0;9808;37;52;266;87;14;0;NOSTRESS
10392032113;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000bf7;0;583;10;10;86;27;4;0;NOSTRESS
10392032160;53911;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2170742;877;1700;5131;951;138;0;NOSTRESS
10392086081;53836;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2179279;1112;1942;6902;252;92;0;NOSTRESS
10392139925;53548;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2177921;733;1548;5870;43;64;0;NOSTRESS
10392193480;53233;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2167294;508;1293;3790;9;61;0;NOSTRESS
10392246721;53517;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2177561;733;1566;5843;22;64;0;NOSTRESS
10392300246;53648;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2179129;795;1625;6259;26;57;0;NOSTRESS
10392353918;53487;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2172922;536;1284;4602;18;63;0;NOSTRESS
10392407412;53677;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2178766;798;1628;6238;25;37;0;NOSTRESS
10392461096;53341;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2168250;447;1243;3915;14;29;0;NOSTRESS
10392514444;53498;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2173406;539;1329;4783;23;74;0;NOSTRESS
10392567949;53690;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2178976;888;1606;6261;31;61;0;NOSTRESS
10392621647;53604;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2177748;903;1717;6153;10;44;0;NOSTRESS
10392675261;53227;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2166089;350;1097;3212;1;49;0;NOSTRESS
10392728495;53296;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2168223;468;1237;3586;12;76;0;NOSTRESS
10392781799;53376;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2171173;592;1353;4215;7;53;0;NOSTRESS
10392835182;53226;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2166054;401;1128;3116;5;57;0;NOSTRESS
10392888415;53531;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2174321;721;1579;5171;52;62;0;NOSTRESS
10392941953;53380;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2171199;641;1455;4503;7;80;0;NOSTRESS
10392995340;53220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2166099;293;1094;3058;5;24;0;NOSTRESS
10393048567;53357;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2171122;462;1250;4040;1;62;0;NOSTRESS
10393101948;75458;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000bf7;0;2958566;336;358;2339;131;59;0;NOSTRESS
10393630879;1145828;"MAF";"INTERVAL";"PROBE";1;63;0x00000bf7;1;46482465;11034;26173;81471;1232;1786;0;NOSTRESS
10393630895;111;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;1447;48;57;251;107;41;0;NOSTRESS
10393631013;193;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;3889;34;34;270;111;49;0;NOSTRESS
10393631214;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000bf7;1;648;17;24;91;23;6;0;NOSTRESS
10393631258;307;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000bf7;1;9806;31;44;226;76;28;0;NOSTRESS
10393631575;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000bf7;1;582;13;13;88;30;11;0;NOSTRESS
10393631623;53301;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2166872;385;1228;3670;23;146;0;NOSTRESS
10393684931;53465;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2173271;695;1477;4833;20;119;0;NOSTRESS
10393738403;53369;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2171042;565;1368;4315;5;70;0;NOSTRESS
10393791780;53204;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2165940;270;1038;2907;3;53;0;NOSTRESS
10393844992;53362;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2171221;457;1231;4018;2;67;0;NOSTRESS
10393898362;53370;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2171118;669;1418;4386;2;66;0;NOSTRESS
10393951739;53218;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2166050;354;1089;3057;1;64;0;NOSTRESS
10394004964;53359;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2171129;487;1269;4080;1;37;0;NOSTRESS
10394058330;53367;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2171167;603;1316;4155;2;86;0;NOSTRESS
10394111704;53217;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2166084;325;1075;3019;3;39;0;NOSTRESS
10394164929;53377;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2171459;551;1327;4228;4;74;0;NOSTRESS
10394218314;53362;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2171148;528;1338;4234;1;70;0;NOSTRESS
10394271683;53220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2166079;420;1104;3053;2;53;0;NOSTRESS
10394324910;53369;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2171177;623;1368;4262;1;64;0;NOSTRESS
10394378287;53371;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2171112;709;1452;4454;5;82;0;NOSTRESS
10394431666;53169;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2163142;318;1047;2533;73;243;0;NOSTRESS
10394484843;53491;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2171648;683;1377;4244;191;138;0;NOSTRESS
10394538346;53472;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2170239;728;1443;4320;223;64;0;NOSTRESS
10394591826;53296;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2166140;360;1126;3130;117;52;0;NOSTRESS
10394645129;53433;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;2171090;533;1289;4036;82;44;0;NOSTRESS
10394698587;78111;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000bf7;1;3062664;329;323;2190;102;8;0;NOSTRESS
10395230926;1149156;"MAF";"INTERVAL";"PROBE";1;63;0x00000bf7;2;46616855;12668;27911;88884;2852;668;0;NOSTRESS
10395230946;119;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;1452;49;61;254;110;8;0;NOSTRESS
10395231073;237;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;4907;37;40;286;130;5;0;NOSTRESS
10395231319;36;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000bf7;2;647;24;29;107;28;0;0;NOSTRESS
10395231365;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000bf7;2;9804;28;40;214;81;4;0;NOSTRESS
10395231687;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000bf7;2;582;14;14;89;33;1;0;NOSTRESS
10395231739;53456;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2166883;338;1226;3636;291;55;0;NOSTRESS
10395285203;53347;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2168233;544;1339;3889;87;42;0;NOSTRESS
10395338556;53412;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2171325;601;1266;4078;48;18;0;NOSTRESS
10395391975;53390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2169232;609;1412;4105;93;26;0;NOSTRESS
10395445372;53392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2171152;522;1279;4160;50;25;0;NOSTRESS
10395498773;53423;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2171139;705;1399;4298;28;44;0;NOSTRESS
10395552204;53251;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2165931;404;1151;3126;15;8;0;NOSTRESS
10395605467;53806;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2175398;788;1563;5437;386;57;0;NOSTRESS
10395659282;53203;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2168259;611;1353;3979;12;13;0;NOSTRESS
10395712493;53130;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2166346;385;1101;3088;7;3;0;NOSTRESS
10395765631;53218;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2168195;584;1294;3798;6;2;0;NOSTRESS
10395818856;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2171252;791;1419;4314;5;3;0;NOSTRESS
10395872138;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2166083;311;1093;3030;6;16;0;NOSTRESS
10395925252;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2171871;703;1524;4749;11;43;0;NOSTRESS
10395978537;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2171879;539;1351;4343;7;25;0;NOSTRESS
10396031807;53172;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2166424;413;1143;3195;117;65;0;NOSTRESS
10396084987;53385;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2171577;665;1427;4414;215;44;0;NOSTRESS
10396138380;53318;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2171738;517;1321;4296;135;26;0;NOSTRESS
10396191707;53159;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2166482;412;1196;3319;105;28;0;NOSTRESS
10396244873;53446;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;2173713;895;1629;5093;196;54;0;NOSTRESS
10396298330;81744;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000bf7;2;3190056;883;947;6157;613;42;0;NOSTRESS
10396830883;1149874;"MAF";"INTERVAL";"PROBE";1;63;0x00000bf7;3;46721891;11088;26266;83040;2062;562;0;NOSTRESS
