TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
26334214747;1142906;"MAF";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;8908938;0;0;33284;0;NOSTRESS
26334215150;119;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;415;0;0;148;0;NOSTRESS
26334215280;238;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;1012;0;0;213;0;NOSTRESS
26334215529;82;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;529;0;0;225;0;NOSTRESS
26334215621;324;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;1631;0;0;143;0;NOSTRESS
26334215957;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;191;0;0;67;0;NOSTRESS
26334216009;53813;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;416497;0;0;2130;0;NOSTRESS
26334269832;53312;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;414411;0;0;1138;0;NOSTRESS
26334323152;53317;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;414736;0;0;1256;0;NOSTRESS
26334376477;53466;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;416328;0;0;1823;0;NOSTRESS
26334429951;53292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;414423;0;0;1117;0;NOSTRESS
26334483250;53576;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;417368;0;0;2158;0;NOSTRESS
26334536833;53338;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;416576;0;0;1813;0;NOSTRESS
26334590192;53194;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;414355;0;0;1133;0;NOSTRESS
26334643393;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;415881;0;0;1551;0;NOSTRESS
26334696659;53388;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;417291;0;0;1997;0;NOSTRESS
26334750055;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;413809;0;0;957;0;NOSTRESS
26334803175;53311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;416655;0;0;1805;0;NOSTRESS
26334856493;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;416067;0;0;1569;0;NOSTRESS
26334909796;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;413809;0;0;859;0;NOSTRESS
26334962905;53261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;416371;0;0;1554;0;NOSTRESS
26335016173;53250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;415964;0;0;1519;0;NOSTRESS
26335069431;53097;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;413815;0;0;844;0;NOSTRESS
26335122541;53175;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;414660;0;0;1222;0;NOSTRESS
26335175723;53244;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;415974;0;0;1482;0;NOSTRESS
26335228974;53118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;413809;0;0;872;0;NOSTRESS
26335282117;75526;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000105e;0;0;0;589017;0;0;2581;0;NOSTRESS
