TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
29655493988;1143484;"MAF";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;46413423;0;59287972;34210;0;NOSTRESS
29655494378;113;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;1455;0;2117;153;0;NOSTRESS
29655494501;245;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;3898;0;6156;221;0;NOSTRESS
29655494754;87;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;1451;0;2720;203;0;NOSTRESS
29655494849;322;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;9807;0;13223;131;0;NOSTRESS
29655495179;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;586;0;897;52;0;NOSTRESS
29655495228;53977;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2172526;0;2792131;2097;0;NOSTRESS
29655549214;53563;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2175146;0;2765946;1227;0;NOSTRESS
29655602785;53604;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2174419;0;2793521;2157;0;NOSTRESS
29655656396;53620;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2175472;0;2795416;2311;0;NOSTRESS
29655710023;53281;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2167464;0;2779930;1125;0;NOSTRESS
29655763311;53355;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2172474;0;2765671;1841;0;NOSTRESS
29655816674;53381;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2172830;0;2765991;1916;0;NOSTRESS
29655870062;53182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2167340;0;2756376;1109;0;NOSTRESS
29655923251;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2171455;0;2763818;1589;0;NOSTRESS
29655976521;53402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2173916;0;2764692;2062;0;NOSTRESS
29656029930;53120;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2166113;0;2749993;925;0;NOSTRESS
29656083057;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2170536;0;2757448;1608;0;NOSTRESS
29656136326;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2171209;0;2762368;1604;0;NOSTRESS
29656189601;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2166102;0;2748581;880;0;NOSTRESS
29656242721;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2171177;0;2760260;1496;0;NOSTRESS
29656295984;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2171175;0;2761177;1495;0;NOSTRESS
29656349261;53108;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2166098;0;2748933;867;0;NOSTRESS
29656402376;53357;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000010b1;0;0;0;2173058;0;2764786;1748;0;NOSTRESS
