TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
41612095045;1143803;"MAF";"INTERVAL";"PROBE";1;63;0x000011de;0;1031;813;46412798;59254101;11724;46414251;0;NOSTRESS
41612095449;119;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000011de;0;1;9;1455;2082;424;1459;0;NOSTRESS
41612095580;256;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000011de;0;28;45;3899;6145;628;3903;0;NOSTRESS
41612095846;82;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000011de;0;42;33;1450;2749;145;1461;0;NOSTRESS
41612095940;321;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000011de;0;4;4;9810;13351;372;9814;0;NOSTRESS
41612096270;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;586;900;124;590;0;NOSTRESS
41612096319;53687;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;589;493;2167340;2755289;5294;2167391;0;NOSTRESS
41612150017;53500;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;272;177;2169494;2758690;1401;2169578;0;NOSTRESS
41612203529;53474;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;17;3;2173789;2770005;575;2173892;0;NOSTRESS
41612257012;53183;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2167397;2754033;144;2167452;0;NOSTRESS
41612310203;53493;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;3;1;2172538;2790543;141;2172632;0;NOSTRESS
41612363704;53476;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;1;2171678;2788615;116;2171764;0;NOSTRESS
41612417198;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2167466;2779788;54;2167518;0;NOSTRESS
41612470480;53455;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;6;0;2174332;2770964;209;2174440;0;NOSTRESS
41612523942;53468;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;6;2;2174388;2768533;370;2174488;0;NOSTRESS
41612577418;53117;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2166132;2748206;48;2166177;0;NOSTRESS
41612630543;53391;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2173939;2767308;58;2174041;0;NOSTRESS
41612683941;53311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2171846;2764291;28;2171937;0;NOSTRESS
41612737260;53182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2167690;2750745;52;2167743;0;NOSTRESS
41612790449;53453;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2174241;2767329;252;2174355;0;NOSTRESS
41612843909;53407;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2174046;2764960;116;2174149;0;NOSTRESS
41612897323;53172;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2167672;2752583;22;2167722;0;NOSTRESS
41612950503;53287;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2171803;2760057;73;2171897;0;NOSTRESS
41613003798;53331;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;5;0;2173059;2762060;57;2173148;0;NOSTRESS
41613057137;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2166397;2748246;16;2166443;0;NOSTRESS
41613110258;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;0;0;0;2171621;2762512;38;2171708;0;NOSTRESS
41613163545;75291;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000011de;0;1;4;2958906;3909550;574;2958997;0;NOSTRESS
41613694942;1142916;"MAF";"INTERVAL";"PROBE";1;63;0x000011de;1;28;19;46475827;59205590;2907;46477219;0;NOSTRESS
41613694959;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000011de;1;1;2;1453;2077;400;1457;0;NOSTRESS
41613695069;206;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;3;3897;5959;489;3901;0;NOSTRESS
41613695281;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000011de;1;0;2;651;911;100;655;0;NOSTRESS
41613695324;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000011de;1;1;0;9806;13223;312;9810;0;NOSTRESS
41613695643;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;584;927;120;588;0;NOSTRESS
41613695691;53173;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;12;3;2166857;2752273;132;2166898;0;NOSTRESS
41613748872;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;5;3;2171388;2763649;27;2171464;0;NOSTRESS
41613802157;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;2;1;2171381;2759955;4;2171457;0;NOSTRESS
41613855430;53117;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2166245;2750178;8;2166285;0;NOSTRESS
41613908554;53297;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2171960;2762844;12;2172036;0;NOSTRESS
41613961859;53178;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2168192;2753643;5;2168263;0;NOSTRESS
41614015044;53118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2166423;2749638;20;2166468;0;NOSTRESS
41614068169;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2171368;2759033;20;2171454;0;NOSTRESS
41614121445;53249;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2171353;2761257;20;2171445;0;NOSTRESS
41614174702;53179;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;2;2;2168164;2753457;40;2168219;0;NOSTRESS
41614227888;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;1;0;2171443;2761234;8;2171529;0;NOSTRESS
41614281158;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2171118;2760828;12;2171204;0;NOSTRESS
41614334421;53152;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;1;0;2167471;2751760;12;2167517;0;NOSTRESS
41614387581;53180;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2168187;2753718;12;2168261;0;NOSTRESS
41614440769;53208;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2168221;2751329;314;2168301;0;NOSTRESS
41614493985;53117;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2166281;2749199;137;2166326;0;NOSTRESS
41614547109;53195;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2168453;2754368;137;2168527;0;NOSTRESS
41614600313;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2171336;2758328;94;2171425;0;NOSTRESS
41614653585;53128;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2166259;2748713;20;2166301;0;NOSTRESS
41614706721;53251;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;1;0;0;2171494;2758899;20;2171580;0;NOSTRESS
41614759996;77856;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000011de;1;1;1;3059638;4041104;352;3059718;0;NOSTRESS
41615294949;1146709;"MAF";"INTERVAL";"PROBE";1;63;0x000011de;2;42;15;46605789;59412632;5807;46607284;0;NOSTRESS
41615294975;113;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000011de;2;1;2;1455;2092;460;1459;0;NOSTRESS
41615295097;238;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;1;4917;7259;502;4921;0;NOSTRESS
41615295343;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;650;920;100;654;0;NOSTRESS
41615295384;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;9804;13001;320;9808;0;NOSTRESS
41615295703;38;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;586;948;116;590;0;NOSTRESS
41615295747;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;5;1;2166884;2760317;1164;2166925;0;NOSTRESS
41615349025;53283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;2;1;2171189;2761262;225;2171265;0;NOSTRESS
41615402315;53205;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2168398;2756696;139;2168466;0;NOSTRESS
41615455527;53025;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2163079;2744120;80;2163107;0;NOSTRESS
41615508559;53284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2171516;2762421;44;2171592;0;NOSTRESS
41615561853;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2171280;2761302;20;2171356;0;NOSTRESS
41615615118;53104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2166220;2749526;16;2166265;0;NOSTRESS
41615668229;53591;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;24;3;2172249;2762411;1128;2172360;0;NOSTRESS
41615721827;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;3;1;2171147;2761057;12;2171233;0;NOSTRESS
41615775089;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;1;0;2166297;2751821;28;2166339;0;NOSTRESS
41615828207;53374;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;2;0;2173259;2762858;208;2173358;0;NOSTRESS
41615881588;53287;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;2;1;2171872;2759698;36;2171957;0;NOSTRESS
41615934883;53136;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2166238;2750154;24;2166284;0;NOSTRESS
41615988030;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2171839;2760794;20;2171924;0;NOSTRESS
41616041304;53340;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2173277;2764766;188;2173371;0;NOSTRESS
41616094651;53123;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2166259;2752584;120;2166304;0;NOSTRESS
41616147783;53299;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2171624;2760256;196;2171715;0;NOSTRESS
41616201090;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2171854;2760584;57;2171939;0;NOSTRESS
41616254370;53117;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2166408;2749897;28;2166454;0;NOSTRESS
41616307501;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;2;0;0;2171780;2762113;72;2171868;0;NOSTRESS
41616360800;80849;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000011de;2;1;0;3179492;4206383;372;3179628;0;NOSTRESS
41616894950;1152221;"MAF";"INTERVAL";"PROBE";1;63;0x000011de;3;24;15;46723085;60172023;4601;46724570;0;NOSTRESS
41616894971;111;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000011de;3;0;3;1453;2089;456;1457;0;NOSTRESS
41616895088;244;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000011de;3;0;2;4924;7245;513;4928;0;NOSTRESS
41616895339;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000011de;3;0;1;651;924;124;655;0;NOSTRESS
41616895382;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000011de;3;0;0;9800;13201;316;9804;0;NOSTRESS
41616895704;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000011de;3;0;0;584;943;128;588;0;NOSTRESS
41616895752;53428;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;3;8;1;2167097;2780127;858;2167138;0;NOSTRESS
41616949187;53458;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;3;1;1;2171363;2793893;190;2171441;0;NOSTRESS
41617002667;53392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;3;0;0;2171530;2788939;57;2171604;0;NOSTRESS
41617056066;53160;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;3;0;0;2163343;2771872;52;2163371;0;NOSTRESS
41617109233;53397;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;3;0;0;2171610;2791464;48;2171690;0;NOSTRESS
41617162637;53385;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;3;0;0;2171489;2787055;16;2171570;0;NOSTRESS
41617216042;53233;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;3;0;0;2166301;2777694;28;2166343;0;NOSTRESS
41617269282;53402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;3;0;0;2171582;2790872;8;2171671;0;NOSTRESS
41617322691;53300;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000011de;3;0;0;2168355;2783800;24;2168435;0;NOSTRESS
