TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
17285207373;2295239;"MAF";"INTERVAL";"PROBE";1;63;0x00000916;0;231222137;69856544;41219240;41327757;2617282;18807;0;CPUTHEFT
17285207757;100;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000916;0;2488;640;578;414;38;6;0;CPUTHEFT
17285207866;234;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000916;0;8055;2376;1317;1013;76;0;0;CPUTHEFT
17285208106;60;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000916;0;3028;703;481;527;58;4;0;CPUTHEFT
17285208173;320;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000916;0;21131;7612;2057;1632;149;15;0;CPUTHEFT
17285208501;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000916;0;1099;256;226;192;16;3;0;CPUTHEFT
17285208550;117737;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12014418;3593558;2167859;2212841;140136;960;0;CPUTHEFT
17285326297;117605;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12034147;3598546;2171360;2217222;139911;1008;0;CPUTHEFT
17285443909;85178;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;8154579;2549793;1398255;1313622;83587;933;0;CPUTHEFT
17285529094;117319;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12033064;3599327;2172542;2217339;140230;1011;0;CPUTHEFT
17285646421;117430;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12029830;3598061;2171395;2216379;140376;894;0;CPUTHEFT
17285763859;85106;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;8157060;2550661;1399017;1314220;83456;937;0;CPUTHEFT
17285848973;117396;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12035123;3599257;2172161;2217480;139686;1036;0;CPUTHEFT
17285966376;117327;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12033544;3599462;2172635;2217520;139765;982;0;CPUTHEFT
17286083711;85142;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;8158759;2551136;1399397;1314644;84573;872;0;CPUTHEFT
17286168860;117409;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12036976;3600162;2173050;2218052;140261;957;0;CPUTHEFT
17286286289;117262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12030281;3598458;2171874;2216684;138723;873;0;CPUTHEFT
17286403560;85099;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;8158931;2551163;1399401;1314660;83437;793;0;CPUTHEFT
17286488666;117365;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12039003;3600766;2173414;2218457;139649;1005;0;CPUTHEFT
17286606040;117358;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12034054;3599585;2172732;2217554;141011;957;0;CPUTHEFT
17286723405;85225;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;8166589;2552821;1400303;1316011;83641;864;0;CPUTHEFT
17286808638;117373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12035482;3600031;2173068;2217941;140984;931;0;CPUTHEFT
17286926018;117428;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12039475;3600883;2173552;2218635;141014;935;0;CPUTHEFT
17287043453;85111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;8158887;2551166;1399392;1314645;83446;859;0;CPUTHEFT
17287128571;117359;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12031372;3598897;2172212;2217030;140873;948;0;CPUTHEFT
17287245938;117359;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;0;12034553;3599712;2172826;2217662;141034;935;0;CPUTHEFT
17287363314;139290;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000916;0;13729031;4142481;2401310;2388037;150634;89;0;CPUTHEFT
17287507915;2298364;"MAF";"INTERVAL";"PROBE";1;63;0x00000916;1;231425275;69928099;41249698;41346440;2617937;18776;0;CPUTHEFT
17287507931;115;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000916;1;2485;640;578;415;27;6;0;CPUTHEFT
17287508053;213;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000916;1;8051;2374;1318;1013;81;3;0;CPUTHEFT
17287508274;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000916;1;1171;271;246;181;8;11;0;CPUTHEFT
17287508314;306;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000916;1;21138;7612;2056;1632;140;14;0;CPUTHEFT
17287508628;50;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000916;1;1097;256;226;192;10;3;0;CPUTHEFT
17287508684;117535;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12032892;3599063;2172178;2217073;141260;1029;0;CPUTHEFT
17287626231;117382;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12033220;3599373;2172550;2217459;139665;951;0;CPUTHEFT
17287743623;85317;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;8158139;2550886;1399181;1314439;84605;738;0;CPUTHEFT
17287828949;117482;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12035821;3599872;2172829;2217791;140777;1001;0;CPUTHEFT
17287946440;117603;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12017422;3594695;2168915;2213512;140410;888;0;CPUTHEFT
17288064057;85303;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;8159535;2551167;1399317;1314737;84852;946;0;CPUTHEFT
17288149367;117545;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12029608;3597697;2170903;2216156;140878;998;0;CPUTHEFT
17288266920;117401;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12032872;3599092;2172258;2217184;139740;998;0;CPUTHEFT
17288384330;85315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;8166852;2552933;1400380;1316101;84645;897;0;CPUTHEFT
17288469653;117424;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12026687;3597498;2171170;2215785;139386;965;0;CPUTHEFT
17288587097;117651;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12041394;3601301;2173678;2218872;139935;919;0;CPUTHEFT
17288704759;85220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;8157017;2550662;1399040;1314230;85923;920;0;CPUTHEFT
17288789986;117347;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12033589;3599485;2172664;2217474;140440;996;0;CPUTHEFT
17288907340;117274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12035569;3599898;2172933;2217879;138818;933;0;CPUTHEFT
17289024621;85096;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;8159330;2551208;1399393;1314738;83388;877;0;CPUTHEFT
17289109724;117274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12035304;3599824;2172831;2217825;138659;955;0;CPUTHEFT
17289227008;117354;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12033852;3599446;2172610;2217580;138703;906;0;CPUTHEFT
17289344370;85162;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;8158656;2551113;1399354;1314607;83398;871;0;CPUTHEFT
17289429539;117411;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12038867;3600713;2173423;2218487;138753;940;0;CPUTHEFT
17289546957;117341;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;1;12035036;3599842;2172926;2217776;140269;921;0;CPUTHEFT
17289664323;141948;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000916;1;13937290;4214088;2430850;2407955;152782;90;0;CPUTHEFT
17289811478;2300382;"MAF";"INTERVAL";"PROBE";1;63;0x00000916;2;231673045;70010662;41288239;41375755;2620196;18593;0;CPUTHEFT
17289811495;119;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000916;2;2488;640;578;414;31;6;0;CPUTHEFT
17289811622;236;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000916;2;9838;3099;1589;1191;114;3;0;CPUTHEFT
17289811866;31;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000916;2;1170;271;246;181;8;3;0;CPUTHEFT
17289811902;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000916;2;21148;7620;2057;1632;116;12;0;CPUTHEFT
17289812221;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000916;2;1097;256;226;192;11;3;0;CPUTHEFT
17289812273;117390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12024853;3596975;2170938;2215465;140428;1005;0;CPUTHEFT
17289929670;117522;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12044128;3601793;2174150;2219506;140694;917;0;CPUTHEFT
17290047200;85233;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;8158531;2550984;1399361;1314612;86095;821;0;CPUTHEFT
17290132440;117416;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12034370;3599504;2172604;2218000;139878;908;0;CPUTHEFT
17290249865;117483;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12038614;3600480;2173361;2218449;141490;945;0;CPUTHEFT
17290367356;85158;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;8158155;2550867;1399303;1314534;84931;929;0;CPUTHEFT
17290452522;117320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12030749;3598532;2172056;2216892;140219;935;0;CPUTHEFT
17290569849;117666;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12040134;3600793;2173391;2218651;139152;1001;0;CPUTHEFT
17290687522;85168;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;8155868;2550179;1398746;1313983;84975;963;0;CPUTHEFT
17290772697;117286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12035389;3599773;2172992;2217898;138809;981;0;CPUTHEFT
17290889991;117361;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12031310;3598745;2172235;2217066;138873;926;0;CPUTHEFT
17291007359;85121;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;8158417;2550907;1399348;1314590;83518;879;0;CPUTHEFT
17291092487;117382;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12037354;3600201;2173172;2218173;138899;959;0;CPUTHEFT
17291209876;117314;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12033717;3599343;2172669;2217579;138817;867;0;CPUTHEFT
17291327197;85148;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;8154296;2549822;1398513;1313635;84553;894;0;CPUTHEFT
17291412352;117362;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12035115;3599789;2172994;2217853;141245;937;0;CPUTHEFT
17291529721;117290;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12034647;3599635;2172897;2217742;139755;930;0;CPUTHEFT
17291647018;85156;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;8158895;2551091;1399454;1314711;84959;858;0;CPUTHEFT
17291732181;117368;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12034594;3599669;2172701;2218105;140237;887;0;CPUTHEFT
17291849556;117273;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;2;12034753;3599666;2172907;2217744;138804;920;0;CPUTHEFT
17291966839;145011;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000916;2;14171032;4292938;2463860;2431610;153211;104;0;CPUTHEFT
17292117006;2303577;"MAF";"INTERVAL";"PROBE";1;63;0x00000916;3;231888340;70086949;41317681;41392841;2635482;18427;0;CPUTHEFT
17292117026;119;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000916;3;2487;640;578;415;30;6;0;CPUTHEFT
17292117153;234;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000916;3;9858;3110;1588;1192;108;3;0;CPUTHEFT
17292117395;31;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000916;3;1170;271;246;181;6;2;0;CPUTHEFT
17292117434;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000916;3;21131;7610;2055;1632;112;15;0;CPUTHEFT
17292117754;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000916;3;1097;256;226;192;10;3;0;CPUTHEFT
17292117806;117368;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12030499;3598516;2171715;2217044;139909;1022;0;CPUTHEFT
17292235181;117421;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12035267;3599691;2172735;2217741;141478;931;0;CPUTHEFT
17292352610;85191;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;8158438;2551000;1399275;1314498;85038;902;0;CPUTHEFT
17292437810;117494;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12025504;3597212;2170985;2215539;140318;898;0;CPUTHEFT
17292555319;117342;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12029186;3598196;2171724;2216372;138880;938;0;CPUTHEFT
17292672669;85299;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;8161121;2551589;1399532;1314921;86216;900;0;CPUTHEFT
17292757994;117538;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12037290;3600196;2173052;2218035;141615;907;0;CPUTHEFT
17292875539;117370;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12030487;3598580;2171987;2216691;139767;866;0;CPUTHEFT
17292992917;85220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;8157520;2550765;1399089;1314282;86100;874;0;CPUTHEFT
17293078144;117390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12030504;3598578;2171983;2216683;140748;909;0;CPUTHEFT
17293195541;117475;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12044538;3601972;2174177;2219526;140570;957;0;CPUTHEFT
17293313023;85172;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;8158816;2551093;1399353;1314591;84696;881;0;CPUTHEFT
17293398203;117380;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12034862;3599702;2172801;2217736;141417;965;0;CPUTHEFT
17293515591;117382;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12032631;3599189;2172429;2217191;141200;870;0;CPUTHEFT
17293632980;85271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;8162039;2551802;1399733;1315148;85104;888;0;CPUTHEFT
17293718275;117353;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12035825;3599907;2172868;2217875;139630;925;0;CPUTHEFT
17293835635;117312;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12032474;3598985;2172206;2217118;139639;913;0;CPUTHEFT
17293952955;85162;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;8158671;2551033;1399316;1314544;84711;896;0;CPUTHEFT
17294038124;117421;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12035038;3599764;2172844;2217720;141381;936;0;CPUTHEFT
17294155554;117377;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;3;12035439;3599908;2172975;2217825;141261;956;0;CPUTHEFT
17294272958;147616;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000916;3;14394062;4370294;2496318;2452802;155160;64;0;CPUTHEFT
17294425679;2306945;"MAF";"INTERVAL";"PROBE";1;63;0x00000916;4;232129955;70166904;41348035;41412668;2622569;18860;0;CPUTHEFT
17294425695;122;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000916;4;2486;640;578;415;27;6;0;CPUTHEFT
17294425824;242;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000916;4;9841;3099;1590;1191;110;3;0;CPUTHEFT
17294426072;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000916;4;1171;271;246;181;8;2;0;CPUTHEFT
17294426111;306;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000916;4;21135;7613;2055;1632;123;15;0;CPUTHEFT
17294426423;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000916;4;1097;256;226;192;12;3;0;CPUTHEFT
17294426473;117476;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12031345;3598575;2171946;2216740;139383;981;0;CPUTHEFT
17294543958;117312;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12034494;3599628;2172836;2217674;139023;933;0;CPUTHEFT
17294661277;85196;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;8155878;2550248;1398812;1313948;84914;880;0;CPUTHEFT
17294746481;117562;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12047143;3602545;2174529;2220019;141577;950;0;CPUTHEFT
17294864051;117355;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12035538;3599909;2173069;2217937;140929;940;0;CPUTHEFT
17294981414;85173;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;8158871;2551046;1399391;1314671;84955;911;0;CPUTHEFT
17295066594;117269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12031335;3598740;2172210;2216932;139059;937;0;CPUTHEFT
17295183871;117267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12033529;3599314;2172615;2217443;138890;901;0;CPUTHEFT
17295301145;85193;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;8163075;2552055;1400029;1315482;83608;910;0;CPUTHEFT
17295386345;117517;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12041227;3601009;2173707;2219019;140419;955;0;CPUTHEFT
17295503869;117839;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12032083;3597490;2170359;2216218;141099;1021;0;CPUTHEFT
17295621719;85228;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;8138652;2544813;1394243;1309493;85057;964;0;CPUTHEFT
17295706959;117418;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12020442;3595005;2168892;2213951;140030;1022;0;CPUTHEFT
17295824384;117320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12034735;3599684;2172896;2217733;139598;932;0;CPUTHEFT
17295941711;85160;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;8157586;2550754;1399184;1314385;84923;925;0;CPUTHEFT
17296026889;117330;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12034033;3599477;2172734;2217587;140387;901;0;CPUTHEFT
17296144228;117379;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12038335;3600399;2173288;2218331;139075;929;0;CPUTHEFT
17296261614;85444;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;8159478;2551140;1399364;1314786;83831;897;0;CPUTHEFT
17296347079;117298;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12028871;3598077;2171720;2216381;138857;922;0;CPUTHEFT
17296464384;117325;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;4;12031287;3598752;2172204;2216958;139184;945;0;CPUTHEFT
17296581725;150890;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000916;4;14653900;4459274;2533421;2478022;157084;75;0;CPUTHEFT
17296737958;2340797;"MAF";"INTERVAL";"PROBE";1;63;0x00000916;5;236290096;71316847;42167520;42347928;2668278;18438;0;CPUTHEFT
17296737974;121;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000916;5;2488;640;578;414;32;6;0;CPUTHEFT
17296738102;242;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000916;5;9854;3104;1589;1191;119;3;0;CPUTHEFT
17296738351;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000916;5;1170;271;246;181;5;1;0;CPUTHEFT
17296738393;307;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000916;5;21134;7612;2057;1632;122;12;0;CPUTHEFT
17296738709;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000916;5;1096;256;226;192;15;3;0;CPUTHEFT
17296738760;117278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;5;12021701;3596616;2170828;2215050;139043;921;0;CPUTHEFT
17296856045;117292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;5;12031419;3598869;2172152;2216876;138947;936;0;CPUTHEFT
17296973345;117381;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;5;12039605;3600806;2173418;2218587;138906;967;0;CPUTHEFT
17297090733;85117;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;5;8158676;2551080;1399250;1314619;83429;849;0;CPUTHEFT
17297175859;117311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;5;12031820;3598927;2172203;2216980;138725;977;0;CPUTHEFT
17297293181;117292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;5;12035389;3599972;2172963;2217809;138787;925;0;CPUTHEFT
17297410498;85097;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;5;8157421;2550812;1399080;1314261;83456;868;0;CPUTHEFT
17297495602;117282;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;5;12036057;3600124;2173099;2217966;138790;911;0;CPUTHEFT
17297612891;117266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;5;12031171;3598822;2172122;2216838;138722;905;0;CPUTHEFT
17297730165;85095;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;5;8159255;2551295;1399453;1314691;83471;848;0;CPUTHEFT
17297815267;117420;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000916;5;12038064;3600505;2173227;2218232;139558;956;0;CPUTHEFT
