TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
42481815427;2302105;"MAF";"INTERVAL";"PROBE";1;63;0x00000ad6;0;78;21;121531325;180811943;10054;121534573;0;CPUTHEFT
42481815795;106;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;3;1452;2058;372;1456;0;CPUTHEFT
42481815910;238;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;1;2;3895;6043;612;3899;0;CPUTHEFT
42481816155;60;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ad6;0;4;2;1449;2651;104;1460;0;CPUTHEFT
42481816222;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;0;9807;13437;348;9811;0;CPUTHEFT
42481816548;38;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;0;589;910;108;593;0;CPUTHEFT
42481816595;117707;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;27;7;6312264;9464861;3290;6312473;0;CPUTHEFT
42481934309;117465;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;11;2;6311192;9467075;876;6311406;0;CPUTHEFT
42482051781;85183;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;1;0;4241119;6121176;206;4241225;0;CPUTHEFT
42482136972;117344;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;1;0;6318389;9469220;94;6318588;0;CPUTHEFT
42482254324;117267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;2;1;6320869;9463227;138;6321057;0;CPUTHEFT
42482371598;85214;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;0;4241457;6141097;17;4241548;0;CPUTHEFT
42482456819;117373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;0;6319607;9478744;193;6319794;0;CPUTHEFT
42482574199;117391;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;1;0;6322934;9483167;36;6323125;0;CPUTHEFT
42482691598;85214;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;2;0;4241514;6142510;36;4241611;0;CPUTHEFT
42482776819;117313;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;1;6315689;9463374;469;6315880;0;CPUTHEFT
42482894139;117490;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;7;0;6323326;9471706;802;6323524;0;CPUTHEFT
42483011639;85122;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;2;0;4240315;6118368;249;4240411;0;CPUTHEFT
42483096768;117258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;1;6322370;9461343;93;6322558;0;CPUTHEFT
42483214034;117343;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;10;0;6319683;9471369;222;6319879;0;CPUTHEFT
42483331386;124578;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;0;6793991;10222224;156;6794193;0;CPUTHEFT
42483455972;85213;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;0;4241346;6140812;47;4241443;0;CPUTHEFT
42483541192;117325;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;0;6321259;9476183;122;6321441;0;CPUTHEFT
42483658524;117255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;0;6317510;9455660;192;6317704;0;CPUTHEFT
42483775788;85138;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;0;4241853;6127406;12;4241947;0;CPUTHEFT
42483860933;117272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;0;0;6322496;9465587;55;6322683;0;CPUTHEFT
42483978222;139302;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000ad6;0;1;0;7105123;10647288;873;7105309;0;CPUTHEFT
42484122963;2297482;"MAF";"INTERVAL";"PROBE";1;63;0x00000ad6;1;64;19;121142772;180078990;19478;121146241;0;CPUTHEFT
42484122983;113;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;1;3;1447;2043;449;1451;0;CPUTHEFT
42484123104;206;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;1;1;3895;6060;460;3899;0;CPUTHEFT
42484123319;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;0;650;896;88;654;0;CPUTHEFT
42484123359;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;0;9803;13478;320;9807;0;CPUTHEFT
42484123676;47;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;0;586;890;148;590;0;CPUTHEFT
42484123729;117441;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;13;3;6316545;9457229;2285;6316726;0;CPUTHEFT
42484241182;117504;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;19;2;6301417;9438459;3668;6301627;0;CPUTHEFT
42484358703;85319;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;4;1;4238555;6118207;2050;4238669;0;CPUTHEFT
42484444030;117578;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;7;3;6311135;9462269;1818;6311356;0;CPUTHEFT
42484561616;117474;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;3;1;6319691;9475925;512;6319904;0;CPUTHEFT
42484679098;85184;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;0;4239449;6129332;288;4239548;0;CPUTHEFT
42484764290;117374;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;0;6320131;9479040;230;6320316;0;CPUTHEFT
42484881671;117293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;0;6322881;9466932;117;6323067;0;CPUTHEFT
42484998971;85260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;0;4243703;6126698;237;4243829;0;CPUTHEFT
42485084238;117372;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;0;6320282;9478249;241;6320467;0;CPUTHEFT
42485201618;117399;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;2;1;6318548;9461163;1033;6318739;0;CPUTHEFT
42485319027;85128;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;1;4236786;6112880;432;4236892;0;CPUTHEFT
42485404162;117257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;2;0;6320414;9458600;125;6320603;0;CPUTHEFT
42485521427;117314;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;1;1;6322928;9466375;58;6323117;0;CPUTHEFT
42485638748;85143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;2;0;4240195;6127203;127;4240293;0;CPUTHEFT
42485723899;117386;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;1;0;6321554;9474406;755;6321739;0;CPUTHEFT
42485841295;117365;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;2;1;6319416;9456530;1897;6319601;0;CPUTHEFT
42485958672;85212;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;1;0;4241506;6120515;741;4241600;0;CPUTHEFT
42486043891;117246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;1;6322830;9461628;323;6323018;0;CPUTHEFT
42486161144;117301;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;0;6317516;9455982;380;6317712;0;CPUTHEFT
42486278472;141965;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000ad6;1;0;0;7214674;10800616;364;7214856;0;CPUTHEFT
42486425458;2300572;"MAF";"INTERVAL";"PROBE";1;63;0x00000ad6;2;42;11;121284728;180355963;15818;121288098;0;CPUTHEFT
42486425478;125;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;1;1451;2052;456;1455;0;CPUTHEFT
42486425612;238;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;2;4916;7555;504;4920;0;CPUTHEFT
42486425857;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;650;897;84;654;0;CPUTHEFT
42486425897;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;9809;13556;320;9813;0;CPUTHEFT
42486426214;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;587;885;144;591;0;CPUTHEFT
42486426265;117436;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;6;3;6316084;9459682;1352;6316262;0;CPUTHEFT
42486543708;117521;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;6326481;9483845;474;6326696;0;CPUTHEFT
42486661237;85092;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;4240064;6123137;142;4240158;0;CPUTHEFT
42486746336;117415;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;6321134;9481499;532;6321322;0;CPUTHEFT
42486863774;117427;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;6318925;9475678;1027;6319110;0;CPUTHEFT
42486981214;85186;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;2;0;4233897;6110738;1488;4234003;0;CPUTHEFT
42487066411;117321;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;6322285;9472649;268;6322470;0;CPUTHEFT
42487183755;117670;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;18;1;6322222;9480767;1331;6322420;0;CPUTHEFT
42487301434;85189;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;1;2;4239274;6130226;357;4239373;0;CPUTHEFT
42487386637;117496;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;3;0;6320435;9470140;1885;6320625;0;CPUTHEFT
42487504146;117546;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;2;1;6318841;9479979;1669;6319019;0;CPUTHEFT
42487621718;85181;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;1;0;4241499;6129422;496;4241593;0;CPUTHEFT
42487706907;117406;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;6322462;9483080;300;6322648;0;CPUTHEFT
42487824322;117287;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;6317073;9461030;532;6317267;0;CPUTHEFT
42487941616;85101;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;4241457;6120473;128;4241553;0;CPUTHEFT
42488026725;117310;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;6322690;9474865;136;6322874;0;CPUTHEFT
42488144043;117287;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;2;0;6318648;9459279;223;6318835;0;CPUTHEFT
42488261337;85175;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;1;1;4241731;6132637;82;4241827;0;CPUTHEFT
42488346520;117344;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;6322403;9466627;587;6322591;0;CPUTHEFT
42488463876;117292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;6322872;9463607;300;6323060;0;CPUTHEFT
42488581193;144828;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000ad6;2;0;0;7320592;10944269;673;7320786;0;CPUTHEFT
42488731355;2303678;"MAF";"INTERVAL";"PROBE";1;63;0x00000ad6;3;67;19;121368440;180489024;17514;121372010;0;CPUTHEFT
42488731374;127;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ad6;3;1;2;1449;2060;461;1453;0;CPUTHEFT
42488731508;230;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ad6;3;0;1;4922;7369;517;4926;0;CPUTHEFT
42488731747;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ad6;3;0;0;650;890;108;654;0;CPUTHEFT
42488731786;310;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ad6;3;0;0;9805;13487;316;9809;0;CPUTHEFT
42488732104;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ad6;3;0;0;586;906;156;590;0;CPUTHEFT
42488732156;117468;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;3;9;0;6319376;9471318;660;6319564;0;CPUTHEFT
42488849633;117366;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;3;3;0;6322155;9471934;346;6322345;0;CPUTHEFT
42488967009;85211;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ad6;3;1;1;4239199;6130867;1283;4239290;0;CPUTHEFT
