TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
15490754418;2299892;"MAF";"INTERVAL";"PROBE";1;63;0x000008e5;0;231750660;69994744;41317688;41448509;2611124;18928;0;CPUTHEFT
15490754802;110;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000008e5;0;2489;640;578;414;36;6;0;CPUTHEFT
15490754919;235;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000008e5;0;8061;2376;1320;1012;117;0;0;CPUTHEFT
15490755161;70;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000008e5;0;3025;702;481;525;73;6;0;CPUTHEFT
15490755239;324;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000008e5;0;21134;7612;2056;1631;143;18;0;CPUTHEFT
15490755572;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000008e5;0;1095;256;226;192;12;0;0;CPUTHEFT
15490755619;117730;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;11950286;3574917;2153231;2197090;141665;1110;0;CPUTHEFT
15490873361;117395;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12011662;3591713;2165715;2211612;139858;978;0;CPUTHEFT
15490990764;85120;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;8146860;2547140;1395878;1311546;83589;933;0;CPUTHEFT
15491075892;117344;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12011212;3591606;2165655;2211359;139039;1036;0;CPUTHEFT
15491193243;117286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12024521;3596126;2169606;2214866;138965;942;0;CPUTHEFT
15491310537;85109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;8159059;2551219;1399419;1314685;83472;896;0;CPUTHEFT
15491395653;117267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12035253;3599884;2172953;2217815;138739;937;0;CPUTHEFT
15491512927;117284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12026709;3597386;2170982;2215634;138665;957;0;CPUTHEFT
15491630218;85118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;8159078;2551222;1399430;1314691;83398;847;0;CPUTHEFT
15491715346;117259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12035156;3599887;2172916;2217875;138669;920;0;CPUTHEFT
15491832612;117263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12035435;3599950;2172994;2217863;138677;939;0;CPUTHEFT
15491949882;85152;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;8136418;2544587;1393970;1309167;83339;937;0;CPUTHEFT
15492035043;117262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12035281;3599899;2172965;2217833;138683;948;0;CPUTHEFT
15492152312;117264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12035788;3600002;2173070;2217947;138625;962;0;CPUTHEFT
15492269585;123083;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12726950;3786764;2310668;2378898;148582;912;0;CPUTHEFT
15492392676;85106;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;8152390;2549225;1397825;1312941;83310;925;0;CPUTHEFT
15492477789;117302;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12034867;3599745;2172856;2217722;138654;932;0;CPUTHEFT
15492595098;117258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12034729;3599736;2172842;2217784;138570;875;0;CPUTHEFT
15492712364;85143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;8159594;2551354;1399535;1314818;83378;863;0;CPUTHEFT
15492797516;117284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;0;12034759;3599756;2172863;2217703;138700;920;0;CPUTHEFT
15492914809;139491;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000008e5;0;13727702;4142010;2400828;2387556;153624;129;0;CPUTHEFT
15493059578;2305041;"MAF";"INTERVAL";"PROBE";1;63;0x000008e5;1;232094011;70110689;41385419;41503260;2658298;18092;0;CPUTHEFT
15493059599;115;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000008e5;1;2491;640;578;414;36;6;0;CPUTHEFT
15493059721;210;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000008e5;1;8056;2376;1317;1012;93;0;0;CPUTHEFT
15493059939;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000008e5;1;1170;271;246;181;10;0;0;CPUTHEFT
15493059980;306;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000008e5;1;21134;7612;2055;1632;122;15;0;CPUTHEFT
15493060298;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000008e5;1;1095;256;226;192;17;0;0;CPUTHEFT
15493060345;117526;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12027670;3597801;2171381;2216023;141696;993;0;CPUTHEFT
15493177889;117531;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12021602;3596001;2169935;2214535;141220;953;0;CPUTHEFT
15493295430;85363;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;8157143;2550723;1399058;1314251;85914;840;0;CPUTHEFT
15493380802;117453;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12035521;3599995;2173022;2217886;141276;907;0;CPUTHEFT
15493498264;117475;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12036230;3600119;2173096;2218027;141251;870;0;CPUTHEFT
15493615746;85314;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;8158459;2551026;1399274;1314549;85890;879;0;CPUTHEFT
15493701067;117468;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12033930;3599560;2172713;2217524;141139;846;0;CPUTHEFT
15493818543;117455;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12033762;3599456;2172629;2217467;141079;932;0;CPUTHEFT
15493936005;123193;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12721533;3785284;2309378;2377391;151225;932;0;CPUTHEFT
15494059205;85256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;8153314;2549505;1398029;1313167;85910;908;0;CPUTHEFT
15494144470;117397;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12035757;3599997;2173018;2217929;141183;967;0;CPUTHEFT
15494261905;117471;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12035551;3599970;2173024;2217900;141206;844;0;CPUTHEFT
15494379383;85252;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;8157693;2550856;1399169;1314377;85935;844;0;CPUTHEFT
15494464643;117524;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12032873;3599204;2172420;2217350;141135;916;0;CPUTHEFT
15494582174;117411;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12035241;3599673;2172728;2217727;141260;945;0;CPUTHEFT
15494699595;85246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;8159280;2551238;1399435;1314735;85887;901;0;CPUTHEFT
15494784850;117441;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12033982;3599470;2172615;2217508;141180;919;0;CPUTHEFT
15494902302;117458;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12026320;3597319;2170922;2215558;141061;892;0;CPUTHEFT
15495019767;85250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;8159253;2551280;1399474;1314741;85901;856;0;CPUTHEFT
15495105025;117410;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000008e5;1;12035108;3599844;2172919;2217862;141196;891;0;CPUTHEFT
15495222460;142151;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000008e5;1;13937471;4214119;2430867;2407983;155070;36;0;CPUTHEFT
15495401965;2304584;"MAF";"INTERVAL";"PROBE";1;63;0x000008e5;2;231710618;70015259;41287886;41380330;2643196;18787;0;CPUTHEFT
15495401990;127;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000008e5;2;2487;640;578;415;33;9;0;CPUTHEFT
