TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
27544801315;2269986;"MAF";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;40587377;0;0;72549;0;CPUTHEFT
27544801665;110;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;415;0;0;132;0;CPUTHEFT
27544801783;235;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;1012;0;0;211;0;CPUTHEFT
27544802026;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;526;0;0;211;0;CPUTHEFT
27544802102;322;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;1632;0;0;123;0;CPUTHEFT
27544802433;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;192;0;0;47;0;CPUTHEFT
27544802481;117788;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;2205320;0;0;5832;0;CPUTHEFT
27544920279;117600;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;2210278;0;0;5625;0;CPUTHEFT
27545037887;85183;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;1310452;0;0;2724;0;CPUTHEFT
27545123077;117406;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;2208247;0;0;5953;0;CPUTHEFT
27545240490;117314;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;2213289;0;0;4262;0;CPUTHEFT
27545357828;85135;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;1314915;0;0;1530;0;CPUTHEFT
27545442970;117265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;2217749;0;0;2995;0;CPUTHEFT
27545560242;117265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;2218072;0;0;2937;0;CPUTHEFT
27545677515;85104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000009f2;0;0;0;1314683;0;0;1593;0;CPUTHEFT
