TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
36384544923;2298357;"MAF";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;121319853;0;179534161;62676;0;CPUTHEFT
36384545280;100;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;1455;0;2094;140;0;CPUTHEFT
36384545389;226;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;3900;0;6012;220;0;CPUTHEFT
36384545623;63;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;1452;0;2781;225;0;CPUTHEFT
36384545694;321;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;9812;0;13476;136;0;CPUTHEFT
36384546022;34;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;585;0;918;58;0;CPUTHEFT
36384546064;117871;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6314645;0;9452377;4743;0;CPUTHEFT
36384663943;117700;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6319142;0;9451137;4550;0;CPUTHEFT
36384781651;85280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;4239380;0;6112062;2353;0;CPUTHEFT
36384866939;117312;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6320652;0;9427232;3351;0;CPUTHEFT
36384984258;117286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6321804;0;9426817;2951;0;CPUTHEFT
36385101551;85116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;4241436;0;6081435;1595;0;CPUTHEFT
36385186674;113701;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6079835;0;9042039;3791;0;CPUTHEFT
36385300383;117315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6321105;0;9422936;2972;0;CPUTHEFT
36385417707;85116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;4241602;0;6082354;1552;0;CPUTHEFT
36385502830;117382;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6324421;0;9429506;3138;0;CPUTHEFT
36385620219;117273;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6321266;0;9423515;2902;0;CPUTHEFT
36385737499;85115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;4241423;0;6083945;1642;0;CPUTHEFT
36385822621;117266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6323380;0;9427051;2986;0;CPUTHEFT
36385939895;117362;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6323788;0;9427915;3304;0;CPUTHEFT
36386057266;85112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;4241698;0;6083182;1640;0;CPUTHEFT
36386142385;124552;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6788666;0;10173876;3366;0;CPUTHEFT
36386266944;117294;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6322669;0;9424037;2975;0;CPUTHEFT
36386384245;85213;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;4243677;0;6083547;1840;0;CPUTHEFT
36386469465;117269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6321447;0;9422051;3043;0;CPUTHEFT
36386586741;117260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;6322099;0;9423495;2983;0;CPUTHEFT
36386704009;139263;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000ab6;0;0;0;7108702;0;10573576;3093;0;CPUTHEFT
36386848471;2272456;"MAF";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;119571503;0;176612388;58389;0;CPUTHEFT
36386848486;105;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;1452;0;2078;137;0;CPUTHEFT
36386848600;193;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;3900;0;6168;223;0;CPUTHEFT
36386848799;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;651;0;914;44;0;CPUTHEFT
36386848841;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;9810;0;13194;118;0;CPUTHEFT
36386849162;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;585;0;958;51;0;CPUTHEFT
36386849211;117405;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6317423;0;9422684;3504;0;CPUTHEFT
36386966627;117431;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6320360;0;9424369;3195;0;CPUTHEFT
36387084073;85186;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;4241444;0;6082738;1659;0;CPUTHEFT
36387169278;117425;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6324167;0;9428348;3155;0;CPUTHEFT
36387286710;117298;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6321769;0;9423088;2982;0;CPUTHEFT
36387404016;85155;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;4241064;0;6082256;1592;0;CPUTHEFT
36387489178;117535;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6326545;0;9438400;3429;0;CPUTHEFT
36387606722;117372;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6321332;0;9425548;3072;0;CPUTHEFT
36387724101;92589;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;4714747;0;6846413;2879;0;CPUTHEFT
36387816698;85138;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;4241682;0;6080958;1612;0;CPUTHEFT
36387901843;117352;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6322295;0;9424076;3036;0;CPUTHEFT
36388019205;117397;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6310789;0;9408652;3567;0;CPUTHEFT
36388136611;85189;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;4241428;0;6082973;1651;0;CPUTHEFT
36388221807;117302;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6322932;0;9427830;2979;0;CPUTHEFT
36388339116;117283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6321331;0;9423414;3092;0;CPUTHEFT
36388456407;85228;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;4241095;0;6084750;1648;0;CPUTHEFT
36388541644;117434;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6317992;0;9420483;3048;0;CPUTHEFT
36388659089;117399;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6320523;0;9421184;2998;0;CPUTHEFT
36388776496;85170;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;4241744;0;6085112;1600;0;CPUTHEFT
36388861674;117306;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;6315339;0;9416984;3258;0;CPUTHEFT
36388978997;141921;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000ab6;1;0;0;7212863;0;10711173;3050;0;CPUTHEFT
36389126092;2299601;"MAF";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;121285814;0;179342554;57879;0;CPUTHEFT
36389126108;117;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;1455;0;2091;125;0;CPUTHEFT
36389126235;228;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;4920;0;7422;223;0;CPUTHEFT
36389126472;30;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;651;0;930;35;0;CPUTHEFT
36389126512;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;9806;0;13127;105;0;CPUTHEFT
36389126836;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;585;0;946;52;0;CPUTHEFT
36389126885;117402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6318253;0;9424201;3344;0;CPUTHEFT
36389244295;117384;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6316537;0;9420500;3404;0;CPUTHEFT
36389361691;85217;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;4240936;0;6083059;1642;0;CPUTHEFT
36389446915;117320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6320374;0;9424412;2812;0;CPUTHEFT
36389564246;117291;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6322439;0;9423934;2978;0;CPUTHEFT
36389681544;85114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;4241861;0;6082727;1577;0;CPUTHEFT
36389766665;117352;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6315002;0;9414769;3288;0;CPUTHEFT
36389884024;117570;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6323114;0;9428074;3379;0;CPUTHEFT
36390001604;85120;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;4240660;0;6084192;1733;0;CPUTHEFT
36390086732;117386;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6316474;0;9418825;3436;0;CPUTHEFT
36390204127;117439;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6321272;0;9425523;2975;0;CPUTHEFT
36390321580;85186;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;4239784;0;6081530;1599;0;CPUTHEFT
36390406776;117277;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6322477;0;9427248;2973;0;CPUTHEFT
36390524060;117314;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6315905;0;9419564;3214;0;CPUTHEFT
36390641381;85130;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;4241480;0;6083730;1642;0;CPUTHEFT
36390726518;117270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6322762;0;9426477;2943;0;CPUTHEFT
36390843800;117295;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6322788;0;9426342;2973;0;CPUTHEFT
36390961102;85137;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;4241606;0;6085691;1605;0;CPUTHEFT
36391046246;117300;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6320610;0;9423621;2960;0;CPUTHEFT
36391163554;117334;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;6321708;0;9423234;2971;0;CPUTHEFT
36391280904;144780;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000ab6;2;0;0;7326124;0;10863214;3046;0;CPUTHEFT
36391430827;2303156;"MAF";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;121385435;0;179507633;61196;0;CPUTHEFT
36391430843;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;1452;0;2050;136;0;CPUTHEFT
36391430961;231;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;4930;0;7466;208;0;CPUTHEFT
36391431201;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;650;0;910;35;0;CPUTHEFT
36391431243;307;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;9801;0;13130;104;0;CPUTHEFT
36391431559;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;585;0;942;48;0;CPUTHEFT
36391431606;117416;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6312667;0;9417516;3598;0;CPUTHEFT
36391549029;117297;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6322584;0;9429421;3125;0;CPUTHEFT
36391666333;85182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;4240728;0;6080584;1658;0;CPUTHEFT
36391751524;117425;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6321144;0;9426600;2962;0;CPUTHEFT
36391868965;117314;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6322283;0;9428049;3019;0;CPUTHEFT
36391986298;85132;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;4241635;0;6082466;1571;0;CPUTHEFT
36392071437;117623;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6318029;0;9426841;4295;0;CPUTHEFT
36392189072;117565;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6311980;0;9418200;4392;0;CPUTHEFT
36392306644;85205;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;4238236;0;6081963;2188;0;CPUTHEFT
36392424035;85143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;4241528;0;6086259;1675;0;CPUTHEFT
36392509194;117299;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6317901;0;9422648;3455;0;CPUTHEFT
36392626500;85132;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;4241784;0;6083131;1625;0;CPUTHEFT
36392711639;117288;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6322175;0;9429224;2911;0;CPUTHEFT
36392828936;117320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6321421;0;9425337;2905;0;CPUTHEFT
36392946274;85124;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;4242182;0;6086726;1566;0;CPUTHEFT
36393031405;117311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6317737;0;9421479;3162;0;CPUTHEFT
36393148723;117343;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6320564;0;9424780;3290;0;CPUTHEFT
36393266074;85351;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;4241659;0;6084333;1595;0;CPUTHEFT
36393351444;117501;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6319114;0;9422498;2948;0;CPUTHEFT
36393468961;117383;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;6320667;0;9426889;2994;0;CPUTHEFT
36393586353;147622;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000ab6;3;0;0;7437857;0;11011665;3077;0;CPUTHEFT
36393771381;2306995;"MAF";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;121526552;0;179856833;59303;0;CPUTHEFT
36393771405;113;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;1455;0;2107;137;0;CPUTHEFT
36393771527;237;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;4918;0;7377;215;0;CPUTHEFT
36393771770;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;651;0;921;32;0;CPUTHEFT
36393771816;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;9800;0;13125;94;0;CPUTHEFT
36393772135;47;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;586;0;915;54;0;CPUTHEFT
36393772189;85327;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;4238712;0;6095534;1871;0;CPUTHEFT
36393857523;117487;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6314551;0;9443243;3382;0;CPUTHEFT
36393975018;117397;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6321375;0;9452207;2997;0;CPUTHEFT
36394092422;85244;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;4237063;0;6107649;2009;0;CPUTHEFT
36394177683;117411;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6319691;0;9447756;3261;0;CPUTHEFT
36394295101;117429;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6320095;0;9448896;3056;0;CPUTHEFT
36394412539;85152;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;4240321;0;6081423;1592;0;CPUTHEFT
36394497707;117291;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6322906;0;9428856;2919;0;CPUTHEFT
36394615017;117300;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6322930;0;9430511;3023;0;CPUTHEFT
36394732331;85178;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;4236811;0;6078860;1939;0;CPUTHEFT
36394817517;117329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6320575;0;9425083;3094;0;CPUTHEFT
36394934853;117398;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6319708;0;9424055;3087;0;CPUTHEFT
36395052267;85212;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;4240950;0;6081655;1620;0;CPUTHEFT
36395137488;117285;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6321892;0;9425763;3031;0;CPUTHEFT
36395254780;117324;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6320745;0;9423745;2947;0;CPUTHEFT
36395372112;85641;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;4245326;0;6090467;2156;0;CPUTHEFT
36395457762;117329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6321399;0;9425048;3135;0;CPUTHEFT
36395575100;117601;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6316858;0;9419090;3680;0;CPUTHEFT
36395692708;85118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;4240649;0;6082506;1643;0;CPUTHEFT
36395777833;117295;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;6322785;0;9426384;2976;0;CPUTHEFT
36395895139;183229;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000ab6;4;0;0;9647577;0;14566304;4506;0;CPUTHEFT
36396083569;2311336;"MAF";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;121648373;0;180363320;58681;0;CPUTHEFT
36396083589;114;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;1452;0;2055;135;0;CPUTHEFT
36396083712;226;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;4926;0;7531;216;0;CPUTHEFT
36396083944;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;652;0;964;36;0;CPUTHEFT
36396083987;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;9802;0;13181;102;0;CPUTHEFT
36396084309;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;585;0;952;51;0;CPUTHEFT
36396084358;117517;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6317632;0;9447707;3388;0;CPUTHEFT
36396201883;85284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;4236780;0;6101492;1935;0;CPUTHEFT
36396287174;117396;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6322505;0;9451638;3140;0;CPUTHEFT
36396404583;117474;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6316874;0;9442478;3388;0;CPUTHEFT
36396522067;85309;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;4238680;0;6102742;1724;0;CPUTHEFT
36396607383;117578;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6322482;0;9453099;3007;0;CPUTHEFT
36396724973;117459;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6320968;0;9450264;2956;0;CPUTHEFT
36396842449;85235;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;4241864;0;6109174;1595;0;CPUTHEFT
36396927694;117391;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6323184;0;9452185;2967;0;CPUTHEFT
36397045093;117401;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6320986;0;9449109;2981;0;CPUTHEFT
36397162511;85254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;4241958;0;6108694;1558;0;CPUTHEFT
36397247773;117506;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6310111;0;9433768;3684;0;CPUTHEFT
36397365292;117462;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6322252;0;9450110;2949;0;CPUTHEFT
36397482762;85292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;4241174;0;6108419;1616;0;CPUTHEFT
36397568065;117451;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6322416;0;9449895;2976;0;CPUTHEFT
36397685523;117405;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6322699;0;9452514;2999;0;CPUTHEFT
36397802935;85233;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;4242151;0;6109214;1606;0;CPUTHEFT
36397888175;117402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6321560;0;9451235;3035;0;CPUTHEFT
36398005584;117449;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;6317647;0;9446082;3365;0;CPUTHEFT
36398123041;85318;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;4238283;0;6104482;1672;0;CPUTHEFT
36398208369;186524;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000ab6;5;0;0;9772495;0;14736849;4748;0;CPUTHEFT
36398400023;2344488;"MAF";"INTERVAL";"PROBE";1;63;0x00000ab6;6;0;0;123882179;0;183429873;59426;0;CPUTHEFT
36398400047;121;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;6;0;0;1454;0;2052;126;0;CPUTHEFT
36398400179;236;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ab6;6;0;0;4911;0;7262;220;0;CPUTHEFT
36398400423;37;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ab6;6;0;0;650;0;937;33;0;CPUTHEFT
36398400471;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ab6;6;0;0;9807;0;13207;97;0;CPUTHEFT
36398400789;47;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ab6;6;0;0;585;0;913;58;0;CPUTHEFT
36398400842;117599;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;6;0;0;6317970;0;9450078;3378;0;CPUTHEFT
36398518449;117382;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;6;0;0;6320893;0;9433284;2986;0;CPUTHEFT
36398635838;85117;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;6;0;0;4242021;0;6086120;1628;0;CPUTHEFT
36398720993;117280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ab6;6;0;0;6321202;0;9427296;2980;0;CPUTHEFT
