TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
37188128552;2301963;"MAF";"INTERVAL";"PROBE";1;63;0x00000ac7;0;48;16;121544617;179881539;9121;121547953;0;CPUTHEFT
37188128893;112;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;1;1455;2096;364;1459;0;CPUTHEFT
37188129016;227;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;1;0;3904;6092;546;3908;0;CPUTHEFT
37188129250;64;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ac7;0;1;3;1454;2875;140;1465;0;CPUTHEFT
37188129321;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ac7;0;1;1;9810;13443;352;9814;0;CPUTHEFT
37188129647;34;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;585;926;84;589;0;CPUTHEFT
37188129688;117567;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;23;6;6313473;9422177;3271;6313677;0;CPUTHEFT
37188247263;117391;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;6313688;9417489;771;6313892;0;CPUTHEFT
37188364661;85169;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;1;4238308;6082381;156;4238412;0;CPUTHEFT
37188449837;117280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;6317849;9421138;48;6318049;0;CPUTHEFT
37188567125;117278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;5;0;6320032;9424862;177;6320220;0;CPUTHEFT
37188684420;85142;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;4241403;6083806;183;4241498;0;CPUTHEFT
37188769569;117291;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;11;1;6315874;9420284;375;6316071;0;CPUTHEFT
37188886867;117283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;1;6322802;9424730;30;6322992;0;CPUTHEFT
37189004158;85114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;4240337;6080467;94;4240432;0;CPUTHEFT
37189089279;117270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;1;0;6321510;9424461;67;6321701;0;CPUTHEFT
37189206557;117259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;6322748;9424521;20;6322934;0;CPUTHEFT
37189323823;85113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;4241836;6080815;8;4241934;0;CPUTHEFT
37189408943;117260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;6322373;9423444;33;6322560;0;CPUTHEFT
37189526210;117286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;6319802;9420793;161;6320001;0;CPUTHEFT
37189643504;124894;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;1;0;6815029;10217653;124;6815245;0;CPUTHEFT
37189768406;85159;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;4241802;6093177;14;4241898;0;CPUTHEFT
37189853573;117404;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;6318239;9426607;399;6318441;0;CPUTHEFT
37189970984;117309;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;6319153;9425009;98;6319353;0;CPUTHEFT
37190088301;85232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;4239732;6094618;201;4239841;0;CPUTHEFT
37190173540;117507;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;0;0;6318485;9444530;311;6318691;0;CPUTHEFT
37190291055;139451;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000ac7;0;1;1;7103119;10568196;778;7103333;0;CPUTHEFT
37190435404;2297777;"MAF";"INTERVAL";"PROBE";1;63;0x00000ac7;1;14;13;121184585;179553963;8540;121188009;0;CPUTHEFT
37190435425;101;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;1450;2094;352;1454;0;CPUTHEFT
37190435534;194;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;3897;6102;412;3901;0;CPUTHEFT
37190435735;30;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;1;650;923;92;654;0;CPUTHEFT
37190435774;298;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000ac7;1;1;0;9809;13300;268;9813;0;CPUTHEFT
37190436081;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;584;939;80;588;0;CPUTHEFT
37190436125;117494;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;11;7;6314203;9423111;2082;6314414;0;CPUTHEFT
37190553641;117379;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;3;6321647;9426497;1244;6321839;0;CPUTHEFT
37190671038;85215;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;4239810;6080459;480;4239903;0;CPUTHEFT
37190756260;117345;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;6321938;9425041;244;6322123;0;CPUTHEFT
37190873620;117262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;6323066;9424590;44;6323258;0;CPUTHEFT
37190990890;85107;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;4241365;6083327;36;4241463;0;CPUTHEFT
37191076010;117264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;6322988;9426473;24;6323180;0;CPUTHEFT
37191193281;117302;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;1;0;6313551;9414469;364;6313741;0;CPUTHEFT
37191310590;85402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;4245113;6105396;201;4245239;0;CPUTHEFT
37191396000;117386;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;6322335;9454753;52;6322519;0;CPUTHEFT
37191513393;117412;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;6320623;9451241;220;6320810;0;CPUTHEFT
37191630813;85241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;4240868;6107618;28;4240964;0;CPUTHEFT
37191716061;117419;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;6321675;9451572;69;6321866;0;CPUTHEFT
37191833487;117398;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;6322915;9450982;36;6323104;0;CPUTHEFT
37191950892;85224;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;4241900;6111190;48;4242000;0;CPUTHEFT
37192036123;117398;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;6316393;9445189;532;6316591;0;CPUTHEFT
37192153534;117432;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;6321815;9453492;512;6322004;0;CPUTHEFT
37192270978;85290;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;4241336;6109704;177;4241432;0;CPUTHEFT
37192356275;117384;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;6322639;9452874;137;6322829;0;CPUTHEFT
37192473667;117387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;0;0;6322548;9450812;56;6322738;0;CPUTHEFT
37192591063;142110;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000ac7;1;1;0;7213234;10754156;462;7213423;0;CPUTHEFT
37192738363;2299963;"MAF";"INTERVAL";"PROBE";1;63;0x00000ac7;2;26;4;121293594;179532135;7505;121296994;0;CPUTHEFT
37192738382;115;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000ac7;2;0;0;1454;2099;440;1458;0;CPUTHEFT
