TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
9061890279;2301386;"MAF";"INTERVAL";"PROBE";1;63;0x00000856;0;121467655;17302;33476;124162;2157;2908;0;CPUTHEFT
9061890661;118;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000856;0;1453;46;54;246;93;16;0;CPUTHEFT
9061890789;239;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000856;0;3895;29;26;273;157;31;0;CPUTHEFT
9061891035;70;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000856;0;1449;34;49;319;42;6;0;CPUTHEFT
9061891113;322;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000856;0;9803;33;45;225;91;22;0;CPUTHEFT
9061891443;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000856;0;582;9;9;66;32;14;0;CPUTHEFT
9061891491;117573;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000856;0;6307138;1179;2098;8283;912;233;0;CPUTHEFT
9062009076;117612;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000856;0;6321400;1236;1995;7652;165;131;0;CPUTHEFT
9062126696;85113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000856;0;4240972;516;1354;4291;25;68;0;CPUTHEFT
9062211816;85186;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000856;0;4241321;747;1592;5466;15;85;0;CPUTHEFT
9062297009;149246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000856;0;8398670;879;1653;6678;7;98;0;CPUTHEFT
9062446262;85098;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000856;0;4241620;441;1273;4045;2;76;0;CPUTHEFT
9062531367;117373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000856;0;6322028;896;1686;6196;18;106;0;CPUTHEFT
