TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
123810151144;360147;"MAF";"INTERVAL";"PROBE";4;63;0x00001bd3;0;51205212;8760;3640;77291;5388;1475;0;NOSTRESS
123810151401;55;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;1604;36;6;412;126;37;0;NOSTRESS
123810151461;91;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;4176;27;4;421;154;27;0;NOSTRESS
123810151556;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001bd3;0;755;17;3;87;28;5;0;NOSTRESS
123810151580;110;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001bd3;0;10608;28;8;239;73;22;0;NOSTRESS
123810151695;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001bd3;0;707;11;5;99;26;6;0;NOSTRESS
123810151720;16719;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2397719;161;182;2863;473;146;0;NOSTRESS
123810168443;16929;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2404833;535;249;5026;305;76;0;NOSTRESS
123810185376;16862;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2405974;534;133;4151;66;13;0;NOSTRESS
123810202243;17871;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2425362;1525;782;11658;2156;642;0;NOSTRESS
123810220120;16875;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2406483;452;189;4464;86;29;0;NOSTRESS
123810237000;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2398892;157;95;1933;0;0;0;NOSTRESS
123810253717;16874;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2406651;544;182;4147;57;12;0;NOSTRESS
123810270596;16716;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2399824;157;96;1954;0;1;0;NOSTRESS
123810287317;16934;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2405986;518;202;4324;32;8;0;NOSTRESS
123810304256;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2396859;155;87;1959;0;2;0;NOSTRESS
123810320962;16817;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2403883;445;156;3414;31;7;0;NOSTRESS
123810337783;16709;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2398336;155;69;1923;0;0;0;NOSTRESS
123810354496;16851;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2405874;516;210;3923;28;4;0;NOSTRESS
123810371352;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2398385;140;63;1920;0;1;0;NOSTRESS
123810388061;16858;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2406647;526;209;3956;34;2;0;NOSTRESS
123810404924;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2398141;140;64;1930;0;0;0;NOSTRESS
123810421633;16769;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2402100;347;118;2828;25;10;0;NOSTRESS
123810438407;16719;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2399736;160;49;1861;0;1;0;NOSTRESS
123810455130;16942;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2407552;583;272;4442;252;78;0;NOSTRESS
123810472077;16710;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;2397485;138;50;2457;264;48;0;NOSTRESS
123810488794;22492;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001bd3;0;3097081;323;82;2377;892;169;0;NOSTRESS
123811751161;359514;"MAF";"INTERVAL";"PROBE";4;63;0x00001bd3;1;51285310;7506;3304;66972;3144;1990;0;NOSTRESS
123811751190;87;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;1609;45;22;476;243;154;0;NOSTRESS
123811751281;101;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;4121;27;16;438;190;123;0;NOSTRESS
123811751386;25;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001bd3;1;761;16;10;92;37;21;0;NOSTRESS
123811751416;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001bd3;1;10533;30;11;241;97;68;0;NOSTRESS
123811751535;29;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001bd3;1;740;11;7;122;37;32;0;NOSTRESS
123811751568;16779;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2399630;165;251;2955;986;650;0;NOSTRESS
123811768352;16898;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2404976;521;254;4897;300;219;0;NOSTRESS
123811785255;16803;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2403987;451;109;3618;14;11;0;NOSTRESS
123811802063;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2397635;161;141;1942;0;1;0;NOSTRESS
123811818751;16792;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2403357;436;127;3406;1;2;0;NOSTRESS
123811835547;16674;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2396128;144;126;1927;0;1;0;NOSTRESS
123811852225;17457;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2419459;1250;497;9801;1076;626;0;NOSTRESS
123811869693;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2398540;145;114;1967;1;2;0;NOSTRESS
123811886404;16825;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2406966;436;156;3434;0;1;0;NOSTRESS
123811903234;16715;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2400237;144;99;1939;0;0;0;NOSTRESS
123811919953;16800;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2404549;440;168;3443;4;0;0;NOSTRESS
123811936757;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001bd3;1;2397761;143;85;1931;0;0;0;NOSTRESS
