TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
134412522167;358618;"MAF";"INTERVAL";"PROBE";4;63;0x00001ccc;0;91406095;0;0;9234870;429537;0;0;NOSTRESS
134412522450;62;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001ccc;0;2484;0;0;448;36;0;0;NOSTRESS
134412522517;89;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001ccc;0;8048;0;0;1117;79;0;0;NOSTRESS
134412522610;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001ccc;0;1173;0;0;197;6;0;0;NOSTRESS
134412522635;115;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001ccc;0;21108;0;0;1737;132;0;0;NOSTRESS
134412522754;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001ccc;0;1099;0;0;213;11;0;0;NOSTRESS
134412522780;16968;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ccc;0;4273154;0;0;432477;20965;0;0;NOSTRESS
134412539753;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ccc;0;4261457;0;0;429959;20770;0;0;NOSTRESS
134412556474;16814;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ccc;0;4273189;0;0;432290;20833;0;0;NOSTRESS
134412573293;16677;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ccc;0;4261454;0;0;429652;20529;0;0;NOSTRESS
134412589974;16869;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ccc;0;4275882;0;0;432862;20846;0;0;NOSTRESS
134412606848;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ccc;0;4261454;0;0;429771;20597;0;0;NOSTRESS
134412623540;16867;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ccc;0;4276119;0;0;432925;20926;0;0;NOSTRESS
134412640412;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ccc;0;4261454;0;0;429837;20603;0;0;NOSTRESS
134412657104;16919;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ccc;0;4276328;0;0;432919;20838;0;0;NOSTRESS
