TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
139050971366;358903;"MAF";"INTERVAL";"PROBE";4;63;0x00001d3a;0;41208253;16392104;9241109;23437115;24151544;9705;0;NOSTRESS
139050971639;58;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;832;666;445;1189;0;129;0;NOSTRESS
139050971701;95;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;2775;1482;1081;2929;1198;170;0;NOSTRESS
139050971800;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001d3a;0;350;306;200;603;17;26;0;NOSTRESS
139050971826;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001d3a;0;9574;2598;1756;8368;4129;91;0;NOSTRESS
139050971946;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001d3a;0;347;275;211;583;0;33;0;NOSTRESS
139050971974;16715;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1940074;769946;429779;1092512;1133784;67;0;NOSTRESS
139050988693;17026;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1946924;773525;433828;1104868;1133834;1343;0;NOSTRESS
139051005725;16703;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1940292;770122;429824;1091916;1134132;29;0;NOSTRESS
139051022432;16792;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1939882;770758;431842;1097915;1131641;593;0;NOSTRESS
139051039229;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1937503;769149;429668;1091241;1132596;25;0;NOSTRESS
139051055915;16839;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1943147;771758;432152;1099241;1133686;594;0;NOSTRESS
139051072759;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1939341;769911;429733;1091701;1133697;21;0;NOSTRESS
139051089456;16794;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1942104;771310;432161;1099139;1132841;471;0;NOSTRESS
139051106255;16728;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1937601;768865;429599;1090877;1132685;48;0;NOSTRESS
139051122987;17057;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1949706;775958;439424;1114358;1132540;989;0;NOSTRESS
139051140049;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1937992;769353;429691;1091499;1132533;12;0;NOSTRESS
139051156737;16847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1946482;772832;432938;1101150;1134840;697;0;NOSTRESS
139051173588;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1939709;769671;429706;1091565;1133879;11;0;NOSTRESS
139051190280;16942;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1946268;773411;434017;1104328;1133760;854;0;NOSTRESS
139051207227;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1937339;769002;429576;1091054;1132548;10;0;NOSTRESS
139051223909;16823;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1943003;772019;432780;1100372;1133108;661;0;NOSTRESS
139051240737;16675;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1936463;768942;429599;1091096;1131944;10;0;NOSTRESS
139051257416;16869;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1944394;772492;433079;1101185;1133633;752;0;NOSTRESS
139051274289;16836;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1944622;772323;432796;1100371;1134231;657;0;NOSTRESS
139051291129;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3a;0;1940676;770163;429763;1091860;1134515;23;0;NOSTRESS
