TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
146339941807;358681;"MAF";"INTERVAL";"PROBE";4;63;0x00001de8;0;41211773;16387820;51170748;112503248;39332153;9185;0;NOSTRESS
146339942066;55;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001de8;0;806;658;1581;3130;1536;135;0;NOSTRESS
146339942125;92;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001de8;0;2785;1495;4161;9389;4064;162;0;NOSTRESS
146339942221;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001de8;0;348;304;754;1476;654;23;0;NOSTRESS
146339942246;108;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001de8;0;9393;2540;10593;25923;9249;84;0;NOSTRESS
146339942359;20;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001de8;0;349;284;696;1446;663;30;0;NOSTRESS
146339942384;16722;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1941464;770366;2399223;5282263;1851736;67;0;NOSTRESS
146339959111;17042;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1946197;773251;2406709;5305445;1862946;1199;0;NOSTRESS
146339976160;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1940390;770037;2398082;5279876;1850368;8;0;NOSTRESS
146339992864;16852;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1943946;772067;2405063;5297250;1857571;761;0;NOSTRESS
146340009720;16849;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1946215;772811;2406538;5302473;1860976;700;0;NOSTRESS
146340026573;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1939194;769451;2397718;5276239;1848438;22;0;NOSTRESS
146340043261;16803;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1942792;771477;2403829;5292403;1855974;565;0;NOSTRESS
146340060069;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1940392;769673;2398519;5278892;1849228;19;0;NOSTRESS
146340076761;16979;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1945313;772374;2406228;5301076;1861346;728;0;NOSTRESS
146340093745;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1939622;769614;2398159;5277158;1848574;18;0;NOSTRESS
146340110435;16879;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1945728;772607;2406493;5300664;1859212;688;0;NOSTRESS
146340127318;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001de8;0;1940059;769765;2398286;5278140;1850395;21;0;NOSTRESS
