TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
156279588338;358831;"MAF";"INTERVAL";"PROBE";4;63;0x00001ed3;0;1753;144;51154164;39335590;12020;51154225;0;NOSTRESS
156279588597;55;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;2;13;1550;1459;600;1548;0;NOSTRESS
156279588656;99;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;4;3;4260;4260;792;4252;0;NOSTRESS
156279588759;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001ed3;0;0;5;749;655;120;741;0;NOSTRESS
156279588784;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001ed3;0;1;2;10664;9425;420;10656;0;NOSTRESS
156279588901;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001ed3;0;0;2;707;690;164;699;0;NOSTRESS
156279588931;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;4;5;2396646;1853918;1700;2396639;0;NOSTRESS
156279605649;16981;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;142;30;2405682;1863398;1562;2405684;0;NOSTRESS
156279622635;16703;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;5;2;2398495;1851596;12;2398501;0;NOSTRESS
156279639342;16815;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;121;5;2403471;1857088;172;2403466;0;NOSTRESS
156279656162;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;8;2;2397081;1847114;4;2397080;0;NOSTRESS
156279672849;17124;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;204;8;2419810;1873886;1822;2419805;0;NOSTRESS
156279689978;16841;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;136;3;2403134;1856555;116;2403134;0;NOSTRESS
156279706824;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;4;2;2396627;1847821;20;2396625;0;NOSTRESS
156279723513;16918;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;163;5;2405510;1858934;232;2405522;0;NOSTRESS
156279740435;16677;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;5;2;2394639;1845981;4;2394645;0;NOSTRESS
156279757117;16833;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001ed3;0;138;4;2403589;1857133;142;2403583;0;NOSTRESS
