TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
58840697549;746150;"MAF";"INTERVAL";"PROBE";4;63;0x00001a53;0;120139007;11871;5358;103985;3872;1372;0;CPUTHEFT
58840697804;54;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001a53;0;1608;38;8;385;108;29;0;CPUTHEFT
58840697862;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001a53;0;4167;26;4;422;154;51;0;CPUTHEFT
58840697959;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001a53;0;758;13;6;82;28;7;0;CPUTHEFT
58840697984;115;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001a53;0;10639;33;15;253;75;32;0;CPUTHEFT
58840698103;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001a53;0;724;16;11;110;23;4;0;CPUTHEFT
58840698128;49158;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001a53;0;8111654;919;586;9028;1613;554;0;CPUTHEFT
58840747291;16865;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001a53;0;2404784;145;65;1965;0;0;0;CPUTHEFT
58840764160;49041;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001a53;0;8172337;927;464;7562;156;29;0;CPUTHEFT
58840813206;16847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001a53;0;2402894;145;53;1945;1;1;0;CPUTHEFT
58840830057;49013;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001a53;0;8176825;840;405;6903;255;91;0;CPUTHEFT
58840879075;49054;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001a53;0;8150497;881;300;7292;132;25;0;CPUTHEFT
58840928134;16844;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001a53;0;2404109;142;170;2011;3;2;0;CPUTHEFT
58840944982;49045;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001a53;0;8132491;911;349;7308;137;30;0;CPUTHEFT
58840994033;16928;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001a53;0;2404121;148;144;2099;5;2;0;CPUTHEFT
58841010965;49020;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001a53;0;8115035;945;385;8131;317;131;0;CPUTHEFT
58841059990;16858;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001a53;0;2406051;145;115;1999;0;2;0;CPUTHEFT
